"DATE_NUM","r","SE","df","r_LOWER","r_UPPER","DATE","Re","Re_LOWER","Re_UPPER"
18322,0.25205868205673,0.00760298286400634,319.030864327374,0.237100363255857,0.267017000857603,2020-03-01,2.65864447072224,2.53175462105908,2.7893994117834
18323,0.251486742150669,0.0075805532852204,319.030864327374,0.236572551923548,0.26640093237779,2020-03-02,2.65372198210199,2.52734729519122,2.78393729093457
18324,0.250068111043927,0.00752494685571802,319.030864327374,0.235263322444398,0.264872899643457,2020-03-03,2.64153668969159,2.51643549732921,2.77041821286873
18325,0.2478027887365,0.00743623573573954,319.030864327374,0.233172532848349,0.26243304462465,2020-03-04,2.62215071951822,2.49907035808756,2.74891632367717
18326,0.244690775228384,0.00731454082951256,319.030864327374,0.230299945265077,0.25908160519169,2020-03-05,2.59566304050486,2.47533327850234,2.71954978783033
18327,0.240732070519585,0.00716004038061168,319.030864327374,0.226645209013247,0.254818932025922,2020-03-06,2.56220913805379,2.44533558178658,2.68248047176739
18328,0.235926674610106,0.0069729833767149,319.030864327374,0.222207834227619,0.249645514992594,2020-03-07,2.52196056431651,2.40921801691481,2.63791352452666
18329,0.230274587499939,0.00675370967689601,319.030864327374,0.216987152260039,0.243562022739839,2020-03-08,2.47512436389053,2.36715009275752,2.58609687409486
18330,0.223775809189095,0.00650267998474083,319.030864327374,0.210982256709541,0.236569361668648,2020-03-09,2.42194237331093,2.31932920846131,2.52732067040861
18331,0.216430339677558,0.00622052079233004,319.030864327374,0.20419191499826,0.228668764356855,2020-03-10,2.36269039230907,2.26597952451462,2.4619167263778
18332,0.208238178965344,0.0059080928555548,319.030864327374,0.19661443365126,0.219861924279427,2020-03-11,2.29767722438989,2.20735048290536,2.39025804346262
18333,0.199199327052444,0.00556659785538672,319.030864327374,0.188247448448149,0.210151205656739,2020-03-12,2.22724358381785,2.14371482160842,2.31275857054595
18334,0.18931378393886,0.00519774905873469,319.030864327374,0.179087588660219,0.199539979217501,2020-03-13,2.15176086560279,2.07536581447828,2.22987345796979
18335,0.178581549624591,0.00480405285102019,319.030864327374,0.169129923155458,0.188033176093723,2020-03-14,2.07162977451939,2.00261325553022,2.14210027953447
18336,0.167002624109639,0.00438928878244361,319.030864327374,0.158367015942256,0.175638232277022,2020-03-15,1.98727880857636,1.92577730451065,2.04998209605451
18337,0.154577007394003,0.00395935571427032,319.030864327374,0.146787261437782,0.162366753350225,2020-03-16,1.89916259165349,1.84517854661602,1.954113996647
18338,0.141345420776721,0.00352542793252912,319.030864327374,0.134409396341637,0.148281445211805,2020-03-17,1.8080362236144,1.7613716646898,1.85545878090286
18339,0.128220138624115,0.00313452303400712,319.030864327374,0.122053191299621,0.134387085948609,2020-03-18,1.72036738327083,1.68010414341931,1.76122278156035
18340,0.11562650038316,0.0028052296851557,319.030864327374,0.110107413902131,0.121145586864189,2020-03-19,1.63877156482313,1.60378364824994,1.6742282920567
18341,0.103564506053856,0.00253586571669676,319.030864327374,0.0985753736955371,0.108553638412174,2020-03-20,1.56290929310725,1.53217955759009,1.5940178219774
18342,0.0920341556362005,0.00232227361575293,319.030864327374,0.0874652502856781,0.0966030609867229,2020-03-21,1.49246089578019,1.46510048455818,1.52013550104266
18343,0.0810354491301979,0.00215736624604373,319.030864327374,0.0767909871005202,0.0852799111598755,2020-03-22,1.42712584034241,1.40239546929474,1.45212448689142
18344,0.0705683865358444,0.00203135771914479,319.030864327374,0.0665718371676441,0.0745649359040447,2020-03-23,1.36662209168815,1.3439473441417,1.38953224532696
18345,0.0606329678531419,0.00193276126437505,319.030864327374,0.0568303998774374,0.0644355358288464,2020-03-24,1.31068549102833,1.28965888878273,1.33192308785725
18346,0.0512291930820895,0.00184981650191226,319.030864327374,0.0475898129264779,0.054868573237701,2020-03-25,1.25906915704929,1.23943668891606,1.27889305492708
18347,0.0423570622226873,0.00177183390387393,319.030864327374,0.0388711071876163,0.0458430172577584,2020-03-26,1.21154291018624,1.19317838486349,1.2300814604397
18348,0.0340165752749347,0.00169014356246065,319.030864327374,0.0306913400772839,0.0373418104725855,2020-03-27,1.16789272090208,1.15076582887807,1.18517658082911
18349,0.0262077322388363,0.00159867665421081,319.030864327374,0.0230624515666401,0.0293530129110326,2020-03-28,1.12792018286933,1.11206279848684,1.14391684338113
18350,0.018930533114385,0.00149445544825767,319.030864327374,0.0159903001257551,0.021870766103015,2020-03-29,1.09144201195476,1.07691375286193,1.10609102884127
18351,0.0121849779015856,0.00137840914839611,319.030864327374,0.00947305761338383,0.0148968981897873,2020-03-30,1.05828957190357,1.04513935418505,1.07154176836017
18352,0.00597106660043634,0.00125707102230049,319.030864327374,0.00349787029797858,0.00844426290289409,2020-03-31,1.02830842760962,1.01652378780801,1.04017730295511
18353,0.000288799210938092,0.00114574904674684,319.030864327374,-0.00196537915741938,0.00254297757929556,2020-04-01,1.00135792684308,0.99078911951768,1.01199626911325
18354,-0.00488755199160038,0.00107263896156719,319.030864327374,-0.00699789155599928,-0.00277721242720148,2020-04-02,0.977191601955715,0.967443990694082,0.986999803101914
18355,-0.00999195321455373,0.00106268917818499,319.030864327374,-0.0120827172998949,-0.00790118912921255,2020-04-03,0.953718164912908,0.944205295571915,0.963290161314591
18356,-0.0151980820013673,0.00110011738884352,319.030864327374,-0.0173624833836998,-0.0130336806190348,2020-04-04,0.930139931868351,0.920444865997808,0.93989798578692
18357,-0.0205059383520435,0.00116141135588475,319.030864327374,-0.0227909311806507,-0.0182209455234362,2020-04-05,0.906476145263172,0.896405119975117,0.916616942710087
