"LINEAGE2","count","total","collection_date","collection_date_num","prop"
"B.1.1.7",298,702,2021-02-04,18662,0.424501424501425
"B.1.1.7",203,500,2021-02-11,18669,0.406
"B.1.1.7",418,770,2021-02-18,18676,0.542857142857143
"B.1.1.7",524,860,2021-02-25,18683,0.609302325581395
"B.1.1.7",458,735,2021-03-04,18690,0.62312925170068
"B.1.1.7",710,939,2021-03-11,18697,0.756123535676251
"B.1.1.7",698,860,2021-03-18,18704,0.811627906976744
"B.1.1.7",884,1039,2021-03-25,18711,0.850818094321463
"B.1.1.7",727,855,2021-04-01,18718,0.850292397660819
"B.1.1.7",595,723,2021-04-08,18725,0.822959889349931
"B.1.1.7",697,830,2021-04-15,18732,0.839759036144578
"B.1.1.7",680,823,2021-04-22,18739,0.826245443499392
"B.1.1.7",828,943,2021-04-29,18746,0.878048780487805
"B.1.1.7",687,800,2021-05-06,18753,0.85875
"B.1.1.7",682,810,2021-05-13,18760,0.841975308641975
"B.1.1.7",670,787,2021-05-20,18767,0.85133418043202
"B.1.1.7",220,257,2021-05-27,18774,0.856031128404669
"B.1",11,702,2021-02-04,18662,0.0156695156695157
"B.1",7,500,2021-02-11,18669,0.014
"B.1",6,770,2021-02-18,18676,0.00779220779220779
"B.1",5,860,2021-02-25,18683,0.00581395348837209
"B.1",6,735,2021-03-04,18690,0.00816326530612245
"B.1",9,939,2021-03-11,18697,0.00958466453674121
"B.1",3,860,2021-03-18,18704,0.00348837209302326
"B.1",1,1039,2021-03-25,18711,0.000962463907603465
"B.1",1,855,2021-04-01,18718,0.00116959064327485
"B.1",0,723,2021-04-08,18725,0
"B.1",2,830,2021-04-15,18732,0.00240963855421687
"B.1",1,823,2021-04-22,18739,0.00121506682867558
"B.1",0,943,2021-04-29,18746,0
"B.1",1,800,2021-05-06,18753,0.00125
"B.1",0,810,2021-05-13,18760,0
"B.1",1,787,2021-05-20,18767,0.00127064803049555
"B.1",0,257,2021-05-27,18774,0
"B.1.1",7,702,2021-02-04,18662,0.00997150997150997
"B.1.1",4,500,2021-02-11,18669,0.008
"B.1.1",4,770,2021-02-18,18676,0.00519480519480519
"B.1.1",3,860,2021-02-25,18683,0.00348837209302326
"B.1.1",4,735,2021-03-04,18690,0.0054421768707483
"B.1.1",1,939,2021-03-11,18697,0.00106496272630458
"B.1.1",5,860,2021-03-18,18704,0.00581395348837209
"B.1.1",2,1039,2021-03-25,18711,0.00192492781520693
"B.1.1",0,855,2021-04-01,18718,0
"B.1.1",0,723,2021-04-08,18725,0
"B.1.1",0,830,2021-04-15,18732,0
"B.1.1",0,823,2021-04-22,18739,0
"B.1.1",1,943,2021-04-29,18746,0.00106044538706257
"B.1.1",6,800,2021-05-06,18753,0.0075
"B.1.1",3,810,2021-05-13,18760,0.0037037037037037
"B.1.1",2,787,2021-05-20,18767,0.00254129606099111
"B.1.1",0,257,2021-05-27,18774,0
"B.1.221",84,702,2021-02-04,18662,0.11965811965812
"B.1.221",38,500,2021-02-11,18669,0.076
"B.1.221",71,770,2021-02-18,18676,0.0922077922077922
"B.1.221",31,860,2021-02-25,18683,0.036046511627907
"B.1.221",34,735,2021-03-04,18690,0.0462585034013605
"B.1.221",18,939,2021-03-11,18697,0.0191693290734824
"B.1.221",9,860,2021-03-18,18704,0.0104651162790698
"B.1.221",5,1039,2021-03-25,18711,0.00481231953801732
"B.1.221",4,855,2021-04-01,18718,0.00467836257309942
"B.1.221",3,723,2021-04-08,18725,0.004149377593361
"B.1.221",0,830,2021-04-15,18732,0
"B.1.221",1,823,2021-04-22,18739,0.00121506682867558
"B.1.221",0,943,2021-04-29,18746,0
"B.1.221",0,800,2021-05-06,18753,0
"B.1.221",1,810,2021-05-13,18760,0.00123456790123457
"B.1.221",2,787,2021-05-20,18767,0.00254129606099111
"B.1.221",0,257,2021-05-27,18774,0
"B.1.258",13,702,2021-02-04,18662,0.0185185185185185
"B.1.258",7,500,2021-02-11,18669,0.014
"B.1.258",3,770,2021-02-18,18676,0.0038961038961039
"B.1.258",3,860,2021-02-25,18683,0.00348837209302326
"B.1.258",0,735,2021-03-04,18690,0
"B.1.258",0,939,2021-03-11,18697,0
"B.1.258",0,860,2021-03-18,18704,0
"B.1.258",0,1039,2021-03-25,18711,0
"B.1.258",0,855,2021-04-01,18718,0
"B.1.258",0,723,2021-04-08,18725,0
"B.1.258",0,830,2021-04-15,18732,0
"B.1.258",0,823,2021-04-22,18739,0
"B.1.258",0,943,2021-04-29,18746,0
"B.1.258",0,800,2021-05-06,18753,0
"B.1.258",0,810,2021-05-13,18760,0
"B.1.258",0,787,2021-05-20,18767,0
"B.1.258",0,257,2021-05-27,18774,0
"B.1.160",76,702,2021-02-04,18662,0.108262108262108
"B.1.160",52,500,2021-02-11,18669,0.104
"B.1.160",44,770,2021-02-18,18676,0.0571428571428571
"B.1.160",49,860,2021-02-25,18683,0.0569767441860465
"B.1.160",18,735,2021-03-04,18690,0.0244897959183673
"B.1.160",14,939,2021-03-11,18697,0.0149094781682641
"B.1.160",3,860,2021-03-18,18704,0.00348837209302326
"B.1.160",6,1039,2021-03-25,18711,0.00577478344562079
"B.1.160",4,855,2021-04-01,18718,0.00467836257309942
"B.1.160",0,723,2021-04-08,18725,0
"B.1.160",1,830,2021-04-15,18732,0.00120481927710843
"B.1.160",4,823,2021-04-22,18739,0.00486026731470231
"B.1.160",1,943,2021-04-29,18746,0.00106044538706257
"B.1.160",0,800,2021-05-06,18753,0
"B.1.160",0,810,2021-05-13,18760,0
"B.1.160",0,787,2021-05-20,18767,0
"B.1.160",0,257,2021-05-27,18774,0
"B.1.177+",101,702,2021-02-04,18662,0.143874643874644
"B.1.177+",62,500,2021-02-11,18669,0.124
"B.1.177+",70,770,2021-02-18,18676,0.0909090909090909
"B.1.177+",54,860,2021-02-25,18683,0.0627906976744186
"B.1.177+",28,735,2021-03-04,18690,0.0380952380952381
"B.1.177+",12,939,2021-03-11,18697,0.012779552715655
"B.1.177+",4,860,2021-03-18,18704,0.00465116279069767
"B.1.177+",5,1039,2021-03-25,18711,0.00481231953801732
"B.1.177+",1,855,2021-04-01,18718,0.00116959064327485
"B.1.177+",0,723,2021-04-08,18725,0
"B.1.177+",0,830,2021-04-15,18732,0
"B.1.177+",2,823,2021-04-22,18739,0.00243013365735115
"B.1.177+",1,943,2021-04-29,18746,0.00106044538706257
"B.1.177+",0,800,2021-05-06,18753,0
"B.1.177+",1,810,2021-05-13,18760,0.00123456790123457
"B.1.177+",0,787,2021-05-20,18767,0
"B.1.177+",0,257,2021-05-27,18774,0
"B.1.214.2",13,702,2021-02-04,18662,0.0185185185185185
"B.1.214.2",22,500,2021-02-11,18669,0.044
