"LINEAGE2","count","total","collection_date","collection_date_num","prop"
"B.1.1.7 (alpha)",394,945,2021-02-04,18662,0.416931216931217
"B.1.1.7 (alpha)",344,761,2021-02-11,18669,0.45203679369251
"B.1.1.7 (alpha)",531,1046,2021-02-18,18676,0.507648183556405
"B.1.1.7 (alpha)",693,1170,2021-02-25,18683,0.592307692307692
"B.1.1.7 (alpha)",648,1053,2021-03-04,18690,0.615384615384615
"B.1.1.7 (alpha)",1036,1417,2021-03-11,18697,0.731122088920254
"B.1.1.7 (alpha)",1162,1508,2021-03-18,18704,0.770557029177719
"B.1.1.7 (alpha)",1420,1743,2021-03-25,18711,0.814687320711417
"B.1.1.7 (alpha)",1366,1664,2021-04-01,18718,0.820913461538462
"B.1.1.7 (alpha)",1076,1323,2021-04-08,18725,0.813303099017385
"B.1.1.7 (alpha)",1265,1528,2021-04-15,18732,0.827879581151832
"B.1.1.7 (alpha)",1251,1567,2021-04-22,18739,0.798340778557754
"B.1.1.7 (alpha)",1413,1649,2021-04-29,18746,0.856882959369315
"B.1.1.7 (alpha)",1291,1561,2021-05-06,18753,0.827033952594491
"B.1.1.7 (alpha)",1188,1507,2021-05-13,18760,0.788321167883212
"B.1.1.7 (alpha)",1334,1626,2021-05-20,18767,0.820418204182042
"B.1.1.7 (alpha)",973,1228,2021-05-27,18774,0.792345276872964
"B.1.1.7 (alpha)",841,1117,2021-06-03,18781,0.752909579230081
"B.1.1.7 (alpha)",599,831,2021-06-10,18788,0.720818291215403
"B.1.1.7 (alpha)",338,530,2021-06-17,18795,0.637735849056604
"B.1.1.7 (alpha)",199,428,2021-06-24,18802,0.464953271028037
"B.1.1.7 (alpha)",140,574,2021-07-01,18809,0.24390243902439
"B.1.1.7 (alpha)",173,805,2021-07-08,18816,0.214906832298137
"B.1.1.7 (alpha)",32,245,2021-07-15,18823,0.130612244897959
"B.1.351 (beta)",55,945,2021-02-04,18662,0.0582010582010582
"B.1.351 (beta)",70,761,2021-02-11,18669,0.0919842312746386
"B.1.351 (beta)",67,1046,2021-02-18,18676,0.0640535372848948
"B.1.351 (beta)",97,1170,2021-02-25,18683,0.0829059829059829
"B.1.351 (beta)",124,1053,2021-03-04,18690,0.117758784425451
"B.1.351 (beta)",107,1417,2021-03-11,18697,0.0755116443189838
"B.1.351 (beta)",108,1508,2021-03-18,18704,0.0716180371352785
"B.1.351 (beta)",73,1743,2021-03-25,18711,0.0418818129661503
"B.1.351 (beta)",42,1664,2021-04-01,18718,0.0252403846153846
"B.1.351 (beta)",32,1323,2021-04-08,18725,0.0241874527588813
"B.1.351 (beta)",24,1528,2021-04-15,18732,0.0157068062827225
"B.1.351 (beta)",40,1567,2021-04-22,18739,0.0255264837268666
"B.1.351 (beta)",22,1649,2021-04-29,18746,0.0133414190418435
"B.1.351 (beta)",30,1561,2021-05-06,18753,0.0192184497117233
"B.1.351 (beta)",37,1507,2021-05-13,18760,0.0245520902455209
"B.1.351 (beta)",11,1626,2021-05-20,18767,0.00676506765067651
"B.1.351 (beta)",9,1228,2021-05-27,18774,0.00732899022801303
"B.1.351 (beta)",9,1117,2021-06-03,18781,0.00805729632945389
"B.1.351 (beta)",6,831,2021-06-10,18788,0.0072202166064982
"B.1.351 (beta)",3,530,2021-06-17,18795,0.00566037735849057
"B.1.351 (beta)",2,428,2021-06-24,18802,0.00467289719626168
"B.1.351 (beta)",2,574,2021-07-01,18809,0.00348432055749129
"B.1.351 (beta)",0,805,2021-07-08,18816,0
"B.1.351 (beta)",0,245,2021-07-15,18823,0
"P.1 (gamma)",5,945,2021-02-04,18662,0.00529100529100529
"P.1 (gamma)",17,761,2021-02-11,18669,0.0223390275952694
"P.1 (gamma)",27,1046,2021-02-18,18676,0.0258126195028681
"P.1 (gamma)",40,1170,2021-02-25,18683,0.0341880341880342
"P.1 (gamma)",40,1053,2021-03-04,18690,0.0379867046533713
"P.1 (gamma)",48,1417,2021-03-11,18697,0.0338743824982357
"P.1 (gamma)",88,1508,2021-03-18,18704,0.0583554376657825
"P.1 (gamma)",97,1743,2021-03-25,18711,0.0556511761331038
"P.1 (gamma)",107,1664,2021-04-01,18718,0.0643028846153846
"P.1 (gamma)",129,1323,2021-04-08,18725,0.0975056689342404
"P.1 (gamma)",138,1528,2021-04-15,18732,0.0903141361256544
"P.1 (gamma)",124,1567,2021-04-22,18739,0.0791320995532865
"P.1 (gamma)",101,1649,2021-04-29,18746,0.0612492419648272
"P.1 (gamma)",123,1561,2021-05-06,18753,0.0787956438180653
"P.1 (gamma)",149,1507,2021-05-13,18760,0.0988719309887193
"P.1 (gamma)",145,1626,2021-05-20,18767,0.0891758917589176
"P.1 (gamma)",123,1228,2021-05-27,18774,0.100162866449511
"P.1 (gamma)",127,1117,2021-06-03,18781,0.113697403760072
"P.1 (gamma)",73,831,2021-06-10,18788,0.0878459687123947
"P.1 (gamma)",34,530,2021-06-17,18795,0.0641509433962264
"P.1 (gamma)",7,428,2021-06-24,18802,0.0163551401869159
"P.1 (gamma)",10,574,2021-07-01,18809,0.0174216027874564
"P.1 (gamma)",30,805,2021-07-08,18816,0.0372670807453416
"P.1 (gamma)",9,245,2021-07-15,18823,0.036734693877551
"B.1.617.2 (delta)",0,945,2021-02-04,18662,0
"B.1.617.2 (delta)",0,761,2021-02-11,18669,0
"B.1.617.2 (delta)",0,1046,2021-02-18,18676,0
"B.1.617.2 (delta)",0,1170,2021-02-25,18683,0
"B.1.617.2 (delta)",0,1053,2021-03-04,18690,0
"B.1.617.2 (delta)",0,1417,2021-03-11,18697,0
"B.1.617.2 (delta)",0,1508,2021-03-18,18704,0
"B.1.617.2 (delta)",0,1743,2021-03-25,18711,0
"B.1.617.2 (delta)",0,1664,2021-04-01,18718,0
"B.1.617.2 (delta)",0,1323,2021-04-08,18725,0
"B.1.617.2 (delta)",0,1528,2021-04-15,18732,0
"B.1.617.2 (delta)",0,1567,2021-04-22,18739,0
"B.1.617.2 (delta)",5,1649,2021-04-29,18746,0.00303214069132808
"B.1.617.2 (delta)",41,1561,2021-05-06,18753,0.0262652146060218
"B.1.617.2 (delta)",48,1507,2021-05-13,18760,0.0318513603185136
"B.1.617.2 (delta)",64,1626,2021-05-20,18767,0.039360393603936
"B.1.617.2 (delta)",87,1228,2021-05-27,18774,0.0708469055374593
"B.1.617.2 (delta)",112,1117,2021-06-03,18781,0.100268576544315
"B.1.617.2 (delta)",133,831,2021-06-10,18788,0.160048134777377
"B.1.617.2 (delta)",143,530,2021-06-17,18795,0.269811320754717
"B.1.617.2 (delta)",212,428,2021-06-24,18802,0.495327102803738
"B.1.617.2 (delta)",406,574,2021-07-01,18809,0.707317073170732
"B.1.617.2 (delta)",594,805,2021-07-08,18816,0.737888198757764
"B.1.617.2 (delta)",201,245,2021-07-15,18823,0.820408163265306
"other",491,945,2021-02-04,18662,0.51957671957672
"other",330,761,2021-02-11,18669,0.433639947437582
"other",421,1046,2021-02-18,18676,0.402485659655832
"other",340,1170,2021-02-25,18683,0.290598290598291
"other",241,1053,2021-03-04,18690,0.228869895536562
"other",226,1417,2021-03-11,18697,0.159491884262526
"other",150,1508,2021-03-18,18704,0.0994694960212202
"other",153,1743,2021-03-25,18711,0.0877796901893287
"other",149,1664,2021-04-01,18718,0.0895432692307692
"other",86,1323,2021-04-08,18725,0.0650037792894936
"other",101,1528,2021-04-15,18732,0.0660994764397906
"other",152,1567,2021-04-22,18739,0.0970006381620932
"other",108,1649,2021-04-29,18746,0.0654942389326865
"other",76,1561,2021-05-06,18753,0.0486867392696989
"other",85,1507,2021-05-13,18760,0.0564034505640345
"other",72,1626,2021-05-20,18767,0.044280442804428
"other",36,1228,2021-05-27,18774,0.0293159609120521
"other",28,1117,2021-06-03,18781,0.0250671441360788
"other",20,831,2021-06-10,18788,0.0240673886883273
"other",12,530,2021-06-17,18795,0.0226415094339623
"other",8,428,2021-06-24,18802,0.0186915887850467
"other",16,574,2021-07-01,18809,0.0278745644599303
"other",8,805,2021-07-08,18816,0.00993788819875776
"other",3,245,2021-07-15,18823,0.0122448979591837
