"DATE_NUM","r","SE","df","r_LOWER","r_UPPER","DATE","Re","Re_LOWER","Re_UPPER"
18475,0.0181927955834243,0.00359616309625507,204.034297376237,0.0111023885664468,0.0252832026004018,2020-07-25,1.08778537491084,1.05302783756867,1.12324460218851
18476,0.0178187338613205,0.00356976998072771,204.034297376237,0.0107803650657824,0.0248571026568586,2020-07-26,1.08593421990329,1.05146583229991,1.12109375462498
18477,0.0168393942717336,0.00350079661096076,204.034297376237,0.0099370174353726,0.0237417711080946,2020-07-27,1.08109691249559,1.04738189743074,1.11547591716315
18478,0.0152547768146646,0.00338960766979296,204.034297376237,0.00857162664504943,0.0219379269842797,2020-07-28,1.07329822766018,1.04079080681695,1.10642705579155
18479,0.0130648814901153,0.00323687499882879,204.034297376237,0.00668286805232794,0.0194468949279026,2020-07-29,1.0625781591305,1.03171572137943,1.09400591040455
18480,0.0102697082980849,0.00304372580737953,204.034297376237,0.00426851918492331,0.0162708974112465,2020-07-30,1.04899178692304,1.02018686540776,1.0782950365276
18481,0.00686925723856816,0.00281202970859794,204.034297376237,0.00132489380339602,0.0124136206737403,2020-07-31,1.03260909372868,1.00623901337034,1.05940292764419
18482,0.00286352831157078,0.00254496782322562,204.034297376237,-0.00215428017730789,0.00788133680044946,2020-08-01,1.0135147296571,0.989906601511723,1.03746840268145
18483,-0.00174747848290836,0.00224822253255305,204.034297376237,-0.0061802064749011,0.00268524950908437,2020-08-02,0.991807724662556,0.971213678944108,1.0126700424342
18484,-0.00696376314486908,0.00193262701852589,204.034297376237,-0.0107742444291096,-0.00315328186062858,2020-08-03,0.967601147816484,0.950151864823005,0.985247506452384
18485,-0.0127853256743104,0.00162034378998611,204.034297376237,-0.0159800909479983,-0.00959056040062261,2020-08-04,0.941021712415539,0.926629797070017,0.955551242641893
18486,-0.0192121660712368,0.00135843608459574,204.034297376237,-0.0218905386835255,-0.016533793458948,2020-08-05,0.912209325724007,0.900365250126619,0.92414940937094
18487,-0.0262442843356433,0.00123548102835028,204.034297376237,-0.0286802315155362,-0.0238083371557504,2020-08-06,0.881316581940906,0.870768588802195,0.891943339813422
18488,-0.0333143510827356,0.00132945930425793,204.034297376237,-0.0359355913678364,-0.0306931107976349,2020-08-07,0.850918837788009,0.839816306511958,0.862111811656724
18489,-0.0387874683577335,0.00154666500336855,204.034297376237,-0.041836964195177,-0.0357379725202899,2020-08-08,0.827839288504028,0.815149990768488,0.840650195409263
18490,-0.0425520134534651,0.00177986375523105,204.034297376237,-0.0460612976882364,-0.0390427292186938,2020-08-09,0.812192142226921,0.797772136308419,0.826772461661398
18491,-0.0446079863699312,0.00197734306694558,204.034297376237,-0.0485066324495384,-0.0407093402903241,2020-08-10,0.803724535977956,0.787818419088917,0.8198280199459
18492,-0.0449553871071325,0.00211640506676513,204.034297376237,-0.0491282160179751,-0.04078255819629,2020-08-11,0.802299176859515,0.785300595149555,0.819523766806502
18493,-0.0435942156650674,0.0021869487281308,204.034297376237,-0.0479061326145118,-0.039282298715623,2020-08-12,0.807892922641004,0.790255581929527,0.825771989551779
18494,-0.0405244720437361,0.00218482799592318,204.034297376237,-0.0448322076326238,-0.0362167364548483,2020-08-13,0.820596541433442,0.802804393706785,0.838630846452017
18495,-0.0357461562431399,0.00210952850078096,204.034297376237,-0.0399054269113772,-0.0315868855749025,2020-08-14,0.840615652519875,0.823173240751576,0.858285119349049
18496,-0.0292592682632769,0.00196400094865562,204.034297376237,-0.0331316082364555,-0.0253869282900983,2020-08-15,0.868272840274796,0.851696232979233,0.885047781879731
18497,-0.0210638081041502,0.00175658022944883,204.034297376237,-0.0245271851678151,-0.0176004310404853,2020-08-16,0.904010923295201,0.888799178067588,0.919382856411018
18498,-0.0111597757657561,0.00150710188306803,204.034297376237,-0.0141312666244809,-0.00818828490703121,2020-08-17,0.948397351758484,0.934941713516904,0.961972263850826
18499,0.000452828751902751,0.0012637078625087,204.034297376237,-0.00203877211711018,0.00294442962091568,2020-08-18,1.00212969793984,0.990446180464988,1.01389818496089
18500,0.0136409625107076,0.00113630755063371,204.034297376237,0.0114005516019677,0.0158813734194475,2020-08-19,1.06539175705732,1.05447538591456,1.0763778396655
18501,0.0261142901886251,0.00122031633589229,204.034297376237,0.0237082426097616,0.0285203377674887,2020-08-20,1.12744707627955,1.1153073072869,1.13966833876496
18502,0.0370013858966417,0.00141790529174612,204.034297376237,0.0342057602920979,0.0397970115011855,2020-08-21,1.18339989851293,1.16887184766305,1.19803924826509
18503,0.0463022496347522,0.00163124466184317,204.034297376237,0.0430859915599211,0.0495185077095833,2020-08-22,1.23253669642109,1.21540499569329,1.24981714466185
18504,0.05401688140296,0.0018124877720019,204.034297376237,0.0504432737347841,0.0575904890711359,2020-08-23,1.27423664893297,1.25481337004238,1.29384502892918
18505,0.0601452812012647,0.00194058170798841,204.034297376237,0.0563191159826549,0.0639714464198745,2020-08-24,1.30797701098587,1.28684775190121,1.3293197860788
18506,0.064687449029665,0.00200615401604355,204.034297376237,0.0607319975855118,0.0686429004738183,2020-08-25,1.33333751169832,1.31123589929679,1.35566836112667
18507,0.0676433848881624,0.00200536154984901,204.034297376237,0.0636894959170438,0.0715972738592809,2020-08-26,1.35000381330148,1.32773972941666,1.37249763297345
18508,0.0690130887767576,0.00193773283749065,204.034297376237,0.0651925405590533,0.072833636994462,2020-08-27,1.3577700553273,1.33617626408464,1.37957864219875
18509,0.0687965606954466,0.00180600602129563,204.034297376237,0.0652357328288147,0.0723573885620785,2020-08-28,1.35654050156949,1.33641918999205,1.37684835754077
