group,date,vlo,vmd,vhi,mlo,mmd,mhi,rlo,rmd,rhi,sgtfv,fplo,fpmd,fphi,rfplo,rfpmd,rfphi
London,2021-01-23,0.989396104829937,0.990787239602817,0.992124247040583,0.989848316061102,0.991188232514929,0.992482007320301,0.969919791955105,0.988384997849129,0.997242676020047,0.999598169458465,0.0385753336549623,0.0433171203942449,0.0482350488535686,0.0239081665416057,0.0453986631437986,0.0757640884038377
London,2021-01-24,0.990303094082203,0.991604763803671,0.992840374215811,0.990716855143961,0.991966313872056,0.993171694679285,0.971622277911102,0.98952891311324,0.997491996974878,0.99963394818578,0.0385753336549623,0.0433171203942449,0.0482350488535686,0.0239081665416057,0.0453986631437986,0.0757640884038377
London,2021-01-25,0.99113600128889,0.992347556933133,0.993491866426894,0.991511264710457,0.992679476559485,0.993792131191007,0.973063513130196,0.990090848887634,0.997821252502781,0.99966654140038,0.0385753336549623,0.0433171203942449,0.0482350488535686,0.0239081665416057,0.0453986631437986,0.0757640884038377
London,2021-01-26,0.991897951974554,0.993024775147657,0.994086433417444,0.992239168529646,0.993327656733675,0.994357515920462,0.973539063018256,0.990634399987428,0.998074921499265,0.999696232615963,0.0385753336549623,0.0433171203942449,0.0482350488535686,0.0239081665416057,0.0453986631437986,0.0757640884038377
London,2021-01-27,0.992594892485718,0.993641353780423,0.994626586304359,0.992908310009232,0.993921162408447,0.994872015501451,0.973955804501714,0.991309276232948,0.998294812027488,0.99972328013723,0.0385753336549623,0.0433171203942449,0.0482350488535686,0.0239081665416057,0.0453986631437986,0.0757640884038377
London,2021-01-28,0.99323281753989,0.994204527101074,0.995117421661313,0.993520151500473,0.994457430250411,0.995339360757771,0.975367113698044,0.991727903556865,0.998527598268465,0.999747919296737,0.0385753336549623,0.0433171203942449,0.0482350488535686,0.0239081665416057,0.0453986631437986,0.0757640884038377
London,2021-01-29,0.993817005270776,0.994719706403423,0.995565230634869,0.994079534672677,0.994946294522587,0.99576430410526,0.976138011541751,0.992281152860406,0.998677354651456,0.999770364494101,0.0385753336549623,0.0433171203942449,0.0482350488535686,0.0239081665416057,0.0453986631437986,0.0757640884038377
London,2021-01-30,0.994351048894506,0.995187886578378,0.99597248261416,0.994590859345646,0.995394935489217,0.996150682973531,0.976919724910523,0.992710116050997,0.998859300855819,0.999790811054884,0.0385753336549623,0.0433171203942449,0.0482350488535686,0.0239081665416057,0.0453986631437986,0.0757640884038377
London,2021-01-31,0.994839205116548,0.995615083627597,0.996342437838135,0.995055791840892,0.995803294233634,0.996507258068941,0.977363319427964,0.993082606211823,0.998900208327849,0.999809436924978,0.0385753336549623,0.0433171203942449,0.0482350488535686,0.0239081665416057,0.0453986631437986,0.0757640884038377
South East,2020-09-01,0.0007209055524557,0.00105928293129428,0.00143881797514998,0.0405503302515597,0.0483321740373231,0.0569971858748896,0.0220257382923167,0.0533214255378687,0.104645980250801,0.022271681250323,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-02,0.000781289250518517,0.00114386465822817,0.00154825464763514,0.0406209440732187,0.0484183173026169,0.057066261081157,0.021809724827772,0.0537634903721169,0.105649079478159,0.0239950878872576,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-03,0.00084682875959532,0.00123484577708362,0.00166600120068927,0.0406973079518416,0.0485196623948682,0.0571413817875,0.02229304427365,0.0535086270077112,0.106592341756573,0.0258483006772807,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-04,0.000918110647275865,0.00133336799224156,0.00179268643829136,0.0408144652843736,0.0486294226482254,0.0572225797615848,0.0221943674856574,0.0535451418420271,0.105298600947945,0.0278405246288167,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-05,0.000995386716779186,0.00143951516820298,0.00192897108750104,0.0409228097356819,0.048729166481826,0.0573099899928357,0.0219577201356644,0.0536827946302325,0.106872174721544,0.0299815263894973,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
