DATE,LTLA,TRAVEL_INDICATOR,LINEAGE,COUNT,SOURCE
2021-04-15,NA,Contact of Traveller,B.1.617.1,3,PHE_REPORT10
2021-04-15,NA,Not travel-associated,B.1.617.1,2,PHE_REPORT10
2021-04-15,NA,Under investigation,B.1.617.1,4,PHE_REPORT10
2021-04-16,NA,Traveller,B.1.617.1,5,PHE_REPORT10
2021-04-16,NA,Not travel-associated,B.1.617.1,4,PHE_REPORT10
2021-04-16,NA,Under investigation,B.1.617.1,1,PHE_REPORT10
2021-04-17,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-17,NA,Not travel-associated,B.1.617.1,1,PHE_REPORT10
2021-04-17,NA,Under investigation,B.1.617.1,1,PHE_REPORT10
2021-04-18,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-18,NA,Under investigation,B.1.617.1,3,PHE_REPORT10
2021-04-19,NA,Traveller,B.1.617.1,3,PHE_REPORT10
2021-04-19,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-19,NA,Not travel-associated,B.1.617.1,3,PHE_REPORT10
2021-04-20,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-04-20,NA,Not travel-associated,B.1.617.1,1,PHE_REPORT10
2021-04-20,NA,Under investigation,B.1.617.1,3,PHE_REPORT10
2021-04-21,NA,Not travel-associated,B.1.617.1,2,PHE_REPORT10
2021-04-21,NA,Under investigation,B.1.617.1,4,PHE_REPORT10
2021-04-22,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-04-22,NA,Under investigation,B.1.617.1,6,PHE_REPORT10
2021-04-23,NA,Not travel-associated,B.1.617.1,1,PHE_REPORT10
2021-04-23,NA,Under investigation,B.1.617.1,2,PHE_REPORT10
2021-04-24,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-04-24,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-24,NA,Under investigation,B.1.617.1,2,PHE_REPORT10
2021-04-25,NA,Under investigation,B.1.617.1,1,PHE_REPORT10
2021-04-26,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-26,NA,Under investigation,B.1.617.1,2,PHE_REPORT10
2021-03-18,NA,Traveller,B.1.617.2,2,PHE_REPORT10
2021-03-23,NA,Under investigation,B.1.617.2,1,PHE_REPORT10
2021-03-28,NA,Traveller,B.1.617.2,1,PHE_REPORT10
2021-03-28,NA,Under investigation,B.1.617.2,1,PHE_REPORT10
2021-03-30,NA,Traveller,B.1.617.2,3,PHE_REPORT10
2021-03-31,NA,Traveller,B.1.617.2,2,PHE_REPORT10
2021-03-31,NA,Under investigation,B.1.617.2,1,PHE_REPORT10
2021-04-01,NA,Traveller,B.1.617.2,2,PHE_REPORT10
2021-04-02,NA,Under investigation,B.1.617.2,2,PHE_REPORT10
2021-04-03,NA,Traveller,B.1.617.2,4,PHE_REPORT10
2021-04-03,NA,Under investigation,B.1.617.2,2,PHE_REPORT10
2021-04-04,NA,Traveller,B.1.617.2,2,PHE_REPORT10
2021-04-04,NA,Under investigation,B.1.617.2,1,PHE_REPORT10
2021-04-05,NA,Traveller,B.1.617.2,4,PHE_REPORT10
2021-04-05,NA,Contact of Traveller,B.1.617.2,1,PHE_REPORT10
2021-04-05,NA,Under investigation,B.1.617.2,2,PHE_REPORT10
2021-04-06,NA,Traveller,B.1.617.2,11,PHE_REPORT10
2021-04-06,NA,Contact of Traveller,B.1.617.2,4,PHE_REPORT10
2021-04-06,NA,Under investigation,B.1.617.2,3,PHE_REPORT10
2021-04-07,NA,Traveller,B.1.617.2,5,PHE_REPORT10
2021-04-07,NA,Not travel-associated,B.1.617.2,3,PHE_REPORT10
2021-04-07,NA,Under investigation,B.1.617.2,3,PHE_REPORT10
2021-04-08,NA,Traveller,B.1.617.2,3,PHE_REPORT10
2021-04-08,NA,Under investigation,B.1.617.2,5,PHE_REPORT10
2021-04-09,NA,Traveller,B.1.617.2,3,PHE_REPORT10
2021-04-09,NA,Under investigation,B.1.617.2,4,PHE_REPORT10
2021-04-10,NA,Traveller,B.1.617.2,4,PHE_REPORT10
2021-04-10,NA,Contact of Traveller,B.1.617.2,1,PHE_REPORT10
2021-04-10,NA,Not travel-associated,B.1.617.2,2,PHE_REPORT10
2021-04-10,NA,Under investigation,B.1.617.2,3,PHE_REPORT10
2021-04-11,NA,Traveller,B.1.617.2,7,PHE_REPORT10
2021-04-11,NA,Contact of Traveller,B.1.617.2,1,PHE_REPORT10
2021-04-11,NA,Under investigation,B.1.617.2,9,PHE_REPORT10
2021-04-12,NA,Traveller,B.1.617.2,5,PHE_REPORT10
2021-04-12,NA,Contact of Traveller,B.1.617.2,2,PHE_REPORT10
2021-04-12,NA,Under investigation,B.1.617.2,4,PHE_REPORT10
2021-04-13,NA,Traveller,B.1.617.2,3,PHE_REPORT10
2021-04-13,NA,Not travel-associated,B.1.617.2,1,PHE_REPORT10
2021-04-13,NA,Under investigation,B.1.617.2,3,PHE_REPORT10
2021-04-14,NA,Traveller,B.1.617.2,12,PHE_REPORT10
2021-04-14,NA,Contact of Traveller,B.1.617.2,1,PHE_REPORT10
2021-04-14,NA,Not travel-associated,B.1.617.2,3,PHE_REPORT10
