"row","locality_revgeo","administrative_area_level_1_revgeo","administrative_area_level_2_revgeo","country_revgeo"
757,"Nabeul<U+200E>","Nabeul","Nabeul","Tunisia"
758,"Sfax","Sfax","Sfax Ville","Tunisia"
759,"Sidi Bouzid","Sidi Bou Zid","Sidi Bouzid Ouest","Tunisia"
760,"Siliana","Siliana","Siliana Sud","Tunisia"
761,"Sulayman","Nabeul","Soliman","Tunisia"
762,"Sousse","Sousse","Sousse Medina","Tunisia"
763,"Tunis","Tunis","Bab Bhar","Tunisia"
764,"Tunis","Tunis","Bab Bhar","Tunisia"
765,NA,"Central Region","Mityana","Uganda"
766,NA,"Central Region","Mityana","Uganda"
767,NA,"Central Region","Nakasongola","Uganda"
768,NA,"Northern Region","Pader","Uganda"
769,NA,"Northern Region","Pader","Uganda"
770,NA,"Copperbelt Province","Lufwanyama","Zambia"
771,NA,"Central Province","Kabwe","Zambia"
772,NA,"Copperbelt Province","Lufwanyama","Zambia"
773,NA,"Eastern Province","Mambwe","Zambia"
774,NA,"Luapula Province","Milenge","Zambia"
775,"Lusaka","Lusaka Province","Lusaka","Zambia"
776,NA,"Northern Province","Chinsali","Zambia"
777,NA,"Copperbelt Province","Mpongwe","Zambia"
778,NA,"Northwestern Province","Mwinilunga","Zambia"
779,NA,"Northern Province","Mporokoso","Zambia"
780,NA,"Southern Province","Kalomo","Zambia"
781,NA,"Western Province","Senanga","Zambia"
782,"Bulawayo","Matabeleland South Province","Bulawayo","Zimbabwe"
783,"Harare","Harare Province","Harare","Zimbabwe"
784,"Harare","Harare Province","Harare","Zimbabwe"
785,NA,"Manicaland Province","Mutare","Zimbabwe"
786,NA,"Mashonaland East Province","Wedza","Zimbabwe"
787,NA,"Mashonaland Central Province","Centenary","Zimbabwe"
788,NA,"Mashonaland East Province","Wedza","Zimbabwe"
789,NA,"Mashonaland West Province","Makonde","Zimbabwe"
790,"Masvingo","Masvingo Province","Masvingo","Zimbabwe"
791,NA,"Midlands Province","Kwekwe","Zimbabwe"
792,NA,"Midlands Province","Kwekwe","Zimbabwe"
793,NA,"Daykundi","Khidir","Afghanistan"
794,NA,"Kotayk Province",NA,"Armenia"
795,"Manama","Capital Governorate",NA,"Bahrain"
796,NA,"Southern Governorate",NA,"Bahrain"
797,"Bagerhat","Khulna Division","Bagerhat District","Bangladesh"
798,"Dhaka","Dhaka Division","Dhaka District","Bangladesh"
799,"Barishal","Barisal Division","Barisal District","Bangladesh"
800,"Barishal","Barisal Division","Barisal District","Bangladesh"
801,NA,"Barisal Division","Bhola District","Bangladesh"
802,"Bogura","Rajshahi Division","Bogra District","Bangladesh"
803,NA,"Chittagong Division","Brahmanbaria District","Bangladesh"
804,NA,"Chittagong Division","Chandpur District","Bangladesh"
805,NA,"Rajshahi Division","Chapainawabganj District","Bangladesh"
806,"Chattogram","Chittagong Division","Chittagong District","Bangladesh"
807,"Chattogram","Chittagong Division","Chittagong District","Bangladesh"
808,"Chattogram","Chittagong Division","Chittagong District","Bangladesh"
809,"Chuadanga","Khulna Division","Chuadanga District","Bangladesh"
810,"Chuadanga","Khulna Division","Chuadanga District","Bangladesh"
811,"Cox's Bazar","Chittagong Division","Cox's Bazar District","Bangladesh"
812,"Cox's Bazar","Chittagong Division","Cox's Bazar District","Bangladesh"
813,"Cox's Bazar","Chittagong Division","Cox's Bazar District","Bangladesh"
814,NA,"Chittagong Division","Cox's Bazar District","Bangladesh"
815,"Cumilla","Chittagong Division","Comilla District","Bangladesh"
816,"Dhaka","Dhaka Division","Dhaka District","Bangladesh"
817,"Dhaka","Dhaka Division","Dhaka District","Bangladesh"
818,"Dhaka","Dhaka Division","Dhaka District","Bangladesh"
819,"Dhaka","Dhaka Division","Dhaka District","Bangladesh"
820,"Dinajpur","Rangpur Division","Dinajpur District","Bangladesh"
821,NA,"Chittagong Division","Feni District","Bangladesh"
822,"Gaibandha","Rangpur Division","Gaibandha District","Bangladesh"
823,"Gazipur","Dhaka Division","Gazipur District","Bangladesh"
824,"Habiganj","Sylhet Division","Habiganj District","Bangladesh"
825,NA,"Khulna Division","Jessore District","Bangladesh"
826,NA,"Rajshahi Division","Jaipurhat District","Bangladesh"
827,NA,"Barisal Division","Jhalokati District","Bangladesh"
828,"Jhenaidah","Khulna Division","Jhenaidah District","Bangladesh"
829,NA,"Rajshahi Division","Jaipurhat District","Bangladesh"
830,NA,"Chittagong Division","Khagrachari District","Bangladesh"
831,NA,"Khulna Division","Khulna District","Bangladesh"
832,NA,"Dhaka Division","Kishoreganj District","Bangladesh"
833,"Kushtia","Khulna Division","Kushtia District","Bangladesh"
834,NA,"Chittagong Division","Lakshmipur District","Bangladesh"
835,"Chandrapur","Rangpur Division","Lalmonirhat District","Bangladesh"
836,NA,"Chittagong Division","Lakshmipur District","Bangladesh"
837,NA,"Chittagong Division","Lakshmipur District","Bangladesh"
838,NA,"Dhaka Division","Madaripur District","Bangladesh"
839,NA,"Khulna Division","Meherpur District","Bangladesh"
840,"Baligaon","Dhaka Division","Munshiganj District","Bangladesh"
841,NA,"Mymensingh Division","Mymensingh District","Bangladesh"
842,NA,"Mymensingh Division","Mymensingh District","Bangladesh"
843,NA,"Dhaka Division","Dhaka District","Bangladesh"
844,"Naogaon","Rajshahi Division","Naogaon District","Bangladesh"
845,"Narayanganj","Dhaka Division","Narayanganj District","Bangladesh"
846,NA,"Dhaka Division","Narsingdi District","Bangladesh"
847,"Narsingdi","Dhaka Division","Narsingdi District","Bangladesh"
848,NA,"Rajshahi Division","Natore District","Bangladesh"
849,NA,"Rangpur Division","Nilphamari District","Bangladesh"
850,"Noakhali","Chittagong Division","Noakhali District","Bangladesh"
851,"Pabna","Rajshahi Division","Pabna District","Bangladesh"
852,NA,"Dhaka Division","Rajbari District","Bangladesh"
853,"Rajshahi","Rajshahi Division","Rajshahi District","Bangladesh"
854,"Rangamati","Chittagong Division","Rangamati Hill District","Bangladesh"
855,"Rangpur","Rangpur Division","Rangpur District","Bangladesh"
856,"Satkhira","Khulna Division","Satkhira District","Bangladesh"
857,NA,"Dhaka Division","Shariatpur District","Bangladesh"
858,NA,"Mymensingh Division","Sherpur District","Bangladesh"
859,"Ullapara","Rajshahi Division","Sirajganj District","Bangladesh"
860,"Ullapara","Rajshahi Division","Sirajganj District","Bangladesh"
861,"Sylhet","Sylhet Division","Sylhet District","Bangladesh"
862,NA,"Dhaka Division","Tangail District","Bangladesh"
863,NA,"Dhaka Division","Dhaka District","Bangladesh"
864,NA,"Tutong District","Rambai","Brunei"
865,"Krong Stueng Saen","Kampong Thom Province","Stueng Saen","Cambodia"
866,"Phnom Penh","Phnom Penh","Chamkarmon","Cambodia"
867,NA,"Sihanoukville","Krong Preah Sihanouk","Cambodia"
868,"Hefei","Anhui",NA,"China"
869,NA,"Beijing",NA,"China"
870,"Changde","Hunan",NA,"China"
871,NA,"Chongqing",NA,"China"
872,"Fuzhou","Fujian",NA,"China"
873,"Lanzhou","Gansu",NA,"China"
874,"Guangzhou","Guangdong Province",NA,"China"
875,"Nanning","Guangxi",NA,"China"
876,"Guangzhou","Guangdong Province",NA,"China"
877,"Hangzhou","Zhejiang",NA,"China"
878,"Harbin","Heilongjiang",NA,"China"
