"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.2.76) - Delta","Asia",0.150138620746922,0.00294531355094873,NA,0.144365912263884,0.155911329229959,0
"Omicron (BA.2.76) - Omicron (BA.1)","Asia",0.13144461450688,0.00292531059065452,NA,0.125711111105604,0.137178117908157,0
"Omicron (BA.2.76) - Omicron (BA.2)","Asia",0.0643976389578924,0.00288567416601764,NA,0.0587418215213802,0.0700534563944046,0
"Omicron (BA.2.76) - Omicron (BA.3)","Asia",0.0438466541679479,0.00327772345099704,NA,0.0374224342527113,0.0502708740831844,0
"Omicron (BA.2.76) - Omicron (BA.4)","Asia",0.0269006759985837,0.00537443981251739,NA,0.0163669675289714,0.037434384468196,0.00010065922244773
"Omicron (BA.2.76) - Omicron (BA.2.74)","Asia",0.0240373840744213,0.00464046058555824,NA,0.0149422484550495,0.0331325196937931,4.66684586238886e-05
"Omicron (BA.2.75) - Omicron (BA.5)","Asia",0.0609547026639184,0.00789099649091592,NA,0.0454886337395913,0.0764207715882456,1.18129728221561e-10
"Omicron (BA.2.75) - Beta","Asia",0.285006038579494,0.0101298051430725,NA,0.265151985328663,0.304860091830324,0
"Omicron (BA.2.75) - Alpha","Asia",0.36762073050527,0.00795229009268266,NA,0.352034528328997,0.383206932681542,0
"Omicron (BA.2.75) - Other","Asia",0.15531983185251,0.00783634177433966,NA,0.139960884204258,0.170678779500763,0
"Omicron (BA.2.75) - Delta","Asia",0.23528780892791,0.00784714729127977,NA,0.21990768285562,0.250667935000199,0
"Omicron (BA.2.75) - Omicron (BA.1)","Asia",0.216593802687868,0.00783991120672856,NA,0.201227859080689,0.231959746295048,0
"Omicron (BA.2.75) - Omicron (BA.2)","Asia",0.149546827138881,0.00782540492565058,NA,0.134209315320163,0.164884338957598,0
"Omicron (BA.2.75) - Omicron (BA.3)","Asia",0.128995842348936,0.00797892942251186,NA,0.113357428045626,0.144634256652246,0
"Omicron (BA.2.75) - Omicron (BA.4)","Asia",0.112049864179572,0.00902848368850418,NA,0.0943543613150963,0.129745367044047,0
"Omicron (BA.2.75) - Omicron (BA.2.74)","Asia",0.109186572255409,0.00860473312400853,NA,0.0923216052357739,0.126051539275045,0
"Omicron (BA.2.75) - Omicron (BA.2.76)","Asia",0.0851491881809882,0.00813777853898568,NA,0.0691994353304133,0.101098941031563,9.14823772291129e-14
"Beta - Omicron (BA.5)","North America",-0.22389020135163,0.00705152098318131,NA,-0.237710928514893,-0.210069474188366,0
"Alpha - Omicron (BA.5)","North America",-0.202959207699594,0.00098103495611958,NA,-0.204882000881164,-0.201036414518025,0
"Alpha - Beta","North America",0.020930993652035,0.00705282601306234,NA,0.00710770867720563,0.0347542786268645,0.129338764170183
"Other - Omicron (BA.5)","North America",-0.03505170766016,0.000549946201219086,NA,-0.036129582407984,-0.0339738329123359,0
"Other - Beta","North America",0.18883849369147,0.00703130376486755,NA,0.175057391547968,0.202619595834971,0
"Other - Alpha","North America",0.167907500039434,0.000827840689255218,NA,0.166284962103557,0.169530037975312,0
"Delta - Omicron (BA.5)","North America",-0.138232043304247,0.000681084587814222,NA,-0.139566944566788,-0.136897142041706,0
"Delta - Beta","North America",0.0856581580473823,0.00704441732251216,NA,0.0718513538031884,0.0994649622915762,8.88178419700125e-16
"Delta - Alpha","North America",0.0647271643953473,0.000955916012598247,NA,0.0628536034384096,0.066600725352285,0
"Delta - Other","North America",-0.103180335644087,0.000331776280081523,NA,-0.103830605203972,-0.102530066084203,0
"Omicron (BA.1) - Omicron (BA.5)","North America",-0.175782156232346,0.000730451144312901,NA,-0.177213814167665,-0.174350498297027,0
"Omicron (BA.1) - Beta","North America",0.0481080451192836,0.00704283842173466,NA,0.0343043354637487,0.0619117547748184,1.47098839775595e-08
