"row","lat","lng"
1,28.0174403,-0.2642497
2,36.753768,3.0587561
3,36.753768,3.0587561
4,35.5634192,6.1889996
5,36.7515258,5.0556837
6,34.8449437,5.7248567
7,36.4735715,2.8323153
8,36.0739925,4.7630271
9,36.5832413,2.9121256
10,36.3691846,3.9006194
11,34.6703956,3.2503761
12,35.3051544,4.1692941
13,33.367811,6.8516511
14,33.8078341,2.8628294
15,36.2637078,2.7587857
16,35.6987388,-0.6349319
17,31.9527411,5.3335348
18,36.1897593,5.4107984
19,35.2105876,-0.629983
20,27.6719159,-8.1398003
21,36.5906719,2.4433723
22,35.6053781,1.813098
23,36.713548,4.0473075
24,33.1049642,6.0662834
25,-9.1042257,13.7289167
26,-12.5727907,17.668887
27,-12.343907,16.947666
28,-9.85,17.3
29,-5.5705739,12.197583
30,-9.25,14.95
31,-16.2802221,16.1580937
32,-12.7739761,15.7468535
33,-12.7739761,15.7468535
34,-14.9280553,14.6587821
35,-8.8146556,13.2301756
36,-8.8146556,13.2301756
37,-11.202692,17.873887
38,-7.6102105,15.0615865
39,-7.6102105,15.0615865
40,-6.5733458,13.1740348
41,6.9421349,1.6736397
42,6.5915435,1.6809283
43,6.6588391,2.2236667
44,7.1797684,2.0714223
45,6.4096168,1.8855057
46,6.3702928,2.3912362
47,7.0035894,1.7538817
48,7.2188798,2.3394209
49,6.8964579,1.6955092
50,6.2639324,1.7417143
51,7.0461241,1.8708613
52,6.8954168,1.9685826
53,6.3806973,2.4406387
54,6.6448093,1.7198215
55,6.6607182,1.7538817
56,6.6148152,2.4999918
57,6.4968574,2.6288523
58,7.3469268,2.0665197
59,-22.328474,24.684866
60,-24.8250242,25.7072198
61,-21.981377,28.4279933
62,-22.0939778,28.5797981
63,-22.4286211,26.6979736
64,-24.42787,26.023656
65,-20.7930785,24.3740273
66,-21.1672276,26.419389
67,-21.1672276,26.419389
68,-22.2789264,20.0747439
69,-18.4256281,24.7142918
70,-24.6169308,25.9463035
71,-21.6795525,26.7546698
72,-23.945308,22.9833275
73,-21.1661005,27.5143603
74,-24.6282079,25.9231471
75,-21.6960991,21.6481861
76,-21.816667,28.783333
77,-25.4741508,25.4318914
78,-25.4741508,25.4318914
79,-25.4741508,25.4318914
80,-24.6282079,25.9231471
81,-22.5514872,27.1147095
82,-22.3,27.016667
83,-25.6556821,25.3990841
84,-23.9931196,21.7495419
85,-24.6059582,24.7202287
86,-24.988061,25.3430203
87,-17.7952306,25.1711298
88,-21.4166667,24.6
89,-22.3867269,27.5671944
90,-24.7550285,21.8568586
91,-24.7550285,21.8568586
92,-24.1970445,26.2304616
93,-24.4770763,25.8906212
94,-23.8367249,25.2837585
95,-23.8983478,25.9574361
96,-21.966667,27.5
97,-24.259633,25.8580914
98,-24.097317,25.0288051
99,-25.2076148,25.6805868
100,-22.2133399,26.8331628
101,-22.2133399,26.8331628
102,NA,NA
103,-22.624585,26.359908
104,-23.107801,26.8321332
105,-22.1136348,26.8833526
106,-21.8130353,25.9379302
107,-21.8130353,25.9379302
108,-22.28005,20.032921
109,-20.666667,27.416667
110,-20.9977174,27.3352044
111,-25.3169512,25.2659777
112,-22.7193833,27.3104979
113,-19.9952622,23.4180769
114,-22.5923709,27.637617
115,-20.5013095,27.3440192
116,-25.5380308,25.3696844
117,-21.88106,27.751381
118,-21.865622,26.4400439
119,-24.3994943,26.1477598
120,-24.3994943,26.1477598
121,-24.6290665,26.1280605
122,-22.4330211,26.5639347
123,-22.6295397,26.4016834
124,-24.3965818,25.4970466
125,-23.9833329,23.083333
126,-20.2221381,24.13799
127,-22.328474,24.684866
128,-19.1905321,23.0011989
129,-20.9030555,27.4556388
130,-24.5700786,26.0569682
131,-21.3119942,25.4022706
132,-25.0324274,25.7486438
133,-22.2637003,26.790893
134,-22.5514872,27.1147095
135,-24.4028003,26.1244807
136,-25.4698831,25.6036327
137,-25.559139,25.5829107
138,-21.0299906,24.3995073
139,-25.6373792,25.5473838
140,-20.5910692,27.6493515
141,-24.8705652,25.8640062
142,-24.3775991,26.0735078
143,NA,NA
144,-22.0028763,27.8428651
145,-22.0028763,27.8428651
146,-22.0028763,27.8428651
147,-22.0028763,27.8428651
148,-24.7427546,29.9899512
149,-22.4036831,26.7142835
150,-23.4767672,25.6703794
151,-24.6327013,26.4016834
152,-23.4393092,25.7516025
153,-24.9366094,25.8048521
154,-24.823384,24.7142918
155,-24.9366094,25.8048521
156,-20.5628814,26.1772994
157,-21.2795511,27.4908738
158,-22.4899329,26.4282413
159,-25.4833329,25.633333
160,-24.6679808,25.9763625
161,-20.7321921,27.5906715
162,-25.8314614,24.6846064
163,-25.2661646,23.2781528
164,10.6400163,-4.7588042
165,9.8760685,-2.9209069
166,9.8760685,-2.9209069
167,11.1649219,-4.3051542
168,11.7459813,-2.930081
169,11.584275,-4.5582421
170,11.1490462,-3.0601241
171,10.9578957,-3.2432781
172,10.3231036,-3.1679257
173,11.4894238,-3.523092
174,12.516667,-1.383333
175,11.7641939,-4.8176779
176,12.238333,-1.561593
177,10.9808313,-4.9091329
178,12.3714277,-1.5196603
179,12.5840501,-1.2987349
180,-3.373056,29.918886
181,6.9181954,12.8054753
182,2.3815417,11.2665498
183,5.4815596,10.4271347
184,4.6298411,11.7068294
185,4.6298411,11.7068294
186,4.0510564,9.7678687
187,5.4459387,10.0471549
188,3.9505128,13.914399
189,2.9262958,11.1560732
190,10.6315589,14.6587821
191,9.3226016,13.393389
192,2.9405941,9.9101915
193,4.1682138,10.0807298
194,2.9372148,11.9861694
195,2.7202832,11.7068294
196,2.7202832,11.7068294
197,5.1573493,9.3673084
198,5.4638158,10.8000051
199,3.8480325,11.5020752
200,3.8480325,11.5020752
201,14.8444438,-24.7024179
202,14.9133487,-24.3816818
203,15.2003098,-23.1679793
204,16.8765457,-24.9813499
205,14.93305,-23.5133267
206,15.0852627,-23.6204644
207,2.9017408,16.2698669
208,6.611111,20.939444
209,12.1348457,15.0557415
210,-12.2914287,43.7429863
211,-12.3377376,43.7334089
212,-12.3534847,43.7324546
213,-12.3377376,43.7334089
214,-11.7167338,43.3680788
215,-4.2955851,15.2458111
216,-4.2633597,15.2428853
217,-4.1807861,15.2529263
218,-4.1515455,15.3359426
219,-4.3109519,15.1871929
220,-4.2689164,15.2136302
221,-4.2538193,15.231379
222,-4.2481122,15.2604409
223,-0.228021,15.827659
224,-4.2452176,15.2809247
225,-4.2740288,15.2677562
226,-4.217871,15.2838511
227,-2.5123017,28.8480284
228,-11.0646485,27.5495846
229,-11.0646485,27.5495846
230,3.5845154,28.299435
231,-11.0646485,27.5495846
232,-4.4419311,15.2662931
233,-5.1382186,15.0908147
234,-5.2365685,13.914399
235,-4.038333,21.758664
236,-4.038333,21.758664
237,-4.4863479,18.4276047
238,-10.48087,25.634159
239,-4.038333,21.758664
240,-0.7917729,29.0459927
241,-3.011658,28.299435
242,-3.011658,28.299435
243,7.6730918,-5.5722297
244,6.9827437,-5.7405139
245,7.690466,-5.0390536
246,7.690466,-5.0390536
247,7.641022,-4.826908
248,8.3662588,-4.433644
249,6.6574752,-4.7122337
250,9.5842012,-5.1953554
251,6.5490578,-7.4976536
252,8.1402266,-5.0963141
253,7.539989,-5.54708
254,8.6593905,-5.2867304
255,7.9601788,-6.6745042
256,6.8276228,-5.2893433
257,7.4240414,-6.0520363
258,11.825138,42.590275
259,11.825138,42.590275
260,11.825138,42.590275
261,31.2000924,29.9187387
262,30.8760568,29.742604
263,23.6966498,32.7181375
264,30.0444196,31.2357116
265,31.4175388,31.8144434
266,31.3625799,31.6739371
267,29.453611,30.580833
268,30.8753556,31.03351
269,30.0130557,31.2088526
270,30.3292368,31.2168466
271,30.5972455,30.9876321
272,26.820553,30.802498
273,30.3292368,31.2168466
274,24.6826316,34.1531947
275,24.6826316,34.1531947
276,26.5590737,31.6956705
277,26.5590737,31.6956705
278,29.3101828,34.1531947
279,29.9668343,32.5498069
280,3.6595072,8.7921836
281,3.4209785,8.6160674
282,1.5750244,9.8124935
283,1.650801,10.267895
284,1.4166162,11.0711758
285,-26.1365662,31.3541631
286,-26.7851773,31.8107079
287,-26.5081999,31.3713164
288,-26.5009481,31.3141291
289,-26.3054482,31.1366715
290,-25.9685155,31.2483291
291,-26.9827577,31.3541631
292,-26.6773812,31.6824901
293,-26.4417804,31.9416226
294,8.9806034,38.7577605
295,8.9806034,38.7577605
296,11.3494247,37.9784585
297,10.8559763,42.7364701
298,9.145,40.489673
299,7.5460377,40.6346851
300,-0.803689,11.609444
301,0.4432864,10.0807298
302,-1.4762544,13.914399
303,-0.7015457,10.2403858
304,0.4161976,9.4672676
305,-0.803689,11.609444
306,-0.7351026,8.7591311
307,-2.9278774,10.997658
308,13.3094412,-14.2192475
309,13.2342227,-16.7470536
310,13.2229202,-16.5819789
311,6.2980575,-1.8369139
312,5.6037168,-0.1869644
313,5.6037168,-0.1869644
314,6.7470436,-1.5208624
315,6.7470436,-1.5208624
316,6.7470436,-1.5208624
317,6.2796985,-0.6393702
318,7.9559247,-1.6760691
319,7.5972336,-1.8800495
320,7.9559247,-1.6760691
321,5.13151,-1.2794744
322,5.5607846,-1.0586135
323,5.5607846,-1.0586135
324,6.2374036,-0.4502368
325,6.2374036,-0.4502368
326,5.8142836,0.0746767
327,5.8142836,0.0746767
328,5.8142836,0.0746767
329,5.8142836,0.0746767
330,5.8142836,0.0746767
331,6.449845,-0.7152749
332,6.449845,-0.7152749
333,5.5918012,-0.0964227
334,6.110262,-0.1869644
335,7.946527,-1.023194
336,6.1313988,-0.3183792
337,9.5439269,-0.9056623
338,5.301832,-1.9930466
339,5.301832,-1.9930466
340,10.7082499,-0.9820668
341,10.2529757,-2.1450245
342,6.5781373,0.4502368
343,6.5781373,0.4502368
344,5.3901978,-2.1450245
345,5.3901978,-2.1450245
346,5.3901978,-2.1450245
347,11.803749,-15.180413
348,8.6884098,-8.6435589
349,10.1808254,-14.0391615
350,10.9406953,-14.2802961
351,9.945587,-9.696645
352,9.7086357,-13.3876116
353,10.7297806,-11.1107854
354,9.550278,-13.672011
355,9.7907348,-13.5147735
356,9.7907348,-13.5147735
357,10.2587018,-10.8000051
358,9.4344715,-13.0904353
359,8.5649688,-10.1311163
360,9.509167,-13.712222
361,10.3827887,-9.3118282
362,9.2702601,-9.0073673
363,10.0406725,-12.8629885
364,10.1781694,-12.989615
365,9.1914538,-10.1143176
366,11.3232042,-12.2891314
367,11.641159,-11.8891721
368,11.183333,-12.933333
369,10.3785237,-12.0832543
370,9.576944,-13.611944
371,9.945587,-9.696645
372,8.038587,-8.8362755
373,9.583333,-13.65
374,11.4148113,-9.1788304
375,11.4464221,-11.6641388
376,0.8554988,36.0893406
377,-0.8015009,35.3027226
378,0.4607691,34.1114621
379,0.5695252,34.5583766
380,0.4607691,34.1114621
381,0.0925798,40.3190719
382,0.5142775,35.2697802
383,1.0498237,35.4781926
384,-0.5388381,37.4596409
385,-0.4532293,39.6460988
386,NA,NA
387,-0.5350427,34.4530968
388,-0.5350427,34.4530968
389,0.355636,37.5833061
390,-2.0980751,36.7819505
391,0.2827307,34.7518631
392,NA,NA
393,-0.3688967,35.286286
394,-0.4993281,37.2784835
395,-1.1748105,36.8304102
396,-3.5106508,39.9093269
397,-0.6590565,37.3827234
398,-0.677334,34.779603
399,-0.0917016,34.7679568
400,-0.0917016,34.7679568
401,-1.3750813,37.9952144
402,-4.1816115,39.4605612
403,0.4111927,32.5825197
404,0.3606063,36.7819505
405,-2.2695575,40.9006408
406,-1.5176837,37.2634146
407,-2.2777039,37.8246955
408,-2.2558734,37.8936663
409,0.636206,34.2782765
410,3.9356389,41.8551162
411,0.0514721,37.6456042
412,0.3557174,37.8087693
413,-1.0706976,34.4752715
414,-4.0434771,39.6682065
415,3.5399846,39.0528407
416,0.110228,37.8700876
417,-0.7839281,37.0400339
418,-0.023559,37.906193
419,-1.2920659,36.8219462
420,-0.3030988,36.080026
421,0.1835867,35.1268781
422,-1.0875428,35.8770642
423,NA,NA
424,-0.5669405,34.9341234
425,-0.1803855,36.5229641
426,-0.1995242,34.8844867
427,-0.437099,36.9580104
428,0.0626293,34.2878084
429,-3.3160687,38.4849923
430,-3.3160687,38.4849923
431,-0.9628511,39.8698303
432,-0.9628511,39.8698303
433,-0.2964851,37.7237678
434,1.0566667,34.9506625
435,1.0566667,34.9506625
436,1.0566667,34.9506625
437,1.0566667,34.9506625
438,3.3122477,35.5657862
439,0.5527638,35.3027226
440,0.5527638,35.3027226
441,0.0767553,34.7077665
442,1.7488388,40.058633
443,-1.110545,36.629368
444,1.6210076,35.3905046
445,-29.1746723,27.8311428
446,-28.801561,28.5331038
447,-28.8638065,28.0478826
448,-29.8224312,27.2388161
449,-29.3150767,27.4869229
450,-30.1425917,27.4673845
451,-29.609988,28.233608
452,-30.1114565,28.678979
453,-30.4015687,27.7080133
454,6.8295019,-9.3673084
455,7.0467758,-11.0711758
456,8.1911184,-9.7232673
457,6.5151875,-10.3048897
458,4.7258878,-7.7416703
459,6.5525815,-10.5296115
460,6.8427612,-8.6600586
461,26.3351,17.228331
462,32.8872094,13.1913383
463,-18.382333,47.2923893
464,-18.8791902,47.5079055
465,-12.3231349,49.2942833
466,-21.4546147,47.0875045
467,-15.6921494,46.3336857
468,-18.1442811,49.3957836
469,-23.3516191,43.6854936
470,-15.7666707,35.0167866
471,-15.3981321,35.3205609
472,-13.4830679,34.1531947
473,-13.4830679,34.1531947
