"contrast","DATE_NUM","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.2.76) - Other",19189,0.0148984232728492,0.00258140752694025,NA,0.00983895749062569,0.0199578890550727,2.71006781205063e-06
"Omicron (BA.2.76) - Delta",19189,0.0972715224121712,0.00279091170954949,NA,0.0918014359774231,0.102741608846919,0
"Omicron (BA.2.76) - Omicron (BA.1)",19189,0.143456029316095,0.00643084778105132,NA,0.130851799275176,0.156060259357015,0
"Omicron (BA.2.76) - Omicron (BA.2)",19189,0.0610321126636849,0.00233217744809197,NA,0.0564611288598681,0.0656030964675017,0
"Omicron (BA.2.76) - Omicron (BA.3)",19189,-0.00604295971473767,0.00357316948838034,NA,-0.0130462432226206,0.000960323793145207,0.869604928941363
"Omicron (BA.2.76) - Omicron (BA.4)",19189,0.0289613975682619,0.00609138104132462,NA,0.0170225101111555,0.0409002850253682,0.000277679872386027
"Omicron (BA.2.76) - Omicron (BA.2.74)",19189,0.00303604408109104,0.00409097001591005,NA,-0.00498210981192591,0.011054197974108,0.999848299093287
"Omicron (BA.2.75) - Omicron (BA.5)",19189,0.0649160454276054,0.00675616595270456,NA,0.0516742034867288,0.0781578873684821,9.25926002537381e-14
"Omicron (BA.2.75) - Beta",19189,0.374134332182459,0.0477804419315831,NA,0.280486386831149,0.467782277533769,4.85057549681756e-11
"Omicron (BA.2.75) - Alpha",19189,0.420333386963902,0.0161149438302306,NA,0.388748677443764,0.45191809648404,0
"Omicron (BA.2.75) - Other",19189,0.103969569635731,0.0064685553559989,NA,0.0912914341059699,0.116647705165493,0
"Omicron (BA.2.75) - Delta",19189,0.186342668775053,0.00655441227516798,NA,0.173496256775897,0.19918908077421,0
"Omicron (BA.2.75) - Omicron (BA.1)",19189,0.232527175678978,0.00875600817217085,NA,0.215365715013185,0.249688636344771,0
"Omicron (BA.2.75) - Omicron (BA.2)",19189,0.150103259026567,0.00638433414269636,NA,0.137590194041613,0.162616324011521,0
"Omicron (BA.2.75) - Omicron (BA.3)",19189,0.0830281866481446,0.00689656709241238,NA,0.0695111635300522,0.096545209766237,0
"Omicron (BA.2.75) - Omicron (BA.4)",19189,0.118032543931144,0.00847645209269152,NA,0.10141900311279,0.134646084749499,0
"Omicron (BA.2.75) - Omicron (BA.2.74)",19189,0.0921071904439733,0.00697254022755284,NA,0.078441262717213,0.105773118170734,0
"Omicron (BA.2.75) - Omicron (BA.2.76)",19189,0.0890711463628823,0.00652268580364077,NA,0.0762869171052757,0.101855375620489,0
