"week_midpoint","country","non_sgtf","sgtf","Other","Alpha","Beta","Gamma","Delta","Omicron (B.1.1.529)","Omicron (BA.1)","Omicron (BA.2)","Omicron (BA.3)","Omicron","Total","longitude","latitude","continent","date_num"
2019-12-26,"Denmark",0,0,0,0,0,0,0,0,0,0,0,0,0,10.02799418,55.98126391,"Europe",18256
2019-12-26,"Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,42.56067681,11.74872052,"Africa",18256
2019-12-26,"Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0,-61.35773122,15.43947211,"North America",18256
2019-12-26,"Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,-70.50569086,18.8943308,"North America",18256
2019-12-26,"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,-78.75203573,-1.42381949,"South America",18256
2019-12-26,"Egypt",0,0,0,0,0,0,0,0,0,0,0,0,0,29.8618993,26.49593108,"Africa",18256
2019-12-26,"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,-88.87164456,13.73944008,"North America",18256
2019-12-26,"Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,10.34138898,1.70554042,"Africa",18256
2019-12-26,"Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0,25.54248555,58.67192416,"Europe",18256
2019-12-26,"Eswatini",0,0,0,0,0,0,0,0,0,0,0,0,0,31.465866,-26.522503,"Africa",18256
2019-12-26,"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,39.6008014,8.62278417,"Africa",18256
2019-12-26,"Faroe Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,-6.88096322,62.05386227,"Europe",18256
2019-12-26,"Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0,165.4505548,-17.4285609,"Oceania",18256
2019-12-26,"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,26.27467024,64.49884844,"Europe",18256
2019-12-26,"France",0,0,0,0,0,0,0,0,0,0,0,0,0,2.53618475,46.18700581,"Europe",18256
2019-12-26,"French Guiana",0,0,0,0,0,0,0,0,0,0,0,0,0,-53.2484462,3.92595718,"South America",18256
2019-12-26,"French Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0,-144.9048876,-14.72228068,"Oceania",18256
2019-12-26,"Gabon",0,0,0,0,0,0,0,0,0,0,0,0,0,11.78863005,-0.58660329,"Africa",18256
2019-12-26,"Gambia",0,0,0,0,0,0,0,0,0,0,0,0,0,-15.39601809,13.44965377,"Africa",18256
2019-12-26,"Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,43.50778995,42.16855944,"Asia",18256
2019-12-26,"Germany",0,0,0,0,0,0,0,0,0,0,0,0,0,10.38577693,51.10697903,"Europe",18256
2019-12-26,"Ghana",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.21676901,7.95345124,"Africa",18256
2019-12-26,"Gibraltar",0,0,0,0,0,0,0,0,0,0,0,0,0,-5.35257,36.14474,"Europe",18256
2019-12-26,"Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,22.95556207,39.07466973,"Europe",18256
2019-12-26,"Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0,-61.68219415,12.1172555,"North America",18256
2019-12-26,"Guadeloupe",0,0,0,0,0,0,0,0,0,0,0,0,0,-61.551,16.265,"North America",18256
2019-12-26,"Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,144.7679224,13.4416655,"Oceania",18256
2019-12-26,"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,-90.36482288,15.69404158,"North America",18256
2019-12-26,"Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,-10.94066379,10.43621595,"Africa",18256
2019-12-26,"Guinea-Bissau",0,0,0,0,0,0,0,0,0,0,0,0,0,-14.94972941,12.04744454,"Africa",18256
