year,week,B.1.1.7,B.1.617.2,B.1.1,P.1.1,B.1.551,R.1,B.1.575,B.1.623,B,B.1.351.3,B.1.1.318,B.1.1.28,A
,21,124,31,,,,,,,,,,,
2021,22,68,45,8,6,5,3,3,2,2,1,1,1,1
