"rowid","type","group","term","contrast","dydx","std.error","statistic","p.value","conf.low","conf.high","predicted","predicted_hi","predicted_lo"
1,"link","Omicron (XBB.1.5*)","date_num","mean(dY/dX)",0,0,NA,NA,0,0,0,0,0
1,"link","Other","date_num","mean(dY/dX)",-0.050576486051095,0.000268374925803625,-188.454587922654,0,-0.0511024912400237,-0.0500504808621662,-3.27686183449832,-3.28305745403958,-3.27686183449832
1,"link","B.1.177 (EU1)","date_num","mean(dY/dX)",-0.572457472182986,0.00243769833880269,-234.835239073985,0,-0.577235273132212,-0.567679671233759,-235.710968518939,-235.781094559281,-235.710968518939
1,"link","B.1.160 (EU2)","date_num","mean(dY/dX)",-0.527796223564899,0.0042220436720239,-125.009655172963,0,-0.536071277103221,-0.519521170026577,-218.498366615158,-218.563021652545,-218.498366615158
1,"link","B.1.221 (20A/S:98F)","date_num","mean(dY/dX)",-0.593586057693199,0.00645626277571189,-91.9395753106948,0,-0.606240100208321,-0.580932015178077,-246.422534594178,-246.495248886245,-246.422534594178
1,"link","Beta","date_num","mean(dY/dX)",-0.192826857401505,0.00184182740432481,-104.693228555904,0,-0.19643677277972,-0.189216942023289,-58.5708228637286,-58.5944441537603,-58.5708228637286
1,"link","Alpha","date_num","mean(dY/dX)",-0.334644665125854,0.00130481058230477,-256.469919591508,0,-0.337202046873818,-0.332087283377889,-113.589815898194,-113.630809869672,-113.589815898194
1,"link","Delta","date_num","mean(dY/dX)",-0.541132541257514,0.00107130997678799,-505.112948616367,0,-0.543232270228296,-0.539032812286731,-162.729613187339,-162.795901923643,-162.729613187339
1,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.511091365922079,0.00130739799425881,-390.922556227285,0,-0.513653818904287,-0.508528912939872,-130.315505600286,-130.378114292611,-130.315505600286
1,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.357892953982451,0.000664322080182666,-538.734093986524,0,-0.359195001333744,-0.356590906631159,-76.8005435287486,-76.8443854156115,-76.8005435287486
1,"link","Omicron (BA.2.12.1*)","date_num","mean(dY/dX)",-0.372975487249273,0.000926397207750981,-402.608604741747,0,-0.374791192411843,-0.371159782086703,-75.6243137048885,-75.6700032020765,-75.6243137048885
1,"link","Omicron (BA.2.38*)","date_num","mean(dY/dX)",-0.277242452430491,0.00151666581334332,-182.797324230141,0,-0.280215062801227,-0.274269842059755,-60.0077994526012,-60.041761653024,-60.0077994526012
1,"link","Omicron (BA.4*)","date_num","mean(dY/dX)",-0.120644640716415,0.000585893555796069,-205.915630105356,0,-0.121792970984549,-0.119496310448281,-19.0545542853075,-19.0693332537953,-19.0545542853075
1,"link","Omicron (BA.4.6*)","date_num","mean(dY/dX)",-0.104242683036369,0.000470941642194438,-221.349470288148,0,-0.105165711693891,-0.103319654378848,-13.9111206303729,-13.9238903590448,-13.9111206303729
1,"link","Omicron (BA.5*)","date_num","mean(dY/dX)",-0.090170863649992,0.000311850663761106,-289.147576479322,0,-0.0907820797195186,-0.0895596475804653,-9.74927940096119,-9.76032533175831,-9.74927940096119
1,"link","Omicron (BA.5.2*)","date_num","mean(dY/dX)",-0.0973992803442436,0.00032358522663879,-301.000392867032,0,-0.0980334957343848,-0.0967650649541023,-10.1231936476838,-10.135125059526,-10.1231936476838
1,"link","Omicron (BF.7*)","date_num","mean(dY/dX)",-0.0892906178633819,0.000360366108463506,-247.777512275198,0,-0.0899969224572192,-0.0885843132695446,-8.05035024760713,-8.06128834829539,-8.05035024760713
1,"link","Omicron (BA.2.76*)","date_num","mean(dY/dX)",-0.172046468003489,0.00262373814626986,-65.5730329827637,0,-0.177188900275042,-0.166904035731936,-33.2123839241431,-33.2334596164735,-33.2123839241431
1,"link","Omicron (BA.2.75*)","date_num","mean(dY/dX)",-0.11210147351068,0.000765877981716805,-146.36988683157,0,-0.113602566771398,-0.110600380249963,-15.3376723695548,-15.3514048000598,-15.3376723695548
1,"link","Omicron (BQ.1.1*)","date_num","mean(dY/dX)",-0.0736122427913786,0.00028850167765774,-255.153603920139,0,-0.0741776956890672,-0.07304678989369,-5.02684757775457,-5.03586507749651,-5.02684757775457
1,"link","Omicron (BQ.1*)","date_num","mean(dY/dX)",-0.083337502299201,0.000315097745770971,-264.481429707767,0,-0.0839550825325218,-0.0827199220658801,-7.48621419234217,-7.49642303637383,-7.48621419234217
1,"link","Omicron (BR.2.1*)","date_num","mean(dY/dX)",-0.057975445222104,0.00118629535721529,-48.8710040627617,0,-0.060300541397273,-0.0556503490469349,-8.6127712621481,-8.61987325418781,-8.6127712621481
1,"link","Omicron (CH.1.1*)","date_num","mean(dY/dX)",-0.0408260448961885,0.000282263365159606,-144.638128554527,0,-0.0413792709260564,-0.0402728188663206,-3.4400773349855,-3.44507852548529,-3.4400773349855
1,"link","Deltacron (XAY.2*)","date_num","mean(dY/dX)",-0.0464895684243003,0.00112171789146275,-41.44497362316,0,-0.0486880950923815,-0.0442910417562191,-8.23324288374658,-8.23893785587856,-8.23324288374658
1,"link","Omicron (XBF*)","date_num","mean(dY/dX)",-0.0358117449965847,0.000551635116262379,-64.9192626445327,0,-0.0368929299570665,-0.0347305600361029,-5.18674175037162,-5.1911286891337,-5.18674175037162
1,"link","Omicron (XBB*)","date_num","mean(dY/dX)",-0.0619512504758349,0.000354465225845911,-174.773845101425,0,-0.0626459895522647,-0.061256511399405,-6.80021124016223,-6.80780026834552,-6.80021124016223
