"year","week","collection_date","n_b117","n_sgtf_seq","country","collection_date_num","propB117","obs"
2020,49,2020-12-02,0,13,"Belgium",18598,0,"1"
2020,50,2020-12-09,0,8,"Belgium",18605,0,"2"
2020,51,2020-12-16,1,13,"Belgium",18612,0.0769230769230769,"3"
2020,52,2020-12-23,7,13,"Belgium",18619,0.538461538461538,"4"
2020,53,2020-12-30,23,41,"Belgium",18626,0.560975609756098,"5"
2021,1,2021-01-06,34,58,"Belgium",18633,0.586206896551724,"6"
2021,2,2021-01-13,225,259,"Belgium",18640,0.868725868725869,"7"
2021,3,2021-01-20,216,248,"Belgium",18647,0.870967741935484,"8"
