"DATE_NUM","r","SE","df","r_LOWER","r_UPPER","DATE","Re","Re_LOWER","Re_UPPER"
18322,0.230186191964889,0.0112868676636897,326.156778986118,0.207981943551788,0.252390440377989,2020-03-01,2.47439618639506,2.295661831169,2.66150238897257
18323,0.229741676469506,0.0112240867757194,326.156778986118,0.207660934637117,0.251822418301895,2020-03-02,2.47073640413794,2.29313851400477,2.65661034559096
18324,0.228646809115483,0.0110696602698651,326.156778986118,0.20686986498851,0.250423753242457,2020-03-03,2.46173645123485,2.28692757946078,2.64458820679485
18325,0.226901589902819,0.0108241374363926,326.156778986118,0.205607654007,0.248195525798638,2020-03-04,2.44743254531171,2.27703915908202,2.62550531374893
18326,0.224506018831514,0.0104884770563715,326.156778986118,0.203872415517107,0.24513962214592,2020-03-05,2.42788230846195,2.26348823204825,2.59947309375282
18327,0.221460095901568,0.0100641834843441,326.156778986118,0.201661190056299,0.241259001746837,2020-03-06,2.4031646174757,2.24629272309642,2.56664658638563
18328,0.217763821112977,0.00955354281558916,326.156778986118,0.198969480271633,0.236558161954322,2020-03-07,2.37337939778268,2.22547022580926,2.52722720277635
18329,0.213417194465748,0.00896003021657873,326.156778986118,0.195790449593224,0.231043939338272,2020-03-08,2.33864736065591,2.20103239622091,2.48146767169264
18330,0.208420215959876,0.00828902844815102,326.156778986118,0.192113508709458,0.224726923210295,2020-03-09,2.29910968309095,2.17297514317229,2.42968104425771
18331,0.202772885595363,0.00754914276415006,326.156778986118,0.187921728814248,0.217624042376478,2020-03-10,2.25492762963925,2.14126082213442,2.37225754839976
18332,0.196475203372208,0.00675471380630799,326.156778986118,0.183186898079397,0.209763508665019,2020-03-11,2.20628211532735,2.1057844991837,2.30969722371897
18333,0.189527169290412,0.00593082012476302,326.156778986118,0.177859680376078,0.201194658204746,2020-03-12,2.15337320863937,2.0663074928295,2.24267512595418
18334,0.181939135036009,0.00513153570139665,326.156778986118,0.171844049592501,0.192034220479516,2020-03-13,2.09649652192187,2.02228388822206,2.17237258059424
18335,0.173824827753221,0.00449489633625049,326.156778986118,0.164982180012934,0.182667475493507,2020-03-14,2.03671480911034,1.9727821440132,2.10191498258388
18336,0.165219297466253,0.00404358127298365,326.156778986118,0.157264505602011,0.173174089330494,2020-03-15,1.97448005564422,1.91801144385914,2.03196685719848
18337,0.156122544175105,0.00374848840891169,326.156778986118,0.148748277878631,0.163496810471578,2020-03-16,1.90998817611813,1.85867792229355,1.96216652678232
18338,0.146534567879776,0.00356430446344777,326.156778986118,0.139522640028356,0.153546495731196,2020-03-17,1.84344346842469,1.79569958729868,1.89196562137771
18339,0.136455368580267,0.00343909383734653,326.156778986118,0.129689763085833,0.1432209740747,2020-03-18,1.77505812631974,1.73004962770289,1.82078467240234
18340,0.125884946276577,0.0033252320315743,326.156778986118,0.119343337013469,0.132426555539686,2020-03-19,1.70505171933717,1.66259825162072,1.74817006210126
18341,0.114823300968707,0.00318583771280395,326.156778986118,0.108555917130542,0.121090684806873,2020-03-20,1.63365063880906,1.59403211719102,1.67387326375668
18342,0.103270432656657,0.00299660258547391,326.156778986118,0.0973753242717815,0.109165541041533,2020-03-21,1.56108750860443,1.52484436610937,1.59785935784871
18343,0.0912263413404266,0.00274620297664997,326.156778986118,0.0858238350912838,0.0966288475895695,2020-03-22,1.48760055903924,1.45534749021391,1.52029258897379
18344,0.0786910270200167,0.00243906310258515,326.156778986118,0.0738927459876931,0.0834893080523402,2020-03-23,1.41343296222712,1.38566242057344,1.44154556842466
18345,0.0656644896954249,0.0021058169809429,326.156778986118,0.0615217917609214,0.0698071876299284,2020-03-24,1.33883212693162,1.31563070686937,1.36228524817139
18346,0.052367757695663,0.00183528718377217,326.156778986118,0.0487572632917147,0.0559782520996113,2020-03-25,1.26525036945049,1.24571363516513,1.28497572703782
18347,0.040022355626468,0.00173209226378912,326.156778986118,0.0366148728734532,0.0434298383794828,2020-03-26,1.19922412444273,1.18138468030308,1.21722944183988
18348,0.028839257307398,0.0017570804098893,326.156778986118,0.0253826162741655,0.0322958983406305,2020-03-27,1.14129438464909,1.12374678527487,1.15901067338772
18349,0.0188184627384527,0.0018404035175082,326.156778986118,0.01519790315534,0.0224390223215653,2020-03-28,1.09088603933357,1.07301897409849,1.1089361884754
18350,0.00995997191963058,0.00192589984502612,326.156778986118,0.00617121848936911,0.013748725349892,2020-03-29,1.0474929248924,1.02926582125821,1.06591858581995
18351,0.0022637848509336,0.00197875634085853,326.156778986118,-0.0016289512606775,0.00615652096254469,2020-03-30,1.01067487154441,0.992362067839877,1.02919549928426
18352,-0.00427009846763978,0.0019801055528639,326.156778986118,-0.0081654888354557,-0.000374708099823861,2020-03-31,0.980055056798164,0.962076867134083,0.998239832174453
18353,-0.00964167803608753,0.00192149202412731,326.156778986118,-0.013421760118982,-0.00586159595319309,2020-04-01,0.955317677873242,0.938143714775652,0.972684994467946
18354,-0.0138509538544114,0.00180246458935418,326.156778986118,-0.0173968775500166,-0.0103050301588062,2020-04-02,0.936205954299845,0.920291310778197,0.952289920293343
18355,-0.0168979259226115,0.00163185904017094,326.156778986118,-0.0201082234633266,-0.0136876283818965,2020-04-03,0.92252047073062,0.908236183370589,0.936943057624897
18356,-0.0187825942406872,0.00143482971745947,326.156778986118,-0.0216052830881397,-0.0159599053932347,2020-04-04,0.914117868582342,0.901622124478586,0.926720298873491
18357,-0.0195049588086386,0.00127003475777761,326.156778986118,-0.0220034524647383,-0.0170064651525388,2020-04-05,0.910909893504963,0.899868036820278,0.922035267113408
