"collection_date","n_neg","n_spos","n_sgtf","n_pos","total","collection_date_num","TRUEPOS","est_n_B117","propB117","obs"
2020-11-30,3850,333,6,339,4189,18596,0.0343963084735829,0.206377850841498,0.000608784220771379,"1"
2020-12-01,3797,328,5,333,4130,18597,0.0382596441368908,0.191298220684454,0.000574469131184547,"2"
2020-12-02,3063,250,2,252,3315,18598,0.0425362772966871,0.0850725545933741,0.000337589502354659,"3"
2020-12-03,4058,375,4,379,4437,18599,0.0472656175612466,0.189062470244986,0.000498845567928724,"4"
2020-12-04,3000,291,2,293,3293,18600,0.0524897274878324,0.104979454975665,0.000358291655207047,"5"
2020-12-05,1234,150,1,151,1385,18601,0.0582532414836316,0.0582532414836316,0.000385783056182991,"6"
2020-12-06,1385,169,1,170,1555,18602,0.0646032097516297,0.0646032097516297,0.000380018880891939,"7"
2020-12-07,4542,356,2,358,4900,18603,0.0715888519995029,0.143177703999006,0.000399937720667614,"8"
2020-12-08,4673,423,7,430,5103,18604,0.079261204806021,0.554828433642147,0.00129029868288871,"9"
2020-12-09,3879,303,7,310,4189,18605,0.0876726463539732,0.613708524477812,0.00197970491767036,"10"
2020-12-10,3805,431,2,433,4238,18606,0.096876282954745,0.19375256590949,0.00044746551018358,"11"
2020-12-11,3273,352,4,356,3629,18607,0.106925183700191,0.427700734800766,0.00120140655842912,"12"
2020-12-12,1017,143,2,145,1162,18608,0.117871452983125,0.235742905966249,0.00162581314459482,"13"
2020-12-13,2245,205,2,207,2452,18609,0.129765135805291,0.259530271610583,0.00125376942807045,"14"
2020-12-14,4959,465,6,471,5430,18610,0.142652957947424,0.855917747684546,0.00181723513308821,"15"
2020-12-15,5758,382,1,383,6141,18611,0.156576912289016,0.156576912289016,0.000408817003365576,"16"
2020-12-16,4271,345,4,349,4620,18612,0.171572713722747,0.686290854890987,0.00196644944094839,"17"
2020-12-17,3385,416,3,419,3804,18613,0.187668157841323,0.563004473523968,0.00134368609432928,"18"
2020-12-18,3805,336,1,337,4142,18614,0.204881432209602,0.204881432209602,0.000607956772135318,"19"
2020-12-19,1658,266,3,269,1927,18615,0.22321944257597,0.66965832772791,0.00248943616255729,"20"
2020-12-20,2112,354,1,355,2467,18616,0.242676228534762,0.242676228534762,0.000683595009957075,"21"
2020-12-21,7256,392,9,401,7657,18617,0.26323155243565,2.36908397192085,0.00590794007960311,"22"
2020-12-22,5726,262,9,271,5997,18618,0.284849750211394,2.56364775190254,0.00945995480406842,"23"
2020-12-23,4764,378,6,384,5148,18619,0.307478931895287,1.84487359137172,0.00480435831086386,"24"
2020-12-24,1337,77,1,78,1415,18620,0.331050611960732,0.331050611960732,0.00424423861488118,"25"
2020-12-25,1728,71,2,73,1801,18621,0.355479834896741,0.710959669793482,0.00973917355881482,"26"
2020-12-26,2180,149,5,154,2334,18622,0.380665840059329,1.90332920029664,0.0123592805214068,"27"
2020-12-27,3564,288,7,295,3859,18623,0.406493283033311,2.84545298123318,0.00964560332621416,"28"
2020-12-28,4214,290,3,293,4507,18624,0.432834000417733,1.2985020012532,0.00443174744455016,"29"
2020-12-29,3749,277,6,283,4032,18625,0.45954927349772,2.75729564098632,0.00974309413776085,"30"
2020-12-30,3162,196,4,200,3362,18626,0.486492516246539,1.94597006498616,0.00972985032493078,"31"
2020-12-31,1692,346,1,347,2039,18627,0.513512286949701,0.513512286949701,0.00147986249841412,"32"
2021-01-01,943,61,6,67,1010,18628,0.540455502521547,3.24273301512928,0.0483990002258102,"33"
2021-01-02,5209,184,17,201,5410,18629,0.567170721829453,9.6419022711007,0.047969663040302,"34"
2021-01-03,6913,204,16,220,7133,18630,0.593511359986034,9.49618175977655,0.0431644625444388,"35"
2021-01-04,9569,317,27,344,9913,18631,0.619338699925927,16.722144898,0.0486108863313954,"36"
2021-01-05,12288,469,25,494,12782,18632,0.644524580340614,16.1131145085153,0.0326176407054967,"37"
2021-01-06,7801,205,21,226,8027,18633,0.668953659267365,14.0480268446147,0.0621594108168791,"38"
2021-01-07,8655,282,15,297,8952,18634,0.692525178781046,10.3878776817157,0.0349760191303559,"39"
2021-01-08,9968,220,20,240,10208,18635,0.715154186257148,14.303083725143,0.0595961821880957,"40"
2021-01-09,9035,160,24,184,9219,18636,0.736772199124919,17.6825327789981,0.0961007216249894,"41"
2021-01-10,10400,303,25,328,10728,18637,0.75732733035011,18.9331832587528,0.0577231196913194,"42"
2021-01-11,10275,338,21,359,10634,18638,0.776783918691774,16.3124622925273,0.0454386136282096,"43"
2021-01-12,10939,376,35,411,11350,18639,0.795121729150047,27.8292605202516,0.06771109615633,"44"
2021-01-13,8618,285,29,314,8932,18640,0.812334803739419,23.5577093084431,0.075024551937717,"45"
2021-01-14,6666,253,22,275,6941,18641,0.828430050359448,18.2254611079079,0.0662744040287558,"46"
2021-01-15,6336,216,48,264,6600,18642,0.843425658434084,40.484431604836,0.153350119715288,"47"
2021-01-16,4046,147,38,185,4231,18643,0.857349425114068,32.5792781543346,0.176104206239646,"48"
2021-01-17,6704,227,34,261,6965,18644,0.870237066552334,29.5880602627793,0.113364215566204,"49"
2021-01-18,8281,293,45,338,8619,18645,0.882130576604037,39.6958759471817,0.117443419962076,"50"
2021-01-19,4938,238,37,275,5213,18646,0.893076681761634,33.0438372251804,0.120159408091565,"51"
2021-01-20,6862,276,89,365,7227,18647,0.903125427500352,80.3781630475313,0.220214145335702,"52"
2021-01-21,7155,300,89,389,7544,18648,0.912328918476927,81.1972737444465,0.20873335152814,"53"
2021-01-22,5997,228,88,316,6313,18649,0.920740223867377,81.0251397003292,0.256408669937751,"54"
2021-01-23,5568,199,79,278,5846,18650,0.928412449916959,73.3445835434398,0.263829437206618,"55"
2021-01-24,5950,243,65,308,6258,18651,0.935397974620091,60.8008683503059,0.197405416721772,"56"
2021-01-25,10030,433,106,539,10569,18652,0.94174783427079,99.8252704327037,0.185204583363087,"57"
2021-01-26,10961,358,104,462,11423,18653,0.947511248218842,98.5411698147596,0.213292575356622,"58"
2021-01-27,8362,307,144,451,8813,18654,0.952735266256573,137.193878340946,0.304199286787021,"59"
2021-01-28,7741,403,114,517,8258,18655,0.957464522345197,109.150955547352,0.211123705120604,"60"
2021-01-29,8438,337,134,471,8909,18656,0.961741078575356,128.873304529098,0.273616357811248,"61"
2021-01-30,6187,269,131,400,6587,18657,0.965604344080093,126.494169074492,0.316235422686231,"62"
2021-01-31,8402,234,131,365,8767,18658,0.969091054856416,126.950928186191,0.347810762153947,"63"
2021-02-01,10530,395,164,559,11089,18659,0.972235301923412,159.44658951544,0.285235401637638,"64"
2021-02-02,7794,325,126,451,8245,18660,0.975068596812221,122.85864319834,0.27241384301184,"65"
2021-02-03,7544,249,142,391,7935,18661,0.97761996494535,138.82203502224,0.355043567831815,"66"
2021-02-04,9680,262,131,393,10073,18662,0.979916058950776,128.369003722552,0.326638686316925,"67"
2021-02-05,7186,255,129,384,7570,18663,0.981981285326567,126.675585807127,0.329884338039394,"68"
2021-02-06,4980,170,97,267,5247,18664,0.983837939100673,95.4322800927652,0.357424270010357,"69"
2021-02-07,6900,201,117,318,7218,18665,0.985506342208807,115.30424203843,0.362591956095693,"70"
2021-02-08,8354,264,185,449,8803,18666,0.987004982241878,182.595921714748,0.406672431435963,"71"
2021-02-09,6243,233,131,364,6607,18667,0.98835064900094,129.473935019123,0.35569762367891,"72"
2021-02-10,5724,181,135,316,6040,18668,0.989558566953775,133.59040653876,0.422754451072024,"73"
2021-02-11,6432,253,154,407,6839,18669,0.990642522226774,152.558948422923,0.374837711112833,"74"
2021-02-12,4947,189,155,344,5291,18670,0.991614983203229,153.7003223965,0.446803262780525,"75"
2021-02-13,3082,114,121,235,3317,18671,0.992487214148724,120.090952911996,0.511025331540407,"76"
2021-02-14,4663,142,166,308,4971,18672,0.99326938155933,164.882717338849,0.535333497853405,"77"
2021-02-15,5731,244,245,489,6220,18673,0.99397065314102,243.52281001955,0.498001656481697,"78"
2021-02-16,5263,282,233,515,5778,18674,0.994599289489859,231.741634451137,0.4499837562158,"79"
2021-02-17,4457,294,225,519,4976,18675,0.995162728661617,223.911613948864,0.431428928610528,"80"
2021-02-18,5221,211,230,441,5662,18676,0.995667663904557,229.003562698048,0.519282455097615,"81"
2021-02-19,4745,180,267,447,5192,18677,0.99612011488714,265.964070674866,0.594997920972856,"82"
2021-02-20,3620,142,234,376,3996,18678,0.996525492789007,233.186965312628,0.620178099235712,"83"
2021-02-21,5352,155,246,401,5753,18679,0.996888659643598,245.234610272325,0.611557631601808,"84"
2021-02-22,5529,164,293,457,5986,18680,0.997213982328054,292.18369682212,0.63935163418407,"85"
2021-02-23,6831,271,393,664,7495,18681,0.99750538159379,392.01961496636,0.59039098639512,"86"
2021-02-24,4289,170,283,453,4742,18682,0.997766376521795,282.367884555668,0.623328663478296,"87"
2021-02-25,6467,225,386,611,7078,18683,0.9980001247725,385.228048162185,0.630487803866097,"88"
2021-02-26,5402,171,347,518,5920,18684,0.998209458982362,346.37868226688,0.668684714800926,"89"
2021-02-27,3778,87,178,265,4043,18685,0.998396919639506,177.714651695832,0.670621327154084,"90"
2021-02-28,5295,182,268,450,5745,18686,0.998564784749829,267.615362312954,0.594700805139898,"91"
2021-03-01,7096,183,365,548,7644,18687,0.998715096583481,364.531010252971,0.665202573454326,"92"
2021-03-02,5960,219,347,566,6526,18688,0.998849685770372,346.600840962319,0.612368976965228,"93"
2021-03-03,6512,214,387,601,7113,18689,0.998970192992443,386.601464688075,0.643263668366182,"94"
2021-03-04,8044,214,418,632,8676,18690,0.999078088500407,417.61464099317,0.66078265979932,"95"
2021-03-05,6102,154,335,489,6591,18691,0.999174689663549,334.723521037289,0.684506177990366,"96"
2021-03-06,3341,125,186,311,3652,18692,0.999261176743101,185.862578874217,0.597628870978189,"97"
