specimen_date,ereg_code,sgtf,non_sgtf,ereg_name
2020-03-29,x,0,0,South East
2020-03-29,x,0,0,London
2020-03-29,x,0,0,South West
2020-03-29,x,0,0,West Midlands
2020-03-29,x,0,0,North East
2020-03-29,x,0,0,Yorkshire and The Humber
2020-03-29,x,0,0,East Midlands
2020-03-29,x,0,0,North West
2020-03-29,x,0,0,East of England
2020-03-30,x,0,0,London
2020-03-30,x,0,0,South East
2020-03-30,x,0,0,North East
2020-03-30,x,0,0,Yorkshire and The Humber
2020-03-30,x,0,0,South West
2020-03-30,x,0,0,East of England
2020-03-30,x,0,0,East Midlands
2020-03-30,x,0,0,North West
2020-03-30,x,0,0,West Midlands
2020-03-31,x,0,0,London
2020-03-31,x,0,0,East Midlands
2020-03-31,x,0,0,South East
2020-03-31,x,0,0,Yorkshire and The Humber
2020-03-31,x,0,0,North East
2020-03-31,x,0,0,West Midlands
2020-03-31,x,0,0,North West
2020-03-31,x,0,0,South West
2020-03-31,x,0,0,East of England
2020-04-01,x,0,0,London
2020-04-01,x,0,0,South East
2020-04-01,x,0,0,East of England
2020-04-01,x,0,0,Yorkshire and The Humber
2020-04-01,x,0,0,East Midlands
2020-04-01,x,0,0,North East
2020-04-01,x,0,0,North West
2020-04-01,x,0,0,West Midlands
2020-04-01,x,0,0,South West
2020-04-02,x,0,0,London
2020-04-02,x,0,0,South East
2020-04-02,x,0,0,East of England
2020-04-02,x,0,0,North East
2020-04-02,x,0,0,Yorkshire and The Humber
2020-04-02,x,0,0,West Midlands
2020-04-02,x,0,0,South West
2020-04-02,x,0,0,East Midlands
2020-04-02,x,0,0,North West
2020-04-03,x,0,0,London
2020-04-03,x,0,0,South East
2020-04-03,x,0,0,South West
2020-04-03,x,0,0,East of England
2020-04-03,x,0,0,North East
2020-04-03,x,0,0,Yorkshire and The Humber
2020-04-03,x,0,0,West Midlands
2020-04-03,x,0,0,East Midlands
2020-04-03,x,0,0,North West
2020-04-04,x,0,0,South East
2020-04-04,x,0,0,London
2020-04-04,x,0,0,East of England
2020-04-04,x,0,0,West Midlands
2020-04-04,x,0,0,North East
2020-04-04,x,0,0,South West
2020-04-04,x,0,0,Yorkshire and The Humber
2020-04-04,x,0,0,North West
2020-04-04,x,0,0,East Midlands
2020-04-05,x,0,0,North West
2020-04-05,x,0,0,London
2020-04-05,x,0,0,West Midlands
2020-04-05,x,0,0,East of England
2020-04-05,x,0,0,South East
2020-04-05,x,0,0,South West
2020-04-05,x,0,0,North East
2020-04-05,x,0,0,East Midlands
2020-04-05,x,0,0,Yorkshire and The Humber
2020-04-06,x,0,0,South East
2020-04-06,x,0,0,London
