specimen_date,ereg_code,sgtf,non_sgtf,ereg_name
2020-03-29,E12000005,0,0,West Midlands
2020-03-29,E12000007,0,0,London
2020-03-29,E12000008,0,0,South East
2020-03-29,E12000009,0,0,South West
2020-03-30,E12000007,0,0,London
2020-03-30,E12000008,0,0,South East
2020-03-31,E12000004,0,0,East Midlands
2020-03-31,E12000007,0,0,London
2020-03-31,E12000008,0,0,South East
2020-04-01,E12000006,0,0,East of England
2020-04-01,E12000007,0,0,London
2020-04-01,E12000008,0,0,South East
2020-04-02,E12000006,0,0,East of England
2020-04-02,E12000007,0,0,London
2020-04-02,E12000008,0,0,South East
2020-04-03,E12000006,0,0,East of England
2020-04-03,E12000007,0,0,London
2020-04-03,E12000008,0,0,South East
2020-04-03,E12000009,0,0,South West
2020-04-04,E12000005,0,0,West Midlands
2020-04-04,E12000006,0,0,East of England
2020-04-04,E12000007,0,0,London
2020-04-04,E12000008,0,0,South East
2020-04-05,E12000002,0,0,North West
2020-04-05,E12000005,0,0,West Midlands
2020-04-05,E12000006,0,0,East of England
2020-04-05,E12000007,0,0,London
2020-04-05,E12000008,0,0,South East
2020-04-06,E12000004,0,0,East Midlands
2020-04-06,E12000005,0,0,West Midlands
2020-04-06,E12000006,0,0,East of England
2020-04-06,E12000007,0,0,London
2020-04-06,E12000008,0,0,South East
2020-04-07,E12000003,0,0,Yorkshire and The Humber
2020-04-07,E12000004,0,0,East Midlands
2020-04-07,E12000005,0,0,West Midlands
2020-04-07,E12000006,0,0,East of England
2020-04-07,E12000007,0,0,London
2020-04-07,E12000008,0,0,South East
2020-04-08,E12000005,0,0,West Midlands
2020-04-08,E12000006,0,0,East of England
2020-04-08,E12000007,0,0,London
2020-04-08,E12000008,0,0,South East
2020-04-09,E12000003,0,0,Yorkshire and The Humber
2020-04-09,E12000004,0,0,East Midlands
2020-04-09,E12000005,0,0,West Midlands
2020-04-09,E12000006,0,0,East of England
2020-04-09,E12000007,0,0,London
2020-04-09,E12000008,0,0,South East
2020-04-10,E12000003,0,0,Yorkshire and The Humber
2020-04-10,E12000005,0,0,West Midlands
2020-04-10,E12000006,0,0,East of England
2020-04-10,E12000007,0,0,London
2020-04-10,E12000008,0,0,South East
2020-04-11,E12000003,0,0,Yorkshire and The Humber
2020-04-11,E12000004,0,0,East Midlands
2020-04-11,E12000005,0,0,West Midlands
2020-04-11,E12000006,0,0,East of England
2020-04-11,E12000007,0,0,London
2020-04-11,E12000008,0,0,South East
2020-04-12,E12000002,0,0,North West
2020-04-12,E12000003,0,0,Yorkshire and The Humber
2020-04-12,E12000004,0,0,East Midlands
2020-04-12,E12000005,0,0,West Midlands
2020-04-12,E12000006,0,0,East of England
2020-04-12,E12000007,0,0,London
2020-04-12,E12000008,0,0,South East
2020-04-12,E12000009,0,0,South West
2020-04-13,E12000002,0,0,North West
2020-04-13,E12000003,0,0,Yorkshire and The Humber
2020-04-13,E12000004,0,0,East Midlands
2020-04-13,E12000005,0,0,West Midlands
2020-04-13,E12000006,0,0,East of England
2020-04-13,E12000007,0,0,London
2020-04-13,E12000008,0,0,South East
2020-04-14,E12000003,0,0,Yorkshire and The Humber
2020-04-14,E12000004,0,0,East Midlands
2020-04-14,E12000005,0,0,West Midlands
2020-04-14,E12000006,0,0,East of England
2020-04-14,E12000007,0,0,London
2020-04-14,E12000008,0,0,South East
2020-04-15,E12000001,0,0,North East
2020-04-15,E12000002,0,0,North West
2020-04-15,E12000003,0,0,Yorkshire and The Humber
2020-04-15,E12000004,0,0,East Midlands
2020-04-15,E12000005,0,0,West Midlands
2020-04-15,E12000006,0,0,East of England
2020-04-15,E12000007,0,0,London
2020-04-15,E12000008,0,0,South East
2020-04-15,E12000009,0,0,South West
2020-04-16,E12000001,0,0,North East
2020-04-16,E12000002,0,0,North West
2020-04-16,E12000003,0,0,Yorkshire and The Humber
2020-04-16,E12000004,0,0,East Midlands
2020-04-16,E12000005,0,0,West Midlands
2020-04-16,E12000006,0,0,East of England
2020-04-16,E12000007,0,0,London
2020-04-16,E12000008,0,0,South East
2020-04-16,E12000009,0,0,South West
2020-04-17,E12000001,0,0,North East
2020-04-17,E12000002,0,0,North West
2020-04-17,E12000003,0,0,Yorkshire and The Humber
2020-04-17,E12000004,0,0,East Midlands
2020-04-17,E12000005,0,0,West Midlands
2020-04-17,E12000006,0,0,East of England
2020-04-17,E12000007,0,0,London
2020-04-17,E12000008,0,0,South East
2020-04-17,E12000009,0,0,South West
2020-04-18,E12000001,0,0,North East
2020-04-18,E12000002,0,0,North West
2020-04-18,E12000003,0,0,Yorkshire and The Humber
2020-04-18,E12000004,0,0,East Midlands
2020-04-18,E12000005,0,0,West Midlands
2020-04-18,E12000006,0,0,East of England
2020-04-18,E12000007,0,0,London
2020-04-18,E12000008,0,0,South East
2020-04-18,E12000009,0,0,South West
2020-04-19,E12000001,0,0,North East
2020-04-19,E12000002,0,0,North West
2020-04-19,E12000003,0,0,Yorkshire and The Humber
2020-04-19,E12000004,0,0,East Midlands
2020-04-19,E12000005,0,0,West Midlands
2020-04-19,E12000006,0,0,East of England
2020-04-19,E12000007,0,0,London
2020-04-19,E12000008,0,0,South East
2020-04-19,E12000009,0,0,South West
2020-04-20,E12000001,0,0,North East
2020-04-20,E12000002,0,0,North West
2020-04-20,E12000003,0,0,Yorkshire and The Humber
2020-04-20,E12000004,0,0,East Midlands
2020-04-20,E12000005,0,0,West Midlands
2020-04-20,E12000006,0,0,East of England
2020-04-20,E12000007,0,0,London
2020-04-20,E12000008,0,0,South East
2020-04-20,E12000009,0,0,South West
2020-04-21,E12000001,0,0,North East
2020-04-21,E12000002,0,0,North West
2020-04-21,E12000003,0,0,Yorkshire and The Humber
2020-04-21,E12000004,0,0,East Midlands
2020-04-21,E12000005,0,0,West Midlands
2020-04-21,E12000006,0,0,East of England
2020-04-21,E12000007,0,0,London
2020-04-21,E12000008,0,0,South East
2020-04-21,E12000009,0,0,South West
2020-04-22,E12000001,0,0,North East
2020-04-22,E12000002,0,0,North West
2020-04-22,E12000003,0,0,Yorkshire and The Humber
2020-04-22,E12000004,0,0,East Midlands
2020-04-22,E12000005,0,0,West Midlands
2020-04-22,E12000006,0,0,East of England
2020-04-22,E12000007,0,0,London
2020-04-22,E12000008,0,0,South East
2020-04-22,E12000009,0,0,South West
2020-04-23,E12000001,0,0,North East
2020-04-23,E12000002,0,0,North West
2020-04-23,E12000003,0,0,Yorkshire and The Humber
2020-04-23,E12000004,0,0,East Midlands
2020-04-23,E12000005,0,0,West Midlands
2020-04-23,E12000006,0,0,East of England
2020-04-23,E12000007,0,0,London
2020-04-23,E12000008,0,0,South East
2020-04-23,E12000009,0,0,South West
2020-04-24,E12000001,0,0,North East
2020-04-24,E12000002,0,0,North West
2020-04-24,E12000003,0,0,Yorkshire and The Humber
2020-04-24,E12000004,0,0,East Midlands
2020-04-24,E12000005,0,0,West Midlands
2020-04-24,E12000006,0,0,East of England
2020-04-24,E12000007,0,0,London
2020-04-24,E12000008,0,0,South East
2020-04-24,E12000009,0,0,South West
2020-04-25,E12000001,0,0,North East
2020-04-25,E12000002,0,0,North West
2020-04-25,E12000003,0,0,Yorkshire and The Humber
2020-04-25,E12000004,0,0,East Midlands
2020-04-25,E12000005,0,0,West Midlands
2020-04-25,E12000006,0,0,East of England
2020-04-25,E12000007,0,0,London
2020-04-25,E12000008,0,0,South East
2020-04-25,E12000009,0,0,South West
2020-04-26,E12000001,0,0,North East
2020-04-26,E12000002,0,0,North West
2020-04-26,E12000003,0,0,Yorkshire and The Humber
2020-04-26,E12000004,0,0,East Midlands
2020-04-26,E12000005,0,0,West Midlands
2020-04-26,E12000006,0,0,East of England
2020-04-26,E12000007,0,0,London
2020-04-26,E12000008,0,0,South East
2020-04-26,E12000009,0,0,South West
2020-04-27,E12000001,0,0,North East
2020-04-27,E12000002,0,0,North West
2020-04-27,E12000003,0,0,Yorkshire and The Humber
2020-04-27,E12000004,0,0,East Midlands
2020-04-27,E12000005,0,0,West Midlands
2020-04-27,E12000006,0,0,East of England
2020-04-27,E12000007,0,0,London
2020-04-27,E12000008,0,0,South East
2020-04-27,E12000009,0,0,South West
2020-04-28,E12000001,0,0,North East
2020-04-28,E12000002,0,0,North West
2020-04-28,E12000003,0,0,Yorkshire and The Humber
2020-04-28,E12000004,0,0,East Midlands
2020-04-28,E12000005,0,0,West Midlands
2020-04-28,E12000006,0,0,East of England
2020-04-28,E12000007,0,0,London
2020-04-28,E12000008,0,0,South East
2020-04-28,E12000009,0,0,South West
2020-04-29,E12000001,0,0,North East
2020-04-29,E12000002,0,0,North West
2020-04-29,E12000003,0,0,Yorkshire and The Humber
2020-04-29,E12000004,0,0,East Midlands
2020-04-29,E12000005,0,0,West Midlands
2020-04-29,E12000006,0,0,East of England
2020-04-29,E12000007,0,0,London
2020-04-29,E12000008,0,0,South East
2020-04-29,E12000009,0,0,South West
2020-04-30,E12000001,0,0,North East
2020-04-30,E12000002,0,0,North West
2020-04-30,E12000003,0,0,Yorkshire and The Humber
2020-04-30,E12000004,0,0,East Midlands
2020-04-30,E12000005,0,0,West Midlands
2020-04-30,E12000006,0,0,East of England
2020-04-30,E12000007,0,0,London
2020-04-30,E12000008,0,0,South East
2020-04-30,E12000009,0,0,South West
2020-05-01,E12000001,0,0,North East
2020-05-01,E12000002,0,0,North West
2020-05-01,E12000003,0,0,Yorkshire and The Humber
2020-05-01,E12000004,0,0,East Midlands
2020-05-01,E12000005,0,0,West Midlands
2020-05-01,E12000006,0,0,East of England
2020-05-01,E12000007,0,0,London
2020-05-01,E12000008,0,0,South East
2020-05-01,E12000009,0,0,South West
2020-05-02,E12000001,0,0,North East
2020-05-02,E12000002,0,0,North West
2020-05-02,E12000003,0,0,Yorkshire and The Humber
2020-05-02,E12000004,0,0,East Midlands
2020-05-02,E12000005,0,0,West Midlands
2020-05-02,E12000006,0,0,East of England
2020-05-02,E12000007,0,0,London
2020-05-02,E12000008,0,0,South East
2020-05-02,E12000009,0,0,South West
2020-05-03,E12000001,0,0,North East
2020-05-03,E12000002,0,0,North West
2020-05-03,E12000003,0,0,Yorkshire and The Humber
2020-05-03,E12000004,0,0,East Midlands
2020-05-03,E12000005,0,0,West Midlands
2020-05-03,E12000006,0,0,East of England
2020-05-03,E12000007,0,0,London
2020-05-03,E12000008,0,0,South East
2020-05-03,E12000009,0,0,South West
2020-05-04,E12000001,0,0,North East
2020-05-04,E12000002,0,0,North West
2020-05-04,E12000003,0,0,Yorkshire and The Humber
2020-05-04,E12000004,0,0,East Midlands
2020-05-04,E12000005,0,0,West Midlands
2020-05-04,E12000006,0,0,East of England
2020-05-04,E12000007,0,0,London
2020-05-04,E12000008,0,0,South East
2020-05-04,E12000009,0,0,South West
2020-05-05,E12000001,0,0,North East
2020-05-05,E12000002,0,0,North West
2020-05-05,E12000003,0,0,Yorkshire and The Humber
2020-05-05,E12000004,0,0,East Midlands
2020-05-05,E12000005,0,0,West Midlands
2020-05-05,E12000006,0,0,East of England
2020-05-05,E12000007,0,0,London
2020-05-05,E12000008,0,0,South East
2020-05-05,E12000009,0,0,South West
2020-05-06,E12000001,0,0,North East
2020-05-06,E12000002,0,0,North West
2020-05-06,E12000003,0,0,Yorkshire and The Humber
2020-05-06,E12000004,0,0,East Midlands
2020-05-06,E12000005,0,0,West Midlands
2020-05-06,E12000006,0,0,East of England
2020-05-06,E12000007,0,0,London
2020-05-06,E12000008,0,0,South East
2020-05-06,E12000009,0,0,South West
2020-05-07,E12000001,0,0,North East
2020-05-07,E12000002,0,0,North West
2020-05-07,E12000003,0,0,Yorkshire and The Humber
2020-05-07,E12000004,0,0,East Midlands
2020-05-07,E12000005,0,0,West Midlands
2020-05-07,E12000006,0,0,East of England
2020-05-07,E12000007,0,0,London
