"variant","date_num","prob","SE","df","asymp.LCL","asymp.UCL","date","totcases","cases","smoothed_totcases","smoothed_cases"
"Alpha",18495,6.13874243506862e-11,1.58775651328543e-10,NA,-2.49807133875148e-10,3.7258198257652e-10,2020-08-21,3398,NA,2875.37103489518,NA
"C.1.2",18495,8.94973925311416e-34,7.92426274613073e-33,NA,-1.46362956611373e-32,1.64262435117601e-32,2020-08-21,3398,NA,2875.37103489518,NA
"Other",18495,0.967708811378525,0.0030656612228346,NA,0.961700225792969,0.973717396964082,2020-08-21,3398,3288.27454106423,2875.37103489518,2782.52188645066
"Omicron",18495,2.46035741029163e-35,1.05724187729511e-34,NA,-1.82612026141677e-34,2.31819174347509e-34,2020-08-21,3398,NA,2875.37103489518,NA
"Delta",18498,7.7505643143354e-27,2.2541291414137e-26,NA,-3.64295550223951e-26,5.19306836510659e-26,2020-08-24,1677,NA,2539.66530483714,NA
"Beta",18498,0.0382609069144067,0.00348246175324746,NA,0.0314354073005035,0.04508640652831,2020-08-24,1677,64.1635408954601,2539.66530483714,97.1698978221222
"Alpha",18498,1.01944848860005e-10,2.57951832091155e-10,NA,-4.03631451784783e-10,6.07521149504792e-10,2020-08-24,1677,NA,2539.66530483714,NA
"C.1.2",18498,3.31967595695015e-33,2.88661756683749e-32,NA,-5.32569887244711e-32,5.98963406383714e-32,2020-08-24,1677,NA,2539.66530483714,NA
"Other",18498,0.961739092983648,0.00348246175405897,NA,0.954913593368155,0.968564592599142,2020-08-24,1677,1612.83645893358,2539.66530483714,2442.49540675611
"Omicron",18498,3.66458065214973e-35,1.56578746705963e-34,NA,-2.7024289776661e-34,3.43534510809604e-34,2020-08-24,1677,NA,2539.66530483714,NA
"Delta",18501,2.3714700254675e-26,6.76652747694637e-26,NA,-1.08906801297481e-25,1.56336201806831e-25,2020-08-27,2585,NA,2275.32698934101,NA
"Beta",18501,0.0452054930154341,0.00393788185490637,NA,0.0374873864044438,0.0529235996264243,2020-08-27,2585,116.856199444897,2275.32698934101,102.857278324484
"Alpha",18501,1.68446712184578e-10,4.16838144894109e-10,NA,-6.48541039190364e-10,9.85434463559521e-10,2020-08-27,2585,NA,2275.32698934101,NA
"C.1.2",18501,1.22030780823119e-32,1.04187114180188e-31,NA,-1.91999913364018e-31,2.16406069528642e-31,2020-08-27,2585,NA,2275.32698934101,NA
"Other",18501,0.954794506816119,0.00393788185619898,NA,0.947076400202596,0.962512613429643,2020-08-27,2585,2468.14380011967,2275.32698934101,2172.46971063326
"Omicron",18501,5.46043445246505e-35,2.32016020280228e-34,NA,-4.00138699060911e-34,5.09347388110212e-34,2020-08-27,2585,NA,2275.32698934101,NA
"Delta",18504,7.19668535492549e-26,2.01409338194825e-25,NA,-3.22788195462649e-25,4.66721902561159e-25,2020-08-30,2505,NA,2065.07971008123,NA
"Beta",18504,0.0532489968125147,0.00443105081013442,NA,0.0445642968109842,0.0619336968140452,2020-08-30,2505,133.388737015349,2065.07971008123,109.963422899704
"Alpha",18504,2.76868783984211e-10,6.6983848583668e-10,NA,-1.03599052371453e-09,1.58972809168295e-09,2020-08-30,2505,NA,2065.07971008123,NA
"C.1.2",18504,4.44430719588113e-32,3.72480949148918e-31,NA,-6.85606173300363e-31,7.74492317217986e-31,2020-08-30,2505,NA,2065.07971008123,NA
"Other",18504,0.946751002910617,0.00443105081218857,NA,0.93806630290506,0.955435702916173,2020-08-30,2505,2371.61126229109,2065.07971008123,1955.11628660977
"Omicron",18504,8.13862926354566e-35,3.43933169672916e-34,NA,-5.92710333012162e-34,7.55482918283075e-34,2020-08-30,2505,NA,2065.07971008123,NA
"Delta",18507,2.16546909612152e-25,5.94281208122683e-25,NA,-9.4822285499726e-25,1.38131667422156e-24,2020-09-02,2336,NA,1896.2536029266,NA
"Beta",18507,0.0625214175890213,0.00495976301193129,NA,0.0528004607137821,0.0722423744642606,2020-09-02,2336,146.050031487954,1896.2536029266,118.55646336326
"Alpha",18507,4.5258048206831e-10,1.0701371967765e-09,NA,-1.64484988213028e-09,2.55001084626689e-09,2020-09-02,2336,NA,1896.2536029266,NA
"C.1.2",18507,1.60311868480685e-31,1.3186320870776e-30,NA,-2.42415953105029e-30,2.74478326801166e-30,2020-09-02,2336,NA,1896.2536029266,NA
"Other",18507,0.937478581958398,0.00495976301519212,NA,0.927757625076768,0.947199538840028,2020-09-02,2336,2189.94996745482,1896.2536029266,1777.69713870513
"Omicron",18507,1.21320490203531e-34,5.09962837347512e-34,NA,-8.78188304451451e-34,1.12082928485851e-33,2020-09-02,2336,NA,1896.2536029266,NA
"Delta",18510,6.45867762348927e-25,1.73767427060547e-24,NA,-2.7599112248997e-24,4.05164674959756e-24,2020-09-05,1806,NA,1759.4454562567,NA
"Beta",18510,0.0731559693895144,0.00552023241807358,NA,0.0623365126637997,0.083975426115229,2020-09-05,1806,132.119680717463,1759.4454562567,128.713937940435
"Alpha",18510,7.35559309360325e-10,1.69926789384166e-09,NA,-2.59494456265457e-09,4.06606318137522e-09,2020-09-05,1806,NA,1759.4454562567,NA
"C.1.2",18510,5.72550310867868e-31,4.6209408133773e-30,NA,-8.48432725804286e-30,9.62942787977859e-30,2020-09-05,1806,NA,1759.4454562567,NA
"Other",18510,0.926844029874926,0.00552023242322196,NA,0.916024573139121,0.937663486610732,2020-09-05,1806,1673.88031795412,1759.4454562567,1630.73151702209
"Omicron",18510,1.80845224550886e-34,7.56209630813727e-34,NA,-1.30129841660635e-33,1.66298886570812e-33,2020-09-05,1806,NA,1759.4454562567,NA
"Delta",18513,1.90883699932929e-24,5.03347435185066e-24,NA,-7.9565914474041e-24,1.17742654460627e-23,2020-09-08,1079,NA,1648.97586936263,NA
"Beta",18513,0.0852853866086545,0.00610687842021729,NA,0.0733161248470637,0.0972546483702452,2020-09-08,1079,92.0229321507382,1648.97586936263,140.633544526934
"Alpha",18513,1.18829215002271e-09,2.68112703340715e-09,NA,-4.06662027343201e-09,6.44320457347743e-09,2020-09-08,1079,NA,1648.97586936263,NA
"C.1.2",18513,2.02395749055572e-30,1.60241838239648e-29,NA,-2.93828656860646e-29,3.34307806671761e-29,2020-09-08,1079,NA,1648.97586936263,NA
"Other",18513,0.914714612203053,0.00610687842832661,NA,0.902745350425569,0.926683873980538,2020-09-08,1079,986.977066567095,1648.97586936263,1508.34232287623
"Omicron",18513,2.69522507726723e-34,1.12126876881081e-33,NA,-1.92812389613204e-33,2.46716891158549e-33,2020-09-08,1079,NA,1648.97586936263,NA
"Delta",18516,5.58835337178267e-24,1.44392336489204e-23,NA,-2.27120245444602e-23,3.38887312880255e-23,2020-09-11,1960,NA,1562.08944566826,NA
"Beta",18516,0.0990372090134534,0.0067121747600799,NA,0.085881588225758,0.112192829801149,2020-09-11,1960,194.112929666369,1562.08944566826,154.704978928357
"Alpha",18516,1.9076149097928e-09,4.20223907041124e-09,NA,-6.32862232264030e-09,1.01438521422259e-08,2020-09-11,1960,NA,1562.08944566826,NA
"C.1.2",18516,7.07908188534049e-30,5.49675473246483e-29,NA,-1.00655331189471e-28,1.14813494960152e-28,2020-09-11,1960,NA,1562.08944566826,NA
"Other",18516,0.900962789078932,0.00671217477284653,NA,0.887807168266214,0.914118409891649,2020-09-11,1960,1765.88706659471,1562.08944566826,1407.38446376004
"Omicron",18516,4.01529935221979e-34,1.66211201422711e-33,NA,-2.85614975093449e-33,3.65920962137845e-33,2020-09-11,1960,NA,1562.08944566826,NA
"Delta",18519,1.62009554326e-23,4.10059194566208e-23,NA,-6.41691698553269e-23,9.6571080720527e-23,2020-09-14,956,NA,1496.82384970853,NA
"Beta",18519,0.114528061407286,0.00732659835226724,NA,0.100168192507652,0.128887930306921,2020-09-14,956,109.488826705366,1496.82384970853,171.42833377531
"Alpha",18519,3.04224537844077e-09,6.54067096367126e-09,NA,-9.77723414508179e-09,1.58617249019633e-08,2020-09-14,956,NA,1496.82384970853,NA
"C.1.2",18519,2.44897402079276e-29,1.86450547550983e-28,NA,-3.40946617889772e-28,3.89926098305627e-28,2020-09-14,956,NA,1496.82384970853,NA
"Other",18519,0.885471935550468,0.00732659837236057,NA,0.871112066611452,0.899831804489485,2020-09-14,956,846.511170386248,1496.82384970853,1325.39551137952
"Omicron",18519,5.97848739060138e-34,2.4626844742558e-33,NA,-4.22892413576718e-33,5.42462161388745e-33,2020-09-14,956,NA,1496.82384970853,NA
"Delta",18522,4.64930962731652e-23,1.15244870656222e-22,NA,-1.79382699616007e-22,2.72368892162337e-22,2020-09-17,2128,NA,1451.8735136208,NA
"Beta",18522,0.131857049567364,0.00793871653481946,NA,0.116297451075645,0.147416648059083,2020-09-17,2128,280.59180147935,1451.8735136208,191.439757851041
"Alpha",18522,4.8184269542522e-09,1.01067051924064e-08,NA,-1.49903512252283e-08,2.46272051337327e-08,2020-09-17,2128,NA,1451.8735136208,NA
"C.1.2",18522,8.37653372081287e-29,6.25154062821588e-28,NA,-1.14151411071107e-27,1.30904478512733e-27,2020-09-17,2128,NA,1451.8735136208,NA
"Other",18522,0.868142945614209,0.00793871656653491,NA,0.852583347060329,0.883702544168089,2020-09-17,2128,1847.40818826704,1451.8735136208,1260.43374877402
"Omicron",18522,8.89463560286595e-34,3.6464249842105e-33,NA,-6.25739808109302e-33,8.03632520166621e-33,2020-09-17,2128,NA,1451.8735136208,NA
"Delta",18525,1.32031037939046e-22,3.20416561938938e-22,NA,-4.9597388351142e-22,7.60035959389511e-22,2020-09-20,1555,NA,1426.59354850257,NA
"Beta",18525,0.151098527752825,0.00853544719041223,NA,0.134369358667673,0.167827696837976,2020-09-20,1555,234.958210655643,1426.59354850257,215.556184880417
"Alpha",18525,7.57695327261105e-09,1.54992039256827e-08,NA,-2.28009282107688e-08,3.79548347559909e-08,2020-09-20,1555,NA,1426.59354850257,NA
"C.1.2",18525,2.83177001800151e-28,2.07116660248397e-27,NA,-3.77623494505062e-27,4.34258894865092e-27,2020-09-20,1555,NA,1426.59354850257,NA
"Other",18525,0.848901464670222,0.00853544724061819,NA,0.832172295486668,0.865630633853775,2020-09-20,1555,1320.04177756219,1426.59354850257,1211.03735281292
"Omicron",18525,1.32202825953575e-33,5.39444951633644e-33,NA,-9.25089850890319e-33,1.18949550279747e-32,2020-09-20,1555,NA,1426.59354850257,NA
"Delta",18528,3.70897326389486e-22,8.80995737034606e-22,NA,-1.35582258873166e-21,2.09761724151063e-21,2020-09-23,1906,NA,1420.31124835564,NA
"Beta",18528,0.172294643424305,0.0091025144317343,NA,0.15445404296935,0.19013524387926,2020-09-23,1906,328.393590366726,1420.31124835564,244.712020086964
"Alpha",18528,1.18259144169321e-08,2.35825086761033e-08,NA,-3.43949532533337e-08,5.80467820871979e-08,2020-09-23,1906,NA,1420.31124835564,NA
"C.1.2",18528,9.4581754983801e-28,6.77778426850307e-27,NA,-1.23383955114102e-26,1.42300306110862e-26,2020-09-23,1906,NA,1420.31124835564,NA
"Other",18528,0.82770534474978,0.00910251451159577,NA,0.809864744138299,0.845545945361261,2020-09-23,1906,1577.60638709308,1420.31124835564,1175.59921147219
"Omicron",18528,1.96265088706621e-33,7.97188891872806e-33,NA,-1.36619642823947e-32,1.75872660565272e-32,2020-09-23,1906,NA,1420.31124835564,NA
"Delta",18531,1.03032996209545e-21,2.39469201271428e-21,NA,-3.66318013689026e-21,5.72384006108117e-21,2020-09-26,969,NA,1429.33086422565,NA
"Beta",18531,0.195448212632556,0.00962510217121691,NA,0.176583359029453,0.21431306623566,2020-09-26,969,189.389318040947,1429.33086422565,279.36016267345
"Alpha",18531,1.83148195276104e-08,3.55896795150241e-08,NA,-5.14396705431596e-08,8.80693095983805e-08,2020-09-26,969,NA,1429.33086422565,NA
"C.1.2",18531,3.12003363275029e-27,2.19002844211014e-26,NA,-3.9803735083792e-26,4.60438023492926e-26,2020-09-26,969,NA,1429.33086422565,NA
"Other",18531,0.804551769052624,0.00962510229901877,NA,0.785686915199034,0.823416622906215,2020-09-26,969,779.610664211993,1429.33086422565,1149.97067537426
"Omicron",18531,2.90973611186924e-33,1.17659473655813e-32,NA,-2.0151096968664e-32,2.59705691924025e-32,2020-09-26,969,NA,1429.33086422565,NA
"Delta",18534,2.82947803979735e-21,6.43282021253284e-21,NA,-9.7786178957883e-21,1.5437573975383e-20,2020-09-29,903,NA,1449.21913624458,NA
"Beta",18534,0.220516597548881,0.0100886797624197,NA,0.200743148562981,0.240290046534782,2020-09-29,903,199.12648758664,1449.21913624458,319.576873027383
"Alpha",18534,2.81373301557733e-08,5.32588325051563e-08,NA,-7.62480634129842e-08,1.32522723724531e-07,2020-09-29,903,NA,1449.21913624458,NA
"C.1.2",18534,1.01617385230452e-26,6.98478646746456e-26,NA,-1.26737560636288e-25,1.47061037682378e-25,2020-09-29,903,NA,1449.21913624458,NA
"Other",18534,0.779483374313789,0.0100886799682563,NA,0.759709924924456,0.799256823703122,2020-09-29,903,703.873487005351,1449.21913624458,1129.64222244004
"Omicron",18534,4.30723361092095e-33,1.7340789708169e-32,NA,-2.96800896805731e-32,3.8294556902415e-32,2020-09-29,903,NA,1449.21913624458,NA
"Delta",18537,7.67921558099246e-21,1.70725552671739e-20,NA,-2.57823778667379e-20,4.11408090287228e-20,2020-10-02,1749,NA,1475.61575981964,NA
"Beta",18537,0.247407313892576,0.0104799413478266,NA,0.226867006290744,0.267947621494409,2020-10-02,1749,432.715391998116,1475.61575981964,365.07813147453
"Alpha",18537,4.28717048981529e-08,7.90102254823745e-08,NA,-1.1198549145769e-07,1.97728901253996e-07,2020-10-02,1749,NA,1475.61575981964,NA
"C.1.2",18537,3.26662028432494e-26,2.1981667000178e-25,NA,-3.98166553561765e-25,4.63498959248263e-25,2020-10-02,1749,NA,1475.61575981964,NA
"Other",18537,0.752592643235719,0.0104799416813824,NA,0.732052334980129,0.773132951491308,2020-10-02,1749,1316.28453301927,1475.61575981964,1110.53756508295
"Omicron",18537,6.36523317562577e-33,2.55165858903729e-32,NA,-4.36463561779279e-32,5.63768225291795e-32,2020-10-02,1749,NA,1475.61575981964,NA
"Delta",18540,2.05918337381565e-20,4.4753219579896e-20,NA,-6.71228648306525e-20,1.08306532306965e-19,2020-10-05,926,NA,1503.96018730262,NA
"Beta",18540,0.275976060548406,0.0107877694670783,NA,0.254832420919411,0.2971197001774,2020-10-05,926,255.553832067824,1503.96018730262,415.05700771342
"Alpha",18540,6.47702355889649e-08,1.16172520870592e-07,NA,-1.62923721310623e-07,2.92464192488552e-07,2020-10-05,926,NA,1503.96018730262,NA
"C.1.2",18540,1.0361680410123e-25,6.82415444545704e-25,NA,-1.23389288970224e-24,1.4411264979047e-24,2020-10-05,926,NA,1503.96018730262,NA
"Other",18540,0.724023874681359,0.0107877700101181,NA,0.702880233988026,0.745167515374692,2020-10-05,926,670.446107954938,1503.96018730262,1088.90308217735
"Omicron",18540,9.389706195255e-33,3.74832517704709e-32,NA,-6.40761172983151e-32,8.28555296888251e-32,2020-10-05,926,NA,1503.96018730262,NA
"Delta",18543,5.45437269141676e-20,1.15845389798102e-19,NA,-1.72509064865116e-19,2.81596518693451e-19,2020-10-08,1736,NA,1529.41698676895,NA
"Beta",18543,0.306027717260494,0.0110041114667224,NA,0.284460055103854,0.327595379417134,2020-10-08,1736,531.264117164218,1529.41698676895,468.043989200325
"Alpha",18543,9.70114904248594e-08,1.69267292345801e-07,NA,-2.34746306333522e-07,4.28769287183241e-07,2020-10-08,1736,NA,1529.41698676895,NA
"C.1.2",18543,3.24233980022983e-25,2.08935029584362e-24,NA,-3.77081735091861e-24,4.41928531096458e-24,2020-10-08,1736,NA,1529.41698676895,NA
"Other",18543,0.693972185728015,0.0110041123531226,NA,0.672404521834063,0.715539849621968,2020-10-08,1736,1204.73571442383,1529.41698676895,1061.3728491976
"Omicron",18543,1.38254446415227e-32,5.49640930586116e-32,NA,-9.3902198196264e-32,1.21553087479309e-31,2020-10-08,1736,NA,1529.41698676895,NA
"Delta",18546,1.42688718017625e-19,2.96061113339578e-19,NA,-4.37580401350779e-19,7.2295783738603e-19,2020-10-11,1575,NA,1549.25883755277,NA
"Beta",18546,0.337320599454182,0.0111246517645722,NA,0.31551668265507,0.359124516253293,2020-10-11,1575,531.279944140337,1549.25883755277,522.596919792991
"Alpha",18546,1.44032136759206e-07,2.44361344899578e-07,NA,-3.34907298457736e-07,6.22971571976149e-07,2020-10-11,1575,NA,1549.25883755277,NA
"C.1.2",18546,1.00068865967073e-24,6.30754974940596e-24,NA,-1.13618816798596e-23,1.3363258999201e-23,2020-10-11,1575,NA,1549.25883755277,NA
"Other",18546,0.662679256513681,0.0111246532111977,NA,0.640875336879236,0.684483176148127,2020-10-11,1575,1043.71982900905,1549.25883755277,1026.66169461672
"Omicron",18546,2.03180805636087e-32,8.04513747667205e-32,NA,-1.37363716485898e-31,1.77999877613115e-31,2020-10-11,1575,NA,1549.25883755277,NA
"Delta",18549,3.6861605470073e-19,7.46917865041194e-19,NA,-1.09531606018956e-18,1.83254816959102e-18,2020-10-14,1877,NA,1563.9060358966,NA
"Beta",18549,0.369573917777579,0.011149178909974,NA,0.347721928656836,0.391425906898321,2020-10-14,1877,693.690243668515,1563.9060358966,577.978880722308
"Alpha",18549,2.11958595238345e-07,3.49496822656044e-07,NA,-4.73042589878683e-07,8.96959780355373e-07,2020-10-14,1877,NA,1563.9060358966,NA
"C.1.2",18549,3.04570750221342e-24,1.87728938338714e-23,NA,-3.37484882977686e-23,3.98399033021954e-23,2020-10-14,1877,NA,1563.9060358966,NA
"Other",18549,0.630425870263826,0.0111491812636875,NA,0.60857387652989,0.652277863997762,2020-10-14,1877,1183.3093584852,1563.9060358966,985.926823690963
"Omicron",18549,2.98037621883369e-32,1.17545834446688e-31,NA,-2.00581839859879e-31,2.60189364236552e-31,2020-10-14,1877,NA,1563.9060358966,NA
"Delta",18552,9.40298690358216e-19,1.86001466982456e-18,NA,-2.70526307321408e-18,4.58586045393051e-18,2020-10-17,1928,NA,1574.08308774184,NA
"Beta",18552,0.402478013975423,0.0110815836705128,NA,0.380758509089551,0.424197518861295,2020-10-17,1928,775.977610944616,1574.08308774184,633.533834986637
"Alpha",18552,3.09162909464298e-07,4.95209440902151e-07,NA,-6.61429759508134e-07,1.27975557843673e-06,2020-10-17,1928,NA,1574.08308774184,NA
"C.1.2",18552,9.14082229951029e-24,5.50781537881814e-23,NA,-9.88103754602835e-23,1.17092020059304e-22,2020-10-17,1928,NA,1574.08308774184,NA
"Other",18552,0.597521676861667,0.0110815874768493,NA,0.575802164515513,0.619241189207822,2020-10-17,1928,1152.02179298929,1574.08308774184,940.548766107095
"Omicron",18552,4.36390374660279e-32,1.71446874691885e-31,NA,-2.92390662192017e-31,3.79668737124073e-31,2020-10-17,1928,NA,1574.08308774184,NA
"Delta",18555,2.36839570811528e-18,4.57191169117065e-18,NA,-6.59238654707681e-18,1.13291779633074e-17,2020-10-20,1050,NA,1580.58077682672,NA
"Beta",18555,0.435706599629565,0.010929477277032,NA,0.414285217796734,0.457127981462397,2020-10-20,1050,457.491929611044,1580.58077682672,688.669475711029
"Alpha",18555,4.46972156408909e-07,6.95145542372191e-07,NA,-9.15488070654146e-07,1.80943238347197e-06,2020-10-20,1050,NA,1580.58077682672,NA
"C.1.2",18555,2.70502931940472e-23,1.59288444262024e-22,NA,-2.85149320712935e-22,3.39249907101029e-22,2020-10-20,1050,NA,1580.58077682672,NA
"Other",18555,0.564292953398278,0.0109294833784109,NA,0.542871559606964,0.585714347189593,2020-10-20,1050,592.507601068192,1580.58077682672,891.910594640097
"Omicron",18555,6.37893834884521e-32,2.49661916175969e-31,NA,-4.25538980527705e-31,5.5311774750461e-31,2020-10-20,1050,NA,1580.58077682672,NA
"Delta",18558,5.89049026351978e-18,1.10923921401872e-17,NA,-1.58501988336423e-17,2.76311793606819e-17,2020-10-23,1897,NA,1584.23464716095,NA
"Beta",18558,0.468929975444053,0.0107034768527466,NA,0.447951546303312,0.489908404584795,2020-10-23,1897,889.560163417369,1584.23464716095,742.895114190804
"Alpha",18558,6.40566630620943e-07,9.66789039654506e-07,NA,-1.25430506774995e-06,2.53543832899184e-06,2020-10-23,1897,0.00121515489828793,1584.23464716095,0.00101480785004485
"C.1.2",18558,7.8931820912295e-23,4.54095315261642e-22,NA,-8.11078642548884e-22,9.68942284373474e-22,2020-10-23,1897,NA,1584.23464716095,NA
"Other",18558,0.531069383989316,0.0107034865226838,NA,0.510090935895846,0.552047832082786,2020-10-23,1897,1007.43862142773,1584.23464716095,841.338518162299
"Omicron",18558,9.31035711394067e-32,3.63035632187244e-31,NA,-6.18433193052322e-31,8.04640335331136e-31,2020-10-23,1897,NA,1584.23464716095,NA
"Delta",18561,1.44673754832731e-17,2.65660545558504e-17,NA,-3.76011346575198e-17,6.6535885624066e-17,2020-10-26,891,NA,1586.34636408229,NA
"Beta",18561,0.501828104094089,0.0104162552799823,NA,0.481412618891549,0.52224358929663,2020-10-26,891,447.128840747833,1586.34636408229,796.073188323967
"Alpha",18561,9.10109045467437e-07,1.33230958242124e-06,NA,-1.70116975233578e-06,3.52138784327066e-06,2020-10-26,891,NA,1586.34636408229,0.00144374817519567
"C.1.2",18561,2.27117184732416e-22,1.27611316405698e-21,NA,-2.27401865701672e-21,2.72825302648156e-21,2020-10-26,891,NA,1586.34636408229,NA
"Other",18561,0.498170985796865,0.0104162704021542,NA,0.477755470955413,0.518586500638318,2020-10-26,891,443.870348345007,1586.34636408229,790.271732010148
"Omicron",18561,1.35714105415803e-31,5.27247743458342e-31,NA,-8.97672482692562e-31,1.16910069352417e-30,2020-10-26,891,NA,1586.34636408229,NA
"Delta",18564,3.50929463375885e-17,6.28131014469366e-17,NA,-8.80184702556679e-17,1.58204362930845e-16,2020-10-29,2056,NA,1590.83178737098,NA
"Beta",18564,0.534102466720765,0.0100814843552579,NA,0.514343120473756,0.553861812967775,2020-10-29,2056,1098.11467157789,1590.83178737098,849.667181772646
"Alpha",18564,1.28215519399132e-06,1.81954329939726e-06,NA,-2.28408414113848e-06,4.84839452912113e-06,2020-10-29,2056,0.00263611107884616,1590.83178737098,0.0020396932389442
"C.1.2",18564,6.44478061560961e-22,3.53549749697967e-21,NA,-6.28496969995071e-21,7.57392582307263e-21,2020-10-29,2056,NA,1590.83178737098,NA
"Other",18564,0.465896251124041,0.0100815076515488,NA,0.44613685921714,0.485655643030941,2020-10-29,2056,957.882692311027,1590.83178737098,741.162565905098
"Omicron",18564,1.97623513952073e-31,7.64999637027478e-31,NA,-1.301748222808e-30,1.69699525071214e-30,2020-10-29,2056,NA,1590.83178737098,NA
"Delta",18567,8.40829123589796e-17,1.46641574111287e-16,NA,-2.03329291535405e-16,3.71495116253364e-16,2020-11-01,1371,NA,1602.61826438597,NA
"Beta",18567,0.565485834811138,0.0097128069237754,NA,0.546449083051747,0.584522586570529,2020-11-01,1371,775.281079526071,1602.61826438597,906.25792711988
"Alpha",18567,1.79140591763772e-06,2.46311693718496e-06,NA,-3.0362145689554e-06,6.61902640423085e-06,2020-11-01,1371,0.00245601751308132,1602.61826438597,0.00287093984253533
"C.1.2",18567,1.80378394912323e-21,9.65797784845958e-21,NA,-1.71255047973432e-20,2.07330726955896e-20,2020-11-01,1371,NA,1602.61826438597,NA
"Other",18567,0.434512373782944,0.00971284223382165,NA,0.415475552817134,0.453549194748754,2020-11-01,1371,595.716464456416,1602.61826438597,696.357466326251
"Omicron",18567,2.87565593882134e-31,1.10921730944025e-30,NA,-1.88646038364917e-30,2.46159157141344e-30,2020-11-01,1371,NA,1602.61826438597,NA
"Delta",18570,1.99036086081114e-16,3.38082251237715e-16,NA,-4.63592950157028e-16,8.61665122319256e-16,2020-11-04,1712,NA,1626.85085775574,NA
"Beta",18570,0.595749389733835,0.0093229560031346,NA,0.57747673173824,0.61402204772943,2020-11-04,1712,1019.92295522433,1626.85085775574,969.195405695946
"Alpha",18570,2.48287077825003e-06,3.30572481051099e-06,NA,-3.99623079315201e-06,8.96197234965207e-06,2020-11-04,1712,0.00425067477236405,1626.85085775574,0.00403926045529271
"C.1.2",18570,4.98022963799214e-21,2.60173802494407e-20,NA,-4.60128986229953e-20,5.59733578989796e-20,2020-11-04,1712,NA,1626.85085775574,NA
"Other",18570,0.404248127395386,0.00932300861268021,NA,0.385975366286976,0.422520888503796,2020-11-04,1712,692.072794100902,1626.85085775574,657.651412799334
"Omicron",18570,4.18274959788671e-31,1.60775938246364e-30,NA,-2.73287552564641e-30,3.56942544522375e-30,2020-11-04,1712,NA,1626.85085775574,NA
"Delta",18573,4.65563946748064e-16,7.69891758170327e-16,NA,-1.04339617126e-15,1.97452406475612e-15,2020-11-07,1731,NA,1669.20416133591,NA
"Beta",18573,0.624706960981734,0.00892310265839773,NA,0.607218001140921,0.642195920822548,2020-11-07,1731,1081.36774945938,1669.20416133591,1042.76345888622
"Alpha",18573,3.41452536480735e-06,4.39956532121738e-06,NA,-5.20846421241012e-06,1.20375149420248e-05,2020-11-07,1731,0.00591054340648152,1669.20416133591,0.00569953994792344
"C.1.2",18573,1.35669389572755e-20,6.91287769617497e-20,NA,-1.21922974183056e-19,1.49056852097607e-19,2020-11-07,1731,NA,1669.20416133591,NA
"Other",18573,0.3752896244929,0.00892317966708886,NA,0.357800513717826,0.392778735267975,2020-11-07,1731,649.62633999721,1669.20416133591,626.43500290974
"Omicron",18573,6.08365187693022e-31,2.33036234843619e-30,NA,-3.95906108617009e-30,5.17579146155613e-30,2020-11-07,1731,NA,1669.20416133591,NA
"Delta",18576,1.07632458024677e-15,1.73208161355802e-15,NA,-2.31849300061098e-15,4.47114216110452e-15,2020-11-10,1729,NA,1736.36021310291,NA
"Beta",18576,0.652216471797821,0.00852246908361593,NA,0.635512739334577,0.668920204261064,2020-11-10,1729,1127.68227973843,1736.36021310291,1132.48273196009
"Alpha",18576,4.66055644745355e-06,5.80793953708877e-06,NA,-6.72279586962667e-06,1.60439087645338e-05,2020-11-10,1729,0.00805810209764719,1736.36021310291,0.00809240478627858
"C.1.2",18576,3.64726137289008e-20,1.81198259135749e-19,NA,-3.18669448238522e-19,3.91614675696324e-19,2020-11-10,1729,NA,1736.36021310291,NA
"Other",18576,0.347778867645731,0.00852257979409431,NA,0.331074918193937,0.364482817097525,2020-11-10,1729,601.309662159469,1736.36021310291,603.86938873803
"Omicron",18576,8.85117601759229e-31,3.37892411160635e-30,NA,-5.73745196348322e-30,7.50768716700167e-30,2020-11-10,1729,NA,1736.36021310291,NA
"Delta",18579,2.45990963299314e-15,3.85061721809858e-15,NA,-5.0871614327299e-15,1.00069806987162e-14,2020-11-13,2213,NA,1835.06936845048,NA
"Beta",18579,0.67817893230388,0.00812819916550497,NA,0.662247954680322,0.694109909927438,2020-11-13,2213,1500.80997718849,1835.06936845048,1244.5053849993
"Alpha",18579,6.31530187478151e-06,7.60700813056789e-06,NA,-8.5941600912349e-06,2.12247638407979e-05,2020-11-13,2213,0.0139757630488915,1835.06936845048,0.0115890170229294
"C.1.2",18579,9.67813998480193e-20,4.68633640402053e-19,NA,-8.21723657283899e-19,1.01528645697994e-18,2020-11-13,2213,NA,1835.06936845048,NA
"Other",18579,0.321814752394243,0.0081283554703584,NA,0.305883468418801,0.337746036369684,2020-11-13,2213,712.176047048459,1835.06936845048,590.55239443415
"Omicron",18579,1.28863802951194e-30,4.90278830218355e-30,NA,-8.3206504665921e-30,1.0897926525616e-29,2020-11-13,2213,NA,1835.06936845048,NA
"Delta",18582,5.55907446976239e-15,8.46072200430118e-15,NA,-1.10236359418735e-14,2.21417848813982e-14,2020-11-16,1245,NA,1971.74400664868,NA
"Beta",18582,0.702535481716607,0.0077454441073792,NA,0.687354690221876,0.717716273211338,2020-11-16,1245,874.656674737176,1971.74400664868,1385.22012553276
