"date_num","variant","prob","date","totcases","cases","smoothed_totcases","smoothed_cases","totinfections","infections","cuminfections","cuminfectionsperpop"
18327,"Omicron (BA.4)",3.06486948613818e-91,2020-03-06,0,NA,NA,NA,0,0,0,0
18327,"Beta",3.78393086194383e-06,2020-03-06,0,NA,NA,NA,0,0,0,0
18327,"Alpha",1.82241029281296e-19,2020-03-06,0,NA,NA,NA,0,0,0,0
18327,"Other",0.999996216069138,2020-03-06,0,NA,NA,NA,0,0,0,0
18327,"Delta",7.62404373692634e-29,2020-03-06,0,NA,NA,NA,0,0,0,0
18327,"Omicron (BA.1)",2.8625846980315e-164,2020-03-06,0,NA,NA,NA,0,0,0,0
18327,"Omicron (BA.2)",4.73170263601816e-305,2020-03-06,0,NA,NA,NA,0,0,0,0
18327,"Omicron (BA.3)",3.67997128288426e-105,2020-03-06,0,NA,NA,NA,0,0,0,0
18327,"Omicron (BA.5)",2.55690304639987e-80,2020-03-06,0,NA,NA,NA,0,0,0,0
18328,"Omicron (BA.4)",4.93328172343561e-91,2020-03-07,1,NA,NA,NA,0,0,0,0
18328,"Beta",4.02673066361326e-06,2020-03-07,1,NA,NA,NA,0,0,0,0
18328,"Alpha",2.1212165700469e-19,2020-03-07,1,NA,NA,NA,0,0,0,0
18328,"Other",0.999995973269336,2020-03-07,1,0.999995973269336,NA,NA,0,0,0,0
18328,"Delta",9.3114705457332e-29,2020-03-07,1,NA,NA,NA,0,0,0,0
18328,"Omicron (BA.1)",7.46133177115427e-164,2020-03-07,1,NA,NA,NA,0,0,0,0
18328,"Omicron (BA.2)",2.62534151019412e-304,2020-03-07,1,NA,NA,NA,0,0,0,0
18328,"Omicron (BA.3)",6.69493397086999e-105,2020-03-07,1,NA,NA,NA,0,0,0,0
18328,"Omicron (BA.5)",3.83814824300936e-80,2020-03-07,1,NA,NA,NA,0,0,0,0
18329,"Omicron (BA.4)",7.94069988288446e-91,2020-03-08,1,NA,NA,NA,0,0,0,0
18329,"Beta",4.28510604975644e-06,2020-03-08,1,NA,NA,NA,0,0,0,0
18329,"Alpha",2.46901159058215e-19,2020-03-08,1,NA,NA,NA,0,0,0,0
18329,"Other",0.99999571489395,2020-03-08,1,0.99999571489395,NA,NA,0,0,0,0
18329,"Delta",1.1372357222464e-28,2020-03-08,1,NA,NA,NA,0,0,0,0
18329,"Omicron (BA.1)",1.94478623623649e-163,2020-03-08,1,NA,NA,NA,0,0,0,0
18329,"Omicron (BA.2)",1.45663232942338e-303,2020-03-08,1,NA,NA,NA,0,0,0,0
18329,"Omicron (BA.3)",1.21799816805951e-104,2020-03-08,1,NA,NA,NA,0,0,0,0
18329,"Omicron (BA.5)",5.76140426988429e-80,2020-03-08,1,NA,NA,NA,0,0,0,0
18330,"Omicron (BA.4)",1.27814321686979e-90,2020-03-09,4,NA,NA,NA,0,0,0,0
18330,"Beta",4.5600518432288e-06,2020-03-09,4,NA,NA,NA,0,0,0,0
18330,"Alpha",2.87382147250066e-19,2020-03-09,4,NA,NA,NA,0,0,0,0
18330,"Other",0.999995439948157,2020-03-09,4,3.99998175979263,NA,NA,0,0,0,0
18330,"Delta",1.38893322699845e-28,2020-03-09,4,NA,NA,NA,0,0,0,0
18330,"Omicron (BA.1)",5.06900160344776e-163,2020-03-09,4,NA,NA,NA,0,0,0,0
18330,"Omicron (BA.2)",8.08175434539204e-303,2020-03-09,4,NA,NA,NA,0,0,0,0
18330,"Omicron (BA.3)",2.2158681509693e-104,2020-03-09,4,NA,NA,NA,0,0,0,0
18330,"Omicron (BA.5)",8.64834894879776e-80,2020-03-09,4,NA,NA,NA,0,0,0,0
18331,"Omicron (BA.4)",2.05729735862646e-90,2020-03-10,0,NA,NA,NA,0,0,0,0
18331,"Beta",4.85262586324793e-06,2020-03-10,0,NA,NA,NA,0,0,0,0
18331,"Alpha",3.34498560948898e-19,2020-03-10,0,NA,NA,NA,0,0,0,0
18331,"Other",0.999995147374137,2020-03-10,0,NA,NA,NA,0,0,0,0
18331,"Delta",1.69632955165733e-28,2020-03-10,0,NA,NA,NA,0,0,0,0
18331,"Omicron (BA.1)",1.32119080217908e-162,2020-03-10,0,NA,NA,NA,0,0,0,0
18331,"Omicron (BA.2)",4.48382538331791e-302,2020-03-10,0,NA,NA,NA,0,0,0,0
18331,"Omicron (BA.3)",4.0312210549461e-104,2020-03-10,0,NA,NA,NA,0,0,0,0
18331,"Omicron (BA.5)",1.29818155818629e-79,2020-03-10,0,NA,NA,NA,0,0,0,0
18332,"Omicron (BA.4)",3.31139026998838e-90,2020-03-11,6,NA,NA,NA,0,0,0,0
18332,"Beta",5.16395286226942e-06,2020-03-11,6,NA,NA,NA,0,0,0,0
18332,"Alpha",3.89337114868021e-19,2020-03-11,6,NA,NA,NA,0,0,0,0
18332,"Other",0.999994836047138,2020-03-11,6,5.99996901628283,NA,NA,0,0,0,0
18332,"Delta",2.07174550448499e-28,2020-03-11,6,NA,NA,NA,0,0,0,0
18332,"Omicron (BA.1)",3.44348925434878e-162,2020-03-11,6,NA,NA,NA,0,0,0,0
18332,"Omicron (BA.2)",2.48756745323101e-301,2020-03-11,6,NA,NA,NA,0,0,0,0
18332,"Omicron (BA.3)",7.33370108912522e-104,2020-03-11,6,NA,NA,NA,0,0,0,0
18332,"Omicron (BA.5)",1.94865147337284e-79,2020-03-11,6,NA,NA,NA,0,0,0,0
18333,"Omicron (BA.4)",5.32989137871142e-90,2020-03-12,3,NA,NA,NA,0,0,0,0
18333,"Beta",5.49522870437939e-06,2020-03-12,3,NA,NA,NA,0,0,0,0
18333,"Alpha",4.53162240785257e-19,2020-03-12,3,NA,NA,NA,0,0,0,0
18333,"Other",0.999994504771296,2020-03-12,3,2.99998351431389,NA,NA,0,0,0,0
18333,"Delta",2.53022550817121e-28,2020-03-12,3,NA,NA,NA,0,0,0,0
18333,"Omicron (BA.1)",8.97469133744894e-162,2020-03-12,3,NA,NA,NA,0,0,0,0
18333,"Omicron (BA.2)",1.38000275489663e-300,2020-03-12,3,NA,NA,NA,0,0,0,0
18333,"Omicron (BA.3)",1.33414232888169e-103,2020-03-12,3,NA,NA,NA,0,0,0,0
18333,"Omicron (BA.5)",2.92501795755925e-79,2020-03-12,3,NA,NA,NA,0,0,0,0
18334,"Omicron (BA.4)",8.57867031215511e-90,2020-03-13,8,NA,NA,NA,0,0,0,0
18334,"Beta",5.84772479965348e-06,2020-03-13,8,NA,NA,NA,0,0,0,0
18334,"Alpha",5.27445090580433e-19,2020-03-13,8,NA,NA,NA,0,0,0,0
18334,"Other",0.9999941522752,2020-03-13,8,7.9999532182016,NA,NA,0,0,0,0
18334,"Delta",3.0901391220208e-28,2020-03-13,8,NA,NA,NA,0,0,0,0
18334,"Omicron (BA.1)",2.33897418859449e-161,2020-03-13,8,NA,NA,NA,0,0,0,0
18334,"Omicron (BA.2)",7.65525632845255e-300,2020-03-13,8,NA,NA,NA,0,0,0,0
18334,"Omicron (BA.3)",2.42701222712621e-103,2020-03-13,8,NA,NA,NA,0,0,0,0
18334,"Omicron (BA.5)",4.39053721112999e-79,2020-03-13,8,NA,NA,NA,0,0,0,0
18335,"Omicron (BA.4)",1.3807471823715e-89,2020-03-14,14,NA,11.3271346341322,NA,653.695480405918,0,0,0
18335,"Beta",6.22279280976546e-06,2020-03-14,14,NA,11.3271346341322,NA,653.695480405918,0.00406781153524612,0.00406781153524612,6.70677630332422e-09
18335,"Alpha",6.13897259757276e-19,2020-03-14,14,NA,11.3271346341322,NA,653.695480405918,0,0,0
18335,"Other",0.99999377720719,2020-03-14,14,13.9999128809007,11.3271346341322,11.3270641477203,653.695480405918,653.691412594383,653.691412594383,0.00107776922251372
18335,"Delta",3.77391525546558e-28,2020-03-14,14,NA,11.3271346341322,NA,653.695480405918,0,0,0
18335,"Omicron (BA.1)",6.09556515270612e-161,2020-03-14,14,NA,11.3271346341322,NA,653.695480405918,0,0,0
18335,"Omicron (BA.2)",4.24629342317482e-299,2020-03-14,14,NA,11.3271346341322,NA,653.695480405918,0,0,0
18335,"Omicron (BA.3)",4.41500380297454e-103,2020-03-14,14,NA,11.3271346341322,NA,653.695480405918,0,0,0
18335,"Omicron (BA.5)",6.59023155749863e-79,2020-03-14,14,NA,11.3271346341322,NA,653.695480405918,0,0,0
18336,"Omicron (BA.4)",2.22228554441585e-89,2020-03-15,13,NA,15.7682473111314,NA,795.913553020015,0,0,0
18336,"Beta",6.6218696410197e-06,2020-03-15,13,NA,15.7682473111314,NA,795.913553020015,0.00527043579361936,0.00933824732886548,1.53963710848335e-08
18336,"Alpha",7.14509997184755e-19,2020-03-15,13,NA,15.7682473111314,NA,795.913553020015,0,0,0
18336,"Other",0.999993378130359,2020-03-15,13,12.9999139156947,15.7682473111314,15.7681428958533,795.913553020015,795.908282584221,1449.5996951786,0.00239001753170987
18336,"Delta",4.60893830110644e-28,2020-03-15,13,NA,15.7682473111314,NA,795.913553020015,0,0,0
18336,"Omicron (BA.1)",1.58848342258531e-160,2020-03-15,13,NA,15.7682473111314,NA,795.913553020015,0,0,0
18336,"Omicron (BA.2)",2.35519314515704e-298,2020-03-15,13,NA,15.7682473111314,NA,795.913553020015,0,0,0
18336,"Omicron (BA.3)",8.03115469301702e-103,2020-03-15,13,NA,15.7682473111314,NA,795.913553020015,0,0,0
18336,"Omicron (BA.5)",9.89183128863488e-79,2020-03-15,13,NA,15.7682473111314,NA,795.913553020015,0,0,0
18337,"Omicron (BA.4)",3.57664637770934e-89,2020-03-16,11,NA,21.5073700473795,NA,952.517705378512,0,0,0
18337,"Beta",7.04648274190045e-06,2020-03-16,11,NA,21.5073700473795,NA,952.517705378512,0.0067118995723043,0.0160501469011698,2.64625693616666e-08
18337,"Alpha",8.3159979050811e-19,2020-03-16,11,NA,21.5073700473795,NA,952.517705378512,0,0,0
18337,"Other",0.999992953517258,2020-03-16,11,10.9999224886898,21.5073700473795,21.5072184960676,952.517705378512,952.510993478939,2402.11068865754,0.00396046348388052
18337,"Delta",5.62864184253233e-28,2020-03-16,11,NA,21.5073700473795,NA,952.517705378512,0,0,0
18337,"Omicron (BA.1)",4.13932072422767e-160,2020-03-16,11,NA,21.5073700473795,NA,952.517705378512,0,0,0
18337,"Omicron (BA.2)",1.3061862374424e-297,2020-03-16,11,NA,21.5073700473795,NA,952.517705378512,0,0,0
18337,"Omicron (BA.3)",1.46086864043411e-102,2020-03-16,11,NA,21.5073700473795,NA,952.517705378512,0,0,0
18337,"Omicron (BA.5)",1.48472105761918e-78,2020-03-16,11,NA,21.5073700473795,NA,952.517705378512,0,0,0
18338,"Omicron (BA.4)",5.75627497603218e-89,2020-03-17,23,NA,28.6288737500864,NA,1121.34799670515,0,0,0
18338,"Beta",7.4982557232219e-06,2020-03-17,23,NA,28.6288737500864,NA,1121.34799670515,0.00840815403401782,0.0244583009351876,4.03254555208305e-08
18338,"Alpha",9.67861360291202e-19,2020-03-17,23,NA,28.6288737500864,NA,1121.34799670515,0,0,0
18338,"Other",0.999992501744277,2020-03-17,23,22.9998275401184,28.6288737500864,28.62865908347,1121.34799670515,1121.33958855112,3523.45027720866,0.00580926442151269
18338,"Delta",6.87384342966489e-28,2020-03-17,23,NA,28.6288737500864,NA,1121.34799670515,0,0,0
18338,"Omicron (BA.1)",1.07857579854613e-159,2020-03-17,23,NA,28.6288737500864,NA,1121.34799670515,0,0,0
