DAY,2017,2018,2019,2020,2021,2022
06-05,233,280,280,259,274,291
06-04,228,222,310,286,311,290
06-03,272,237,283,272,304,328
06-02,320,278,269,275,303,291
06-01,283,275,301,254,272,275
05-31,275,273,258,254,284,275
05-30,284,311,290,282,281,288
05-29,319,302,237,259,268,250
05-28,317,277,314,294,295,261
05-27,290,269,264,317,293,308
05-26,275,270,266,272,292,263
05-25,260,295,284,305,290,257
05-24,296,281,267,269,276,277
05-23,291,300,307,290,256,286
05-22,280,281,283,324,275,236
05-21,273,255,275,294,317,289
05-20,286,248,313,326,282,286
05-19,293,238,278,273,312,349
05-18,304,265,299,306,309,291
05-17,338,268,293,275,276,345
05-16,317,273,307,270,259,293
05-15,299,290,280,303,293,276
05-14,277,278,296,293,310,311
05-13,276,258,281,282,309,259
05-12,334,278,273,303,308,288
05-11,284,279,265,316,288,304
05-10,274,257,297,332,309,306
05-09,280,331,307,368,329,304
05-08,284,298,311,353,321,296
05-07,287,279,287,330,327,313
05-06,312,281,294,314,313,332
05-05,305,286,230,355,361,314
05-04,294,289,300,338,305,347
05-03,330,251,307,334,295,308
05-02,275,231,294,301,266,333
05-01,288,267,272,317,302,271
04-30,299,262,302,352,314,323
04-29,292,244,306,342,317,326
04-28,302,254,270,415,349,330
04-27,308,277,298,368,329,337
04-26,285,298,316,398,324,324
04-25,295,276,279,395,309,291
04-24,298,327,308,408,303,327
04-23,255,277,292,428,328,335
04-22,267,275,283,463,310,345
04-21,285,271,290,483,332,328
04-20,270,336,278,464,304,361
04-19,274,330,295,467,325,345
04-18,280,289,312,488,314,291
04-17,286,277,327,509,298,304
04-16,280,266,316,555,287,361
04-15,296,295,277,573,306,366
04-14,278,267,289,538,327,367
04-13,277,279,274,573,311,344
04-12,273,335,301,563,322,379
04-11,278,354,267,603,265,312
04-10,272,321,303,675,329,350
04-09,257,324,301,614,341,330
04-08,312,297,234,641,328,394
04-07,298,301,286,641,307,384
04-06,274,326,324,555,340,386
04-05,279,326,323,582,295,363
04-04,275,326,348,599,278,329
04-03,274,312,312,550,314,355
04-02,262,315,301,601,339,340
04-01,278,334,289,606,323,367
03-31,318,330,306,569,333,361
03-30,334,359,281,514,317,342
03-29,290,345,292,451,313,386
03-28,330,392,298,505,303,353
03-27,256,358,292,515,320,303
03-26,262,342,291,443,298,352
