"Week","REGION","LINEAGE2","count","total","collection_date","collection_date_num","prop"
4,"London","B.1.177+",29,1639,2021-01-18,18645.5,0.0176937156802929
5,"London","B.1.177+",9,1500,2021-01-25,18652.5,0.006
6,"London","B.1.177+",1,509,2021-02-01,18659.5,0.00196463654223969
7,"London","B.1.177+",1,672,2021-02-08,18666.5,0.00148809523809524
8,"London","B.1.177+",2,902,2021-02-15,18673.5,0.00221729490022173
9,"London","B.1.177+",0,584,2021-02-22,18680.5,0
10,"London","B.1.177+",0,646,2021-03-01,18687.5,0
11,"London","B.1.177+",0,585,2021-03-08,18694.5,0
12,"London","B.1.177+",1,515,2021-03-15,18701.5,0.00194174757281553
13,"London","B.1.177+",0,647,2021-03-22,18708.5,0
14,"London","B.1.177+",0,438,2021-03-29,18715.5,0
15,"London","B.1.177+",0,351,2021-04-05,18722.5,0
16,"London","B.1.177+",0,323,2021-04-12,18729.5,0
17,"London","B.1.177+",0,360,2021-04-19,18736.5,0
18,"London","B.1.177+",0,298,2021-04-26,18743.5,0
19,"London","B.1.177+",0,389,2021-05-03,18750.5,0
20,"London","B.1.177+",0,473,2021-05-10,18757.5,0
21,"London","B.1.177+",0,653,2021-05-17,18764.5,0
22,"London","B.1.177+",0,840,2021-05-24,18771.5,0
1,"North West","B.1.177+",296,773,2020-12-28,18624.5,0.382923673997413
2,"North West","B.1.177+",480,1559,2021-01-04,18631.5,0.307889672867223
3,"North West","B.1.177+",737,3522,2021-01-11,18638.5,0.209256104486087
4,"North West","B.1.177+",432,3310,2021-01-18,18645.5,0.130513595166163
5,"North West","B.1.177+",399,4832,2021-01-25,18652.5,0.0825745033112583
6,"North West","B.1.177+",45,1063,2021-02-01,18659.5,0.0423330197554092
7,"North West","B.1.177+",55,1929,2021-02-08,18666.5,0.0285121824779679
8,"North West","B.1.177+",27,2496,2021-02-15,18673.5,0.0108173076923077
9,"North West","B.1.177+",7,1883,2021-02-22,18680.5,0.00371747211895911
10,"North West","B.1.177+",15,1710,2021-03-01,18687.5,0.0087719298245614
11,"North West","B.1.177+",3,1406,2021-03-08,18694.5,0.00213371266002845
12,"North West","B.1.177+",6,2025,2021-03-15,18701.5,0.00296296296296296
13,"North West","B.1.177+",3,2704,2021-03-22,18708.5,0.0011094674556213
14,"North West","B.1.177+",0,1777,2021-03-29,18715.5,0
15,"North West","B.1.177+",0,891,2021-04-05,18722.5,0
16,"North West","B.1.177+",1,768,2021-04-12,18729.5,0.00130208333333333
17,"North West","B.1.177+",0,871,2021-04-19,18736.5,0
18,"North West","B.1.177+",0,1119,2021-04-26,18743.5,0
19,"North West","B.1.177+",2,1588,2021-05-03,18750.5,0.00125944584382872
20,"North West","B.1.177+",1,1944,2021-05-10,18757.5,0.00051440329218107
21,"North West","B.1.177+",1,2912,2021-05-17,18764.5,0.000343406593406593
22,"North West","B.1.177+",0,3895,2021-05-24,18771.5,0
1,"South West","B.1.177+",36,127,2020-12-28,18624.5,0.283464566929134
2,"South West","B.1.177+",55,259,2021-01-04,18631.5,0.212355212355212
3,"South West","B.1.177+",70,468,2021-01-11,18638.5,0.14957264957265
4,"South West","B.1.177+",19,258,2021-01-18,18645.5,0.0736434108527132
5,"South West","B.1.177+",13,279,2021-01-25,18652.5,0.046594982078853
6,"South West","B.1.177+",3,92,2021-02-01,18659.5,0.0326086956521739
7,"South West","B.1.177+",2,197,2021-02-08,18666.5,0.0101522842639594
8,"South West","B.1.177+",3,272,2021-02-15,18673.5,0.0110294117647059
9,"South West","B.1.177+",0,190,2021-02-22,18680.5,0
10,"South West","B.1.177+",4,209,2021-03-01,18687.5,0.0191387559808612
11,"South West","B.1.177+",0,140,2021-03-08,18694.5,0
12,"South West","B.1.177+",0,103,2021-03-15,18701.5,0
13,"South West","B.1.177+",0,150,2021-03-22,18708.5,0
14,"South West","B.1.177+",0,100,2021-03-29,18715.5,0
15,"South West","B.1.177+",0,93,2021-04-05,18722.5,0
16,"South West","B.1.177+",0,47,2021-04-12,18729.5,0
17,"South West","B.1.177+",0,32,2021-04-19,18736.5,0
18,"South West","B.1.177+",0,30,2021-04-26,18743.5,0
19,"South West","B.1.177+",0,20,2021-05-03,18750.5,0
20,"South West","B.1.177+",0,57,2021-05-10,18757.5,0
21,"South West","B.1.177+",1,135,2021-05-17,18764.5,0.00740740740740741
22,"South West","B.1.177+",0,162,2021-05-24,18771.5,0
1,"South East","B.1.177+",58,863,2020-12-28,18624.5,0.06720741599073
2,"South East","B.1.177+",40,951,2021-01-04,18631.5,0.0420609884332282
3,"South East","B.1.177+",22,852,2021-01-11,18638.5,0.0258215962441315
4,"South East","B.1.177+",26,851,2021-01-18,18645.5,0.0305522914218566
5,"South East","B.1.177+",25,1069,2021-01-25,18652.5,0.0233863423760524
6,"South East","B.1.177+",0,273,2021-02-01,18659.5,0
7,"South East","B.1.177+",5,597,2021-02-08,18666.5,0.00837520938023451
8,"South East","B.1.177+",2,828,2021-02-15,18673.5,0.00241545893719807
9,"South East","B.1.177+",3,526,2021-02-22,18680.5,0.00570342205323194
10,"South East","B.1.177+",0,704,2021-03-01,18687.5,0
11,"South East","B.1.177+",2,699,2021-03-08,18694.5,0.00286123032904149
12,"South East","B.1.177+",0,484,2021-03-15,18701.5,0
13,"South East","B.1.177+",0,554,2021-03-22,18708.5,0
14,"South East","B.1.177+",0,326,2021-03-29,18715.5,0
15,"South East","B.1.177+",0,387,2021-04-05,18722.5,0
16,"South East","B.1.177+",0,324,2021-04-12,18729.5,0
17,"South East","B.1.177+",0,262,2021-04-19,18736.5,0
18,"South East","B.1.177+",0,218,2021-04-26,18743.5,0
19,"South East","B.1.177+",0,234,2021-05-03,18750.5,0
20,"South East","B.1.177+",0,241,2021-05-10,18757.5,0
21,"South East","B.1.177+",0,288,2021-05-17,18764.5,0
22,"South East","B.1.177+",0,587,2021-05-24,18771.5,0
1,"East of England","B.1.177+",43,584,2020-12-28,18624.5,0.0736301369863014
2,"East of England","B.1.177+",43,705,2021-01-04,18631.5,0.0609929078014184
3,"East of England","B.1.177+",43,737,2021-01-11,18638.5,0.0583446404341927
4,"East of England","B.1.177+",19,723,2021-01-18,18645.5,0.0262793914246196
5,"East of England","B.1.177+",9,706,2021-01-25,18652.5,0.0127478753541076
6,"East of England","B.1.177+",5,326,2021-02-01,18659.5,0.0153374233128834
7,"East of England","B.1.177+",11,604,2021-02-08,18666.5,0.0182119205298013
8,"East of England","B.1.177+",4,865,2021-02-15,18673.5,0.0046242774566474
9,"East of England","B.1.177+",0,437,2021-02-22,18680.5,0
10,"East of England","B.1.177+",1,619,2021-03-01,18687.5,0.00161550888529887
11,"East of England","B.1.177+",1,806,2021-03-08,18694.5,0.00124069478908189
12,"East of England","B.1.177+",1,784,2021-03-15,18701.5,0.00127551020408163
13,"East of England","B.1.177+",0,968,2021-03-22,18708.5,0
14,"East of England","B.1.177+",0,463,2021-03-29,18715.5,0
15,"East of England","B.1.177+",0,368,2021-04-05,18722.5,0
16,"East of England","B.1.177+",0,340,2021-04-12,18729.5,0
17,"East of England","B.1.177+",0,415,2021-04-19,18736.5,0
18,"East of England","B.1.177+",0,447,2021-04-26,18743.5,0
19,"East of England","B.1.177+",0,506,2021-05-03,18750.5,0
20,"East of England","B.1.177+",0,540,2021-05-10,18757.5,0
21,"East of England","B.1.177+",0,757,2021-05-17,18764.5,0
22,"East of England","B.1.177+",0,643,2021-05-24,18771.5,0
1,"East Midlands","B.1.177+",20,85,2020-12-28,18624.5,0.235294117647059
2,"East Midlands","B.1.177+",60,283,2021-01-04,18631.5,0.212014134275618
3,"East Midlands","B.1.177+",54,300,2021-01-11,18638.5,0.18
4,"East Midlands","B.1.177+",38,401,2021-01-18,18645.5,0.0947630922693267
5,"East Midlands","B.1.177+",46,548,2021-01-25,18652.5,0.0839416058394161
6,"East Midlands","B.1.177+",11,219,2021-02-01,18659.5,0.0502283105022831
7,"East Midlands","B.1.177+",18,516,2021-02-08,18666.5,0.0348837209302326
8,"East Midlands","B.1.177+",15,631,2021-02-15,18673.5,0.0237717908082409
9,"East Midlands","B.1.177+",2,486,2021-02-22,18680.5,0.00411522633744856
10,"East Midlands","B.1.177+",6,662,2021-03-01,18687.5,0.00906344410876133
11,"East Midlands","B.1.177+",10,976,2021-03-08,18694.5,0.0102459016393443
12,"East Midlands","B.1.177+",4,1337,2021-03-15,18701.5,0.00299177262528048
13,"East Midlands","B.1.177+",1,1836,2021-03-22,18708.5,0.000544662309368192
14,"East Midlands","B.1.177+",3,1135,2021-03-29,18715.5,0.0026431718061674
15,"East Midlands","B.1.177+",1,712,2021-04-05,18722.5,0.00140449438202247
16,"East Midlands","B.1.177+",1,588,2021-04-12,18729.5,0.00170068027210884
17,"East Midlands","B.1.177+",0,624,2021-04-19,18736.5,0
18,"East Midlands","B.1.177+",1,584,2021-04-26,18743.5,0.00171232876712329
19,"East Midlands","B.1.177+",0,829,2021-05-03,18750.5,0
20,"East Midlands","B.1.177+",0,681,2021-05-10,18757.5,0
21,"East Midlands","B.1.177+",0,637,2021-05-17,18764.5,0
22,"East Midlands","B.1.177+",0,642,2021-05-24,18771.5,0
1,"West Midlands","B.1.177+",146,505,2020-12-28,18624.5,0.289108910891089
2,"West Midlands","B.1.177+",181,884,2021-01-04,18631.5,0.204751131221719
3,"West Midlands","B.1.177+",146,932,2021-01-11,18638.5,0.156652360515021
4,"West Midlands","B.1.177+",110,1041,2021-01-18,18645.5,0.10566762728146
5,"West Midlands","B.1.177+",71,1283,2021-01-25,18652.5,0.0553390491036633
6,"West Midlands","B.1.177+",20,338,2021-02-01,18659.5,0.0591715976331361
7,"West Midlands","B.1.177+",7,400,2021-02-08,18666.5,0.0175
8,"West Midlands","B.1.177+",9,608,2021-02-15,18673.5,0.0148026315789474
9,"West Midlands","B.1.177+",7,430,2021-02-22,18680.5,0.0162790697674419
10,"West Midlands","B.1.177+",3,607,2021-03-01,18687.5,0.00494233937397035
11,"West Midlands","B.1.177+",4,842,2021-03-08,18694.5,0.00475059382422803
12,"West Midlands","B.1.177+",1,1006,2021-03-15,18701.5,0.00099403578528827
13,"West Midlands","B.1.177+",0,1214,2021-03-22,18708.5,0
14,"West Midlands","B.1.177+",0,885,2021-03-29,18715.5,0
15,"West Midlands","B.1.177+",1,538,2021-04-05,18722.5,0.00185873605947955
16,"West Midlands","B.1.177+",0,529,2021-04-12,18729.5,0
17,"West Midlands","B.1.177+",0,533,2021-04-19,18736.5,0
18,"West Midlands","B.1.177+",0,503,2021-04-26,18743.5,0
19,"West Midlands","B.1.177+",0,534,2021-05-03,18750.5,0
20,"West Midlands","B.1.177+",0,445,2021-05-10,18757.5,0
21,"West Midlands","B.1.177+",0,533,2021-05-17,18764.5,0
22,"West Midlands","B.1.177+",0,691,2021-05-24,18771.5,0
1,"North East","B.1.177+",113,263,2020-12-28,18624.5,0.429657794676806
2,"North East","B.1.177+",72,322,2021-01-04,18631.5,0.22360248447205
3,"North East","B.1.177+",41,233,2021-01-11,18638.5,0.175965665236052
4,"North East","B.1.177+",93,752,2021-01-18,18645.5,0.123670212765957
5,"North East","B.1.177+",28,462,2021-01-25,18652.5,0.0606060606060606
6,"North East","B.1.177+",7,174,2021-02-01,18659.5,0.0402298850574713
7,"North East","B.1.177+",5,206,2021-02-08,18666.5,0.0242718446601942
8,"North East","B.1.177+",32,1148,2021-02-15,18673.5,0.0278745644599303
9,"North East","B.1.177+",13,1547,2021-02-22,18680.5,0.00840336134453781
10,"North East","B.1.177+",4,1003,2021-03-01,18687.5,0.00398803589232303
11,"North East","B.1.177+",0,1416,2021-03-08,18694.5,0
12,"North East","B.1.177+",0,1040,2021-03-15,18701.5,0
13,"North East","B.1.177+",0,843,2021-03-22,18708.5,0
14,"North East","B.1.177+",0,842,2021-03-29,18715.5,0
15,"North East","B.1.177+",0,445,2021-04-05,18722.5,0
16,"North East","B.1.177+",0,237,2021-04-12,18729.5,0
17,"North East","B.1.177+",0,199,2021-04-19,18736.5,0
18,"North East","B.1.177+",0,192,2021-04-26,18743.5,0
19,"North East","B.1.177+",0,73,2021-05-03,18750.5,0
20,"North East","B.1.177+",0,31,2021-05-10,18757.5,0
21,"North East","B.1.177+",0,7,2021-05-17,18764.5,0
22,"North East","B.1.177+",0,110,2021-05-24,18771.5,0
1,"Yorkshire and The Humber","B.1.177+",98,195,2020-12-28,18624.5,0.502564102564103
2,"Yorkshire and The Humber","B.1.177+",132,366,2021-01-04,18631.5,0.360655737704918
3,"Yorkshire and The Humber","B.1.177+",153,535,2021-01-11,18638.5,0.285981308411215
4,"Yorkshire and The Humber","B.1.177+",167,858,2021-01-18,18645.5,0.194638694638695
5,"Yorkshire and The Humber","B.1.177+",97,981,2021-01-25,18652.5,0.0988786952089704
6,"Yorkshire and The Humber","B.1.177+",20,225,2021-02-01,18659.5,0.0888888888888889
7,"Yorkshire and The Humber","B.1.177+",19,513,2021-02-08,18666.5,0.037037037037037
8,"Yorkshire and The Humber","B.1.177+",43,1420,2021-02-15,18673.5,0.0302816901408451
9,"Yorkshire and The Humber","B.1.177+",32,2493,2021-02-22,18680.5,0.0128359406337746
10,"Yorkshire and The Humber","B.1.177+",20,2491,2021-03-01,18687.5,0.00802890405459655
11,"Yorkshire and The Humber","B.1.177+",12,3273,2021-03-08,18694.5,0.00366636113657195
12,"Yorkshire and The Humber","B.1.177+",3,3687,2021-03-15,18701.5,0.00081366965012205
13,"Yorkshire and The Humber","B.1.177+",3,3692,2021-03-22,18708.5,0.000812567713976165
14,"Yorkshire and The Humber","B.1.177+",0,2876,2021-03-29,18715.5,0
15,"Yorkshire and The Humber","B.1.177+",0,1889,2021-04-05,18722.5,0
16,"Yorkshire and The Humber","B.1.177+",1,1700,2021-04-12,18729.5,0.000588235294117647
17,"Yorkshire and The Humber","B.1.177+",0,1620,2021-04-19,18736.5,0
18,"Yorkshire and The Humber","B.1.177+",0,1026,2021-04-26,18743.5,0
19,"Yorkshire and The Humber","B.1.177+",0,359,2021-05-03,18750.5,0
20,"Yorkshire and The Humber","B.1.177+",0,153,2021-05-10,18757.5,0
21,"Yorkshire and The Humber","B.1.177+",0,118,2021-05-17,18764.5,0
22,"Yorkshire and The Humber","B.1.177+",0,287,2021-05-24,18771.5,0
1,"London","B.1.351",1,2001,2020-12-28,18624.5,0.000499750124937531
2,"London","B.1.351",3,1547,2021-01-04,18631.5,0.00193923723335488
3,"London","B.1.351",4,1479,2021-01-11,18638.5,0.00270453008789723
4,"London","B.1.351",2,1639,2021-01-18,18645.5,0.0012202562538133
5,"London","B.1.351",3,1500,2021-01-25,18652.5,0.002
6,"London","B.1.351",0,509,2021-02-01,18659.5,0
7,"London","B.1.351",3,672,2021-02-08,18666.5,0.00446428571428571
8,"London","B.1.351",1,902,2021-02-15,18673.5,0.00110864745011086
9,"London","B.1.351",3,584,2021-02-22,18680.5,0.00513698630136986
10,"London","B.1.351",6,646,2021-03-01,18687.5,0.00928792569659443
11,"London","B.1.351",3,585,2021-03-08,18694.5,0.00512820512820513
12,"London","B.1.351",20,515,2021-03-15,18701.5,0.0388349514563107
13,"London","B.1.351",13,647,2021-03-22,18708.5,0.0200927357032458
14,"London","B.1.351",4,438,2021-03-29,18715.5,0.0091324200913242
15,"London","B.1.351",9,351,2021-04-05,18722.5,0.0256410256410256
16,"London","B.1.351",11,323,2021-04-12,18729.5,0.0340557275541796
17,"London","B.1.351",11,360,2021-04-19,18736.5,0.0305555555555556
18,"London","B.1.351",11,298,2021-04-26,18743.5,0.0369127516778524
19,"London","B.1.351",9,389,2021-05-03,18750.5,0.0231362467866324
20,"London","B.1.351",5,473,2021-05-10,18757.5,0.0105708245243129
21,"London","B.1.351",3,653,2021-05-17,18764.5,0.00459418070444104
22,"London","B.1.351",4,840,2021-05-24,18771.5,0.00476190476190476
1,"North West","B.1.351",0,773,2020-12-28,18624.5,0
2,"North West","B.1.351",0,1559,2021-01-04,18631.5,0
3,"North West","B.1.351",2,3522,2021-01-11,18638.5,0.00056785917092561
4,"North West","B.1.351",0,3310,2021-01-18,18645.5,0
5,"North West","B.1.351",0,4832,2021-01-25,18652.5,0
6,"North West","B.1.351",3,1063,2021-02-01,18659.5,0.00282220131702728
7,"North West","B.1.351",3,1929,2021-02-08,18666.5,0.0015552099533437
8,"North West","B.1.351",3,2496,2021-02-15,18673.5,0.00120192307692308
9,"North West","B.1.351",2,1883,2021-02-22,18680.5,0.00106213489113117
10,"North West","B.1.351",7,1710,2021-03-01,18687.5,0.00409356725146199
11,"North West","B.1.351",0,1406,2021-03-08,18694.5,0
12,"North West","B.1.351",1,2025,2021-03-15,18701.5,0.000493827160493827
13,"North West","B.1.351",1,2704,2021-03-22,18708.5,0.000369822485207101
14,"North West","B.1.351",3,1777,2021-03-29,18715.5,0.00168823860438942
15,"North West","B.1.351",4,891,2021-04-05,18722.5,0.00448933782267116
16,"North West","B.1.351",1,768,2021-04-12,18729.5,0.00130208333333333
17,"North West","B.1.351",4,871,2021-04-19,18736.5,0.00459242250287026
18,"North West","B.1.351",0,1119,2021-04-26,18743.5,0
19,"North West","B.1.351",0,1588,2021-05-03,18750.5,0
20,"North West","B.1.351",0,1944,2021-05-10,18757.5,0
21,"North West","B.1.351",1,2912,2021-05-17,18764.5,0.000343406593406593
22,"North West","B.1.351",0,3895,2021-05-24,18771.5,0
1,"South West","B.1.351",0,127,2020-12-28,18624.5,0
2,"South West","B.1.351",0,259,2021-01-04,18631.5,0
3,"South West","B.1.351",0,468,2021-01-11,18638.5,0
4,"South West","B.1.351",0,258,2021-01-18,18645.5,0
5,"South West","B.1.351",1,279,2021-01-25,18652.5,0.003584229390681
6,"South West","B.1.351",0,92,2021-02-01,18659.5,0
7,"South West","B.1.351",0,197,2021-02-08,18666.5,0
8,"South West","B.1.351",0,272,2021-02-15,18673.5,0
9,"South West","B.1.351",0,190,2021-02-22,18680.5,0
10,"South West","B.1.351",0,209,2021-03-01,18687.5,0
11,"South West","B.1.351",0,140,2021-03-08,18694.5,0
12,"South West","B.1.351",0,103,2021-03-15,18701.5,0
13,"South West","B.1.351",0,150,2021-03-22,18708.5,0
14,"South West","B.1.351",2,100,2021-03-29,18715.5,0.02
15,"South West","B.1.351",0,93,2021-04-05,18722.5,0
16,"South West","B.1.351",0,47,2021-04-12,18729.5,0
17,"South West","B.1.351",0,32,2021-04-19,18736.5,0
18,"South West","B.1.351",0,30,2021-04-26,18743.5,0
19,"South West","B.1.351",0,20,2021-05-03,18750.5,0
20,"South West","B.1.351",0,57,2021-05-10,18757.5,0
21,"South West","B.1.351",1,135,2021-05-17,18764.5,0.00740740740740741
22,"South West","B.1.351",0,162,2021-05-24,18771.5,0
1,"South East","B.1.351",4,863,2020-12-28,18624.5,0.00463499420625724
2,"South East","B.1.351",1,951,2021-01-04,18631.5,0.0010515247108307
3,"South East","B.1.351",2,852,2021-01-11,18638.5,0.00234741784037559
4,"South East","B.1.351",1,851,2021-01-18,18645.5,0.00117508813160987
5,"South East","B.1.351",0,1069,2021-01-25,18652.5,0
6,"South East","B.1.351",1,273,2021-02-01,18659.5,0.00366300366300366
7,"South East","B.1.351",1,597,2021-02-08,18666.5,0.0016750418760469
8,"South East","B.1.351",0,828,2021-02-15,18673.5,0
9,"South East","B.1.351",6,526,2021-02-22,18680.5,0.0114068441064639
10,"South East","B.1.351",1,704,2021-03-01,18687.5,0.00142045454545455
11,"South East","B.1.351",2,699,2021-03-08,18694.5,0.00286123032904149
12,"South East","B.1.351",0,484,2021-03-15,18701.5,0
13,"South East","B.1.351",0,554,2021-03-22,18708.5,0
14,"South East","B.1.351",0,326,2021-03-29,18715.5,0
15,"South East","B.1.351",1,387,2021-04-05,18722.5,0.00258397932816537
16,"South East","B.1.351",0,324,2021-04-12,18729.5,0
17,"South East","B.1.351",2,262,2021-04-19,18736.5,0.00763358778625954
18,"South East","B.1.351",1,218,2021-04-26,18743.5,0.00458715596330275
19,"South East","B.1.351",0,234,2021-05-03,18750.5,0
20,"South East","B.1.351",0,241,2021-05-10,18757.5,0
21,"South East","B.1.351",0,288,2021-05-17,18764.5,0
22,"South East","B.1.351",0,587,2021-05-24,18771.5,0
1,"East of England","B.1.351",1,584,2020-12-28,18624.5,0.00171232876712329
2,"East of England","B.1.351",0,705,2021-01-04,18631.5,0
3,"East of England","B.1.351",0,737,2021-01-11,18638.5,0
4,"East of England","B.1.351",0,723,2021-01-18,18645.5,0
5,"East of England","B.1.351",0,706,2021-01-25,18652.5,0
6,"East of England","B.1.351",0,326,2021-02-01,18659.5,0
7,"East of England","B.1.351",0,604,2021-02-08,18666.5,0
8,"East of England","B.1.351",1,865,2021-02-15,18673.5,0.00115606936416185
9,"East of England","B.1.351",0,437,2021-02-22,18680.5,0
10,"East of England","B.1.351",0,619,2021-03-01,18687.5,0
11,"East of England","B.1.351",0,806,2021-03-08,18694.5,0
12,"East of England","B.1.351",0,784,2021-03-15,18701.5,0
13,"East of England","B.1.351",1,968,2021-03-22,18708.5,0.00103305785123967
14,"East of England","B.1.351",2,463,2021-03-29,18715.5,0.00431965442764579
15,"East of England","B.1.351",1,368,2021-04-05,18722.5,0.00271739130434783
16,"East of England","B.1.351",3,340,2021-04-12,18729.5,0.00882352941176471
17,"East of England","B.1.351",3,415,2021-04-19,18736.5,0.0072289156626506
18,"East of England","B.1.351",3,447,2021-04-26,18743.5,0.00671140939597315
19,"East of England","B.1.351",2,506,2021-05-03,18750.5,0.00395256916996047
20,"East of England","B.1.351",1,540,2021-05-10,18757.5,0.00185185185185185
21,"East of England","B.1.351",0,757,2021-05-17,18764.5,0
22,"East of England","B.1.351",0,643,2021-05-24,18771.5,0
1,"East Midlands","B.1.351",0,85,2020-12-28,18624.5,0
2,"East Midlands","B.1.351",1,283,2021-01-04,18631.5,0.00353356890459364
3,"East Midlands","B.1.351",0,300,2021-01-11,18638.5,0
4,"East Midlands","B.1.351",0,401,2021-01-18,18645.5,0
5,"East Midlands","B.1.351",0,548,2021-01-25,18652.5,0
6,"East Midlands","B.1.351",0,219,2021-02-01,18659.5,0
7,"East Midlands","B.1.351",0,516,2021-02-08,18666.5,0
8,"East Midlands","B.1.351",0,631,2021-02-15,18673.5,0
9,"East Midlands","B.1.351",0,486,2021-02-22,18680.5,0
10,"East Midlands","B.1.351",0,662,2021-03-01,18687.5,0
11,"East Midlands","B.1.351",0,976,2021-03-08,18694.5,0
12,"East Midlands","B.1.351",0,1337,2021-03-15,18701.5,0
13,"East Midlands","B.1.351",0,1836,2021-03-22,18708.5,0
14,"East Midlands","B.1.351",0,1135,2021-03-29,18715.5,0
15,"East Midlands","B.1.351",0,712,2021-04-05,18722.5,0
16,"East Midlands","B.1.351",1,588,2021-04-12,18729.5,0.00170068027210884
17,"East Midlands","B.1.351",4,624,2021-04-19,18736.5,0.00641025641025641
18,"East Midlands","B.1.351",9,584,2021-04-26,18743.5,0.0154109589041096
19,"East Midlands","B.1.351",2,829,2021-05-03,18750.5,0.00241254523522316
20,"East Midlands","B.1.351",0,681,2021-05-10,18757.5,0
21,"East Midlands","B.1.351",0,637,2021-05-17,18764.5,0
22,"East Midlands","B.1.351",0,642,2021-05-24,18771.5,0
1,"West Midlands","B.1.351",0,505,2020-12-28,18624.5,0
2,"West Midlands","B.1.351",0,884,2021-01-04,18631.5,0
3,"West Midlands","B.1.351",1,932,2021-01-11,18638.5,0.00107296137339056
4,"West Midlands","B.1.351",0,1041,2021-01-18,18645.5,0
5,"West Midlands","B.1.351",1,1283,2021-01-25,18652.5,0.000779423226812159
6,"West Midlands","B.1.351",0,338,2021-02-01,18659.5,0
7,"West Midlands","B.1.351",0,400,2021-02-08,18666.5,0
8,"West Midlands","B.1.351",0,608,2021-02-15,18673.5,0
9,"West Midlands","B.1.351",1,430,2021-02-22,18680.5,0.00232558139534884
10,"West Midlands","B.1.351",0,607,2021-03-01,18687.5,0
11,"West Midlands","B.1.351",0,842,2021-03-08,18694.5,0
12,"West Midlands","B.1.351",2,1006,2021-03-15,18701.5,0.00198807157057654
13,"West Midlands","B.1.351",2,1214,2021-03-22,18708.5,0.00164744645799012
14,"West Midlands","B.1.351",3,885,2021-03-29,18715.5,0.00338983050847458
15,"West Midlands","B.1.351",2,538,2021-04-05,18722.5,0.00371747211895911
16,"West Midlands","B.1.351",0,529,2021-04-12,18729.5,0
17,"West Midlands","B.1.351",0,533,2021-04-19,18736.5,0
18,"West Midlands","B.1.351",6,503,2021-04-26,18743.5,0.0119284294234592
19,"West Midlands","B.1.351",4,534,2021-05-03,18750.5,0.00749063670411985
20,"West Midlands","B.1.351",4,445,2021-05-10,18757.5,0.00898876404494382
21,"West Midlands","B.1.351",0,533,2021-05-17,18764.5,0
22,"West Midlands","B.1.351",0,691,2021-05-24,18771.5,0
1,"North East","B.1.351",0,263,2020-12-28,18624.5,0
2,"North East","B.1.351",0,322,2021-01-04,18631.5,0
3,"North East","B.1.351",0,233,2021-01-11,18638.5,0
4,"North East","B.1.351",1,752,2021-01-18,18645.5,0.00132978723404255
5,"North East","B.1.351",0,462,2021-01-25,18652.5,0
6,"North East","B.1.351",0,174,2021-02-01,18659.5,0
7,"North East","B.1.351",0,206,2021-02-08,18666.5,0
8,"North East","B.1.351",0,1148,2021-02-15,18673.5,0
9,"North East","B.1.351",0,1547,2021-02-22,18680.5,0
10,"North East","B.1.351",0,1003,2021-03-01,18687.5,0
11,"North East","B.1.351",0,1416,2021-03-08,18694.5,0
12,"North East","B.1.351",0,1040,2021-03-15,18701.5,0
13,"North East","B.1.351",0,843,2021-03-22,18708.5,0
14,"North East","B.1.351",1,842,2021-03-29,18715.5,0.00118764845605701
15,"North East","B.1.351",0,445,2021-04-05,18722.5,0
16,"North East","B.1.351",1,237,2021-04-12,18729.5,0.00421940928270042
17,"North East","B.1.351",0,199,2021-04-19,18736.5,0
18,"North East","B.1.351",1,192,2021-04-26,18743.5,0.00520833333333333
19,"North East","B.1.351",1,73,2021-05-03,18750.5,0.0136986301369863
20,"North East","B.1.351",0,31,2021-05-10,18757.5,0
21,"North East","B.1.351",0,7,2021-05-17,18764.5,0
22,"North East","B.1.351",0,110,2021-05-24,18771.5,0
1,"Yorkshire and The Humber","B.1.351",0,195,2020-12-28,18624.5,0
2,"Yorkshire and The Humber","B.1.351",1,366,2021-01-04,18631.5,0.00273224043715847
3,"Yorkshire and The Humber","B.1.351",1,535,2021-01-11,18638.5,0.00186915887850467
4,"Yorkshire and The Humber","B.1.351",4,858,2021-01-18,18645.5,0.00466200466200466
5,"Yorkshire and The Humber","B.1.351",0,981,2021-01-25,18652.5,0
6,"Yorkshire and The Humber","B.1.351",0,225,2021-02-01,18659.5,0
7,"Yorkshire and The Humber","B.1.351",0,513,2021-02-08,18666.5,0
8,"Yorkshire and The Humber","B.1.351",0,1420,2021-02-15,18673.5,0
9,"Yorkshire and The Humber","B.1.351",0,2493,2021-02-22,18680.5,0
10,"Yorkshire and The Humber","B.1.351",0,2491,2021-03-01,18687.5,0
11,"Yorkshire and The Humber","B.1.351",0,3273,2021-03-08,18694.5,0
12,"Yorkshire and The Humber","B.1.351",0,3687,2021-03-15,18701.5,0
13,"Yorkshire and The Humber","B.1.351",3,3692,2021-03-22,18708.5,0.000812567713976165
14,"Yorkshire and The Humber","B.1.351",2,2876,2021-03-29,18715.5,0.000695410292072323
15,"Yorkshire and The Humber","B.1.351",1,1889,2021-04-05,18722.5,0.000529380624669137
16,"Yorkshire and The Humber","B.1.351",2,1700,2021-04-12,18729.5,0.00117647058823529
17,"Yorkshire and The Humber","B.1.351",1,1620,2021-04-19,18736.5,0.000617283950617284
18,"Yorkshire and The Humber","B.1.351",0,1026,2021-04-26,18743.5,0
19,"Yorkshire and The Humber","B.1.351",0,359,2021-05-03,18750.5,0
