"LINEAGE2","DATE_NUM","REGION","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"B.1.351",18530,"London",0.001,1.31513688724096e-08,NA,0.001,0.001,2020-09-25
"P.1",18530,"London",0.001,3.5805412456338e-16,NA,0.001,0.001,2020-09-25
"B.1.617.1",18530,"London",0.001,2.95848687388262e-99,NA,0.001,0.001,2020-09-25
"B.1.617.2",18530,"London",0.001,5.61170104177087e-48,NA,0.001,0.001,2020-09-25
"B.1.1.7",18534,"London",0.00101686867049075,6.64891408464761e-05,NA,0.001,0.00114718499191285,2020-09-29
"other",18534,"London",0.66505379158908,0.00556733670483054,NA,0.654142012157804,0.675965571020355,2020-09-29
"B.1.177+",18534,"London",0.333929287437828,0.00556148952308344,NA,0.323028968272188,0.344829606603468,2020-09-29
"B.1.525",18534,"London",0.001,3.55495453264029e-08,NA,0.001,0.001,2020-09-29
"B.1.351",18534,"London",0.001,2.52104293081442e-08,NA,0.001,0.001,2020-09-29
"P.1",18534,"London",0.001,1.2640382079728e-15,NA,0.001,0.001,2020-09-29
"B.1.617.1",18534,"London",0.001,9.74809463297574e-96,NA,0.001,0.001,2020-09-29
"B.1.617.2",18534,"London",0.001,1.92180375094114e-46,NA,0.001,0.001,2020-09-29
"B.1.1.7",18538,"London",0.00164433001630858,0.000101103240231611,NA,0.00144617130673432,0.00184248872588284,2020-10-03
"other",18538,"London",0.635016770168303,0.00563767500932987,NA,0.623967130193475,0.646066410143131,2020-10-03
"B.1.177+",18538,"London",0.363338798373735,0.00562835488515803,NA,0.352307425506615,0.374370171240855,2020-10-03
"B.1.525",18538,"London",0.001,6.44823710003293e-08,NA,0.001,0.001,2020-10-03
"B.1.351",18538,"London",0.001,4.78802354019226e-08,NA,0.001,0.001,2020-10-03
"P.1",18538,"London",0.001,4.40848757274076e-15,NA,0.001,0.001,2020-10-03
"B.1.617.1",18538,"London",0.001,3.04637219088608e-92,NA,0.001,0.001,2020-10-03
"B.1.617.2",18538,"London",0.001,6.43242429396839e-45,NA,0.001,0.001,2020-10-03
"B.1.1.7",18542,"London",0.00263962785616305,0.000152175121912703,NA,0.00234137009787116,0.00293788561445494,2020-10-07
"other",18542,"London",0.604374065761997,0.00568109636947483,NA,0.593239321485125,0.615508810038869,2020-10-07
"B.1.177+",18542,"London",0.392986111152696,0.00566648672522865,NA,0.381880001252373,0.404092221053018,2020-10-07
"B.1.525",18542,"London",0.001,1.15820307492606e-07,NA,0.001,0.001,2020-10-07
"B.1.351",18542,"London",0.001,9.00353772535699e-08,NA,0.001,0.001,2020-10-07
"P.1",18542,"London",0.001,1.51725521575141e-14,NA,0.001,0.001,2020-10-07
"B.1.617.1",18542,"London",0.001,8.96391114940405e-89,NA,0.001,0.001,2020-10-07
"B.1.617.2",18542,"London",0.001,2.0986010606021e-43,NA,0.001,0.001,2020-10-07
"B.1.1.7",18546,"London",0.00420467501336419,0.00022657089561935,NA,0.00376060421800528,0.0046487458087231,2020-10-11
"other",18546,"London",0.573388376782349,0.00569914590168815,NA,0.562218256072401,0.584558497492297,2020-10-11
"B.1.177+",18546,"London",0.422406575590139,0.00567672402330086,NA,0.411280400954296,0.433532750225982,2020-10-11
"B.1.525",18546,"London",0.001,2.05868429184406e-07,NA,0.001,0.001,2020-10-11
"B.1.351",18546,"London",0.001,1.67519771383964e-07,NA,0.001,0.001,2020-10-11
"P.1",18546,"London",0.001,5.14743441919193e-14,NA,0.001,0.001,2020-10-11
"B.1.617.1",18546,"London",0.001,2.46563327047986e-85,NA,0.001,0.001,2020-10-11
"B.1.617.2",18546,"London",0.001,6.65603165981225e-42,NA,0.001,0.001,2020-10-11
"B.1.1.7",18550,"London",0.00664281645239835,0.000333453251964215,NA,0.00598926008802073,0.00729637281677597,2020-10-15
"other",18550,"London",0.542290862490444,0.00569338797927623,NA,0.531132027101049,0.553449697879839,2020-10-15
"B.1.177+",18550,"London",0.451065616204279,0.00565988885804219,NA,0.439972437886017,0.462158794522541,2020-10-15
"B.1.525",18550,"London",0.001,3.61881230253705e-07,NA,0.001,0.001,2020-10-15
"B.1.351",18550,"London",0.001,3.08187555101265e-07,NA,0.001,0.001,2020-10-15
"P.1",18550,"London",0.001,1.71947462431996e-13,NA,0.001,0.001,2020-10-15
"B.1.617.1",18550,"London",0.001,6.29429907733202e-82,NA,0.001,0.001,2020-10-15
"B.1.617.2",18550,"London",0.001,2.04671990560346e-40,NA,0.001,0.001,2020-10-15
"B.1.1.7",18554,"London",0.010403050607003,0.000484690038547057,NA,0.00945307558778548,0.0113530256262206,2020-10-19
"other",18554,"London",0.51125597942216,0.00566495479497107,NA,0.500152872049969,0.52235908679435,2020-10-19
"B.1.177+",18554,"London",0.47833964939301,0.00561661869078595,NA,0.467331279044175,0.489348019741845,2020-10-19
"B.1.525",18554,"London",0.001,6.28616451849358e-07,NA,0.001,0.001,2020-10-19
"B.1.351",18554,"London",0.001,5.60172952133874e-07,NA,0.001,0.001,2020-10-19
"P.1",18554,"London",0.001,5.64866477426421e-13,NA,0.001,0.001,2020-10-19
"B.1.617.1",18554,"London",0.001,1.4804894874736e-78,NA,0.001,0.001,2020-10-19
"B.1.617.2",18554,"London",0.001,6.08484492832314e-39,NA,0.001,0.001,2020-10-19
"B.1.1.7",18558,"London",0.01613795698369,0.000695047349284324,NA,0.0147756892115427,0.0175002247558373,2020-10-23
"other",18558,"London",0.480376543072765,0.00561411766758298,NA,0.469373074639333,0.491380011506198,2020-10-23
"B.1.177+",18558,"London",0.503483051503653,0.00554757074070807,NA,0.492610012650177,0.514356090357129,2020-10-23
"B.1.525",18558,"London",0.001,1.07807949460957e-06,NA,0.001,0.001,2020-10-23
"B.1.351",18558,"London",0.001,1.00502825006888e-06,NA,0.001,0.001,2020-10-23
"P.1",18558,"London",0.001,1.82239918207636e-12,NA,0.001,0.001,2020-10-23
"B.1.617.1",18558,"London",0.001,3.18491154708889e-75,NA,0.001,0.001,2020-10-23
"B.1.617.2",18558,"London",0.001,1.74385393053522e-37,NA,0.001,0.001,2020-10-23
