"LINEAGE","DATE_NUM","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"Gamma",18357,0,5.72918702873292e-27,NA,0,0,2020-04-05
"Delta",18357,0,1.02026738953741e-25,NA,0,0,2020-04-05
"Omicron (BA.2)",18357,0,1.36271339461133e-68,NA,0,0,2020-04-05
"Omicron (BA.3)",18357,0,1.00648641326248e-19,NA,0,0,2020-04-05
"Omicron (BA.1.1, with S:R346K)",18357,0,2.09989754040017e-15,NA,0,0,2020-04-05
"Omicron (BA.4)",18357,0,4.5264155579566e-55,NA,0,0,2020-04-05
"Omicron (BA.5)",18357,0,1.27696628498125e-53,NA,0,0,2020-04-05
"Omicron (BA.1)",18364,0,8.1474605126104e-13,NA,0,0,2020-04-12
"Other",18364,1,2.5156486309232e-12,NA,1,1,2020-04-12
"Alpha",18364,0,2.38194951649871e-12,NA,0,0,2020-04-12
"Beta",18364,0,3.44340715625001e-17,NA,0,0,2020-04-12
"Gamma",18364,0,3.16725783807889e-26,NA,0,0,2020-04-12
"Delta",18364,0,3.84483849265952e-25,NA,0,0,2020-04-12
"Omicron (BA.2)",18364,0,2.78709916029277e-69,NA,0,0,2020-04-12
"Omicron (BA.3)",18364,0,8.51287759482409e-21,NA,0,0,2020-04-12
"Omicron (BA.1.1, with S:R346K)",18364,0,3.76665452393569e-17,NA,0,0,2020-04-12
"Omicron (BA.4)",18364,0,7.5418449809338e-54,NA,0,0,2020-04-12
"Omicron (BA.5)",18364,0,1.63492461986651e-53,NA,0,0,2020-04-12
"Omicron (BA.1)",18371,0,4.41601438251002e-14,NA,0,0,2020-04-19
"Other",18371,1,5.2432838028305e-12,NA,1,1,2020-04-19
"Alpha",18371,0,5.24318273858279e-12,NA,0,0,2020-04-19
"Beta",18371,0,1.13358447233696e-16,NA,0,0,2020-04-19
"Gamma",18371,0,1.73575441060214e-25,NA,0,0,2020-04-19
"Delta",18371,0,1.44212670515171e-24,NA,0,0,2020-04-19
"Omicron (BA.2)",18371,0,5.85213817924262e-70,NA,0,0,2020-04-19
"Omicron (BA.3)",18371,0,7.34889729731326e-22,NA,0,0,2020-04-19
"Omicron (BA.1.1, with S:R346K)",18371,0,7.00895129111786e-19,NA,0,0,2020-04-19
"Omicron (BA.4)",18371,0,1.24630136232077e-52,NA,0,0,2020-04-19
"Omicron (BA.5)",18371,0,2.11125746382218e-53,NA,0,0,2020-04-19
"Omicron (BA.1)",18378,0,2.4667088843731e-15,NA,0,0,2020-04-26
"Other",18378,1,1.14847405921673e-11,NA,1,1,2020-04-26
"Alpha",18378,0,1.14846689581688e-11,NA,0,0,2020-04-26
"Beta",18378,0,3.70080268334743e-16,NA,0,0,2020-04-26
"Gamma",18378,0,9.42172713157771e-25,NA,0,0,2020-04-26
"Delta",18378,0,5.38137242395079e-24,NA,0,0,2020-04-26
"Omicron (BA.2)",18378,0,1.26474882909992e-70,NA,0,0,2020-04-26
"Omicron (BA.3)",18378,0,6.49130268067711e-23,NA,0,0,2020-04-26
"Omicron (BA.1.1, with S:R346K)",18378,0,1.3570905993662e-20,NA,0,0,2020-04-26
"Omicron (BA.4)",18378,0,2.03978988219883e-51,NA,0,0,2020-04-26
"Omicron (BA.5)",18378,0,2.7516218509738e-53,NA,0,0,2020-04-26
"Omicron (BA.1)",18385,0,1.42327500013507e-16,NA,0,0,2020-05-03
"Other",18385,1,2.50221838358246e-11,NA,1,1,2020-05-03
"Alpha",18385,0,2.5021924771292e-11,NA,0,0,2020-05-03
"Beta",18385,0,1.19726518185514e-15,NA,0,0,2020-05-03
"Gamma",18385,0,5.06095305374726e-24,NA,0,0,2020-05-03
"Delta",18385,0,1.99686948765357e-23,NA,0,0,2020-05-03
"Omicron (BA.2)",18385,0,2.82064750792597e-71,NA,0,0,2020-05-03
"Omicron (BA.3)",18385,0,5.88147739813993e-24,NA,0,0,2020-05-03
"Omicron (BA.1.1, with S:R346K)",18385,0,2.7424971111311e-22,NA,0,0,2020-05-03
"Omicron (BA.4)",18385,0,3.30177808672971e-50,NA,0,0,2020-05-03
"Omicron (BA.5)",18385,0,3.62170444970126e-53,NA,0,0,2020-05-03
"Omicron (BA.1)",18392,0,8.50237528104684e-18,NA,0,0,2020-05-10
"Other",18392,1,5.42031911154263e-11,NA,1,1,2020-05-10
"Alpha",18392,0,5.42023709357075e-11,NA,0,0,2020-05-10
"Beta",18392,0,3.83541039959761e-15,NA,0,0,2020-05-10
"Gamma",18392,0,2.6879113037691e-23,NA,0,0,2020-05-10
"Delta",18392,0,7.36504795347359e-23,NA,0,0,2020-05-10
"Omicron (BA.2)",18392,0,6.50860532705624e-72,NA,0,0,2020-05-10
"Omicron (BA.3)",18392,0,5.47976578514197e-25,NA,0,0,2020-05-10
"Omicron (BA.1.1, with S:R346K)",18392,0,5.80231182081193e-24,NA,0,0,2020-05-10
"Omicron (BA.4)",18392,0,5.27822023031448e-49,NA,0,0,2020-05-10
"Omicron (BA.5)",18392,0,4.81705753877039e-53,NA,0,0,2020-05-10
"Omicron (BA.1)",18399,0,5.27069931279307e-19,NA,0,0,2020-05-17
"Other",18399,1,1.1669071044077e-10,NA,1,1,2020-05-17
"Alpha",18399,0,1.16688101549679e-10,NA,0,0,2020-05-17
"Beta",18399,0,1.21572070378288e-14,NA,0,0,2020-05-17
"Gamma",18399,0,1.41025862220594e-22,NA,0,0,2020-05-17
"Delta",18399,0,2.69881149046907e-22,NA,0,0,2020-05-17
"Omicron (BA.2)",18399,0,1.55801786708794e-72,NA,0,0,2020-05-17
"Omicron (BA.3)",18399,0,5.26296329693992e-26,NA,0,0,2020-05-17
"Omicron (BA.1.1, with S:R346K)",18399,0,1.28922410428365e-25,NA,0,0,2020-05-17
"Omicron (BA.4)",18399,0,8.3210878386864e-48,NA,0,0,2020-05-17
"Omicron (BA.5)",18399,0,6.47828278538021e-53,NA,0,0,2020-05-17
"Omicron (BA.1)",18406,0,3.39838690533745e-20,NA,0,0,2020-05-24
"Other",18406,1,2.49559351696984e-10,NA,1,1,2020-05-24
"Alpha",18406,0,2.49551191452605e-10,NA,0,0,2020-05-24
"Beta",18406,0,3.8100291271498e-14,NA,0,0,2020-05-24
"Gamma",18406,0,7.30303119532136e-22,NA,0,0,2020-05-24
"Delta",18406,0,9.82068806680483e-22,NA,0,0,2020-05-24
"Omicron (BA.2)",18406,0,3.87938262864759e-73,NA,0,0,2020-05-24
"Omicron (BA.3)",18406,0,5.22347407531179e-27,NA,0,0,2020-05-24
"Omicron (BA.1.1, with S:R346K)",18406,0,3.01790226816794e-27,NA,0,0,2020-05-24
"Omicron (BA.4)",18406,0,1.29182646049407e-46,NA,0,0,2020-05-24
"Omicron (BA.5)",18406,0,8.81475341804474e-53,NA,0,0,2020-05-24
"Omicron (BA.1)",18413,0,2.28434672879586e-21,NA,0,0,2020-05-31
"Other",18413,1,5.29969415801732e-10,NA,1,1,2020-05-31
"Alpha",18413,0,5.29944175180291e-10,NA,0,0,2020-05-31
"Beta",18413,0,1.17968430060252e-13,NA,0,0,2020-05-31
"Gamma",18413,0,3.72946357178851e-21,NA,0,0,2020-05-31
"Delta",18413,0,3.5471902089446e-21,NA,0,0,2020-05-31
"Omicron (BA.2)",18413,0,1.00745794754124e-73,NA,0,0,2020-05-31
"Omicron (BA.3)",18413,0,5.37048978250062e-28,NA,0,0,2020-05-31
"Omicron (BA.1.1, with S:R346K)",18413,0,7.46674311604192e-29,NA,0,0,2020-05-31
"Omicron (BA.4)",18413,0,1.97216839898949e-45,NA,0,0,2020-05-31
"Omicron (BA.5)",18413,0,1.2142139594871e-52,NA,0,0,2020-05-31
"Omicron (BA.1)",18420,0,1.60455405284229e-22,NA,0,0,2020-06-07
"Other",18420,1,1.11706646651538e-09,NA,1,1,2020-06-07
"Alpha",18420,0,1.11698935444991e-09,NA,0,0,2020-06-07
"Beta",18420,0,3.60591234851062e-13,NA,0,0,2020-06-07
"Gamma",18420,0,1.87648660362421e-20,NA,0,0,2020-06-07
"Delta",18420,0,1.27116074101339e-20,NA,0,0,2020-06-07
"Omicron (BA.2)",18420,0,2.7361548091683e-74,NA,0,0,2020-06-07
"Omicron (BA.3)",18420,0,5.7339680564302e-29,NA,0,0,2020-06-07
"Omicron (BA.1.1, with S:R346K)",18420,0,1.95897428891765e-30,NA,0,0,2020-06-07
"Omicron (BA.4)",18420,0,2.95659470343158e-44,NA,0,0,2020-06-07
"Omicron (BA.5)",18420,0,1.69425369955262e-52,NA,0,0,2020-06-07
"Omicron (BA.1)",18427,0,1.18053877808449e-23,NA,0,0,2020-06-14
"Other",18427,1,2.33597868240404e-09,NA,1,1,2020-06-14
"Alpha",18427,0,2.33574631747127e-09,NA,0,0,2020-06-14
"Beta",18427,0,1.0872850061991e-12,NA,0,0,2020-06-14
"Gamma",18427,0,9.29428981232607e-20,NA,0,0,2020-06-14
"Delta",18427,0,4.51741033166166e-20,NA,0,0,2020-06-14
"Omicron (BA.2)",18427,0,7.79264446056579e-75,NA,0,0,2020-06-14
"Omicron (BA.3)",18427,0,6.37297833147605e-30,NA,0,0,2020-06-14
"Omicron (BA.1.1, with S:R346K)",18427,0,5.46815302890189e-32,NA,0,0,2020-06-14
"Omicron (BA.4)",18427,0,4.3465940559611e-43,NA,0,0,2020-06-14
"Omicron (BA.5)",18427,0,2.39621046837526e-52,NA,0,0,2020-06-14
"Omicron (BA.1)",18434,0,9.11974482726657e-25,NA,0,0,2020-06-21
"Other",18434,1,4.84428064117363e-09,NA,1,1,2020-06-21
"Alpha",18434,0,4.8435904232718e-09,NA,0,0,2020-06-21
"Beta",18434,0,3.23158423015105e-12,NA,0,0,2020-06-21
"Gamma",18434,0,4.52765082076133e-19,NA,0,0,2020-06-21
"Delta",18434,0,1.59129493634042e-19,NA,0,0,2020-06-21
"Omicron (BA.2)",18434,0,2.33370140036533e-75,NA,0,0,2020-06-21
"Omicron (BA.3)",18434,0,7.3914877368794e-31,NA,0,0,2020-06-21
"Omicron (BA.1.1, with S:R346K)",18434,0,1.62940277952673e-33,NA,0,0,2020-06-21
"Omicron (BA.4)",18434,0,6.25788066851116e-42,NA,0,0,2020-06-21
"Omicron (BA.5)",18434,0,3.43718103095566e-52,NA,0,0,2020-06-21
"Omicron (BA.1)",18441,0,7.41509888461469e-26,NA,0,0,2020-06-28
"Other",18441,1,9.9578961100342e-09,NA,1,1,2020-06-28
"Alpha",18441,0,9.95587656138053e-09,NA,0,0,2020-06-28
"Beta",18441,0,9.46006565223041e-12,NA,0,0,2020-06-28
"Gamma",18441,0,2.16734665566435e-18,NA,0,0,2020-06-28
"Delta",18441,0,5.55369715398798e-19,NA,0,0,2020-06-28
"Omicron (BA.2)",18441,0,7.36905162069581e-76,NA,0,0,2020-06-28
"Omicron (BA.3)",18441,0,8.96763210881093e-32,NA,0,0,2020-06-28
"Omicron (BA.1.1, with S:R346K)",18441,0,5.20079563140736e-35,NA,0,0,2020-06-28
"Omicron (BA.4)",18441,0,8.8114583983708e-41,NA,0,0,2020-06-28
"Omicron (BA.5)",18441,0,5.00358702120162e-52,NA,0,0,2020-06-28
"Omicron (BA.1)",18448,0,6.36136175167056e-27,NA,0,0,2020-07-05
"Other",18448,1,2.0281002664211e-08,NA,1,1,2020-07-05
"Alpha",18448,0,2.02751861831013e-08,NA,0,0,2020-07-05
"Beta",18448,0,2.72545909681548e-11,NA,0,0,2020-07-05
"Gamma",18448,0,1.01857641796041e-17,NA,0,0,2020-07-05
"Delta",18448,0,1.91947134895116e-18,NA,0,0,2020-07-05
"Omicron (BA.2)",18448,0,2.46023512717192e-76,NA,0,0,2020-07-05
"Omicron (BA.3)",18448,0,1.1408603344794e-32,NA,0,0,2020-07-05
"Omicron (BA.1.1, with S:R346K)",18448,0,1.78425202549968e-36,NA,0,0,2020-07-05
"Omicron (BA.4)",18448,0,1.21183006819347e-39,NA,0,0,2020-07-05
"Omicron (BA.5)",18448,0,7.39666947105465e-52,NA,0,0,2020-07-05
"Omicron (BA.1)",18455,0,5.77244788383395e-28,NA,0,0,2020-07-12
"Other",18455,1,4.09071028288723e-08,NA,1,1,2020-07-12
"Alpha",18455,0,4.08906250560676e-08,NA,0,0,2020-07-12
"Beta",18455,0,7.72163969432676e-11,NA,0,0,2020-07-12
"Gamma",18455,0,4.69545613648339e-17,NA,0,0,2020-07-12
"Delta",18455,0,6.56667841180067e-18,NA,0,0,2020-07-12
"Omicron (BA.2)",18455,0,8.70834631419531e-77,NA,0,0,2020-07-12
"Omicron (BA.3)",18455,0,1.52562014311433e-33,NA,0,0,2020-07-12
"Omicron (BA.1.1, with S:R346K)",18455,0,6.60223340296128e-38,NA,0,0,2020-07-12
"Omicron (BA.4)",18455,0,1.62573306300378e-38,NA,0,0,2020-07-12
"Omicron (BA.5)",18455,0,1.1110776193287e-51,NA,0,0,2020-07-12
"Omicron (BA.1)",18462,0,5.55436468605039e-29,NA,0,0,2020-07-19
"Other",18462,1,8.16765966699817e-08,NA,1,1,2020-07-19
"Alpha",18462,0,8.16307120746696e-08,NA,0,0,2020-07-19
"Beta",18462,0,2.14960251303618e-10,NA,0,0,2020-07-19
"Gamma",18462,0,2.12123092112625e-16,NA,0,0,2020-07-19
"Delta",18462,0,2.22264656496849e-17,NA,0,0,2020-07-19
"Omicron (BA.2)",18462,0,3.2770736386628e-77,NA,0,0,2020-07-19
"Omicron (BA.3)",18462,0,2.14965312101595e-34,NA,0,0,2020-07-19
"Omicron (BA.1.1, with S:R346K)",18462,0,2.64415356518491e-39,NA,0,0,2020-07-19
"Omicron (BA.4)",18462,0,2.12480383337809e-37,NA,0,0,2020-07-19
"Omicron (BA.5)",18462,0,1.69702194700508e-51,NA,0,0,2020-07-19
"Omicron (BA.1)",18469,0,5.68158491745189e-30,NA,0,0,2020-07-26
"Other",18469,1,1.61356488023139e-07,NA,1,1,2020-07-26
"Alpha",18469,0,1.61230978951316e-07,NA,0,0,2020-07-26
"Beta",18469,0,5.8753876195115e-10,NA,0,0,2020-07-26
"Gamma",18469,0,9.38272178059522e-16,NA,0,0,2020-07-26
"Delta",18469,0,7.43961630765118e-17,NA,0,0,2020-07-26
"Omicron (BA.2)",18469,0,1.31470127891047e-77,NA,0,0,2020-07-26
"Omicron (BA.3)",18469,0,3.19923150049888e-35,NA,0,0,2020-07-26
"Omicron (BA.1.1, with S:R346K)",18469,0,1.15017622129291e-40,NA,0,0,2020-07-26
"Omicron (BA.4)",18469,0,2.70213180023077e-36,NA,0,0,2020-07-26
"Omicron (BA.5)",18469,0,2.63724521862206e-51,NA,0,0,2020-07-26
"Omicron (BA.1)",18476,0,6.19397091604137e-31,NA,0,0,2020-08-02
"Other",18476,1,3.15256067667043e-07,NA,1,1,2020-08-02
"Alpha",18476,0,3.14919057035344e-07,NA,0,0,2020-08-02
"Beta",18476,0,1.57540316824006e-09,NA,0,0,2020-08-02
"Gamma",18476,0,4.05978105538818e-15,NA,0,0,2020-08-02
"Delta",18476,0,2.46138767169871e-16,NA,0,0,2020-08-02
"Omicron (BA.2)",18476,0,5.63843382685035e-78,NA,0,0,2020-08-02
"Omicron (BA.3)",18476,0,5.04108601831479e-36,NA,0,0,2020-08-02
"Omicron (BA.1.1, with S:R346K)",18476,0,5.45319721288652e-42,NA,0,0,2020-08-02
"Omicron (BA.4)",18476,0,3.33944983819805e-35,NA,0,0,2020-08-02
"Omicron (BA.5)",18476,0,4.1727489902529e-51,NA,0,0,2020-08-02
"Omicron (BA.1)",18483,0,7.21512092581773e-32,NA,0,0,2020-08-09
"Other",18483,1,6.08870558377785e-07,NA,1,1,2020-08-09
"Alpha",18483,0,6.07982777701607e-07,NA,0,0,2020-08-09
"Beta",18483,0,4.14063022049438e-09,NA,0,0,2020-08-09
"Gamma",18483,0,1.71675586947335e-14,NA,0,0,2020-08-09
"Delta",18483,0,8.04547342556583e-16,NA,0,0,2020-08-09
"Omicron (BA.2)",18483,0,2.59227709442851e-78,NA,0,0,2020-08-09
"Omicron (BA.3)",18483,0,8.43040066401343e-37,NA,0,0,2020-08-09
"Omicron (BA.1.1, with S:R346K)",18483,0,2.82800033182104e-43,NA,0,0,2020-08-09
"Omicron (BA.4)",18483,0,4.00582924363241e-34,NA,0,0,2020-08-09
"Omicron (BA.5)",18483,0,6.72658747587059e-51,NA,0,0,2020-08-09
"Omicron (BA.1)",18490,0,9.00344121214804e-33,NA,0,0,2020-08-16
"Other",18490,1,1.16189010938306e-06,NA,1,1,2020-08-16
"Alpha",18490,0,1.15959708808615e-06,NA,0,0,2020-08-16
"Beta",18490,0,1.06585581089839e-08,NA,0,0,2020-08-16
"Gamma",18490,0,7.08830903997139e-14,NA,0,0,2020-08-16
"Delta",18490,0,2.59690922140231e-15,NA,0,0,2020-08-16
"Omicron (BA.2)",18490,0,1.28114264656687e-78,NA,0,0,2020-08-16
"Omicron (BA.3)",18490,0,1.49989621372701e-37,NA,0,0,2020-08-16
"Omicron (BA.1.1, with S:R346K)",18490,0,1.60985029092695e-44,NA,0,0,2020-08-16
"Omicron (BA.4)",18490,0,4.65835330016934e-33,NA,0,0,2020-08-16
"Omicron (BA.5)",18490,0,1.1055117778023e-50,NA,0,0,2020-08-16
"Omicron (BA.1)",18497,0,1.20665768647898e-33,NA,0,0,2020-08-23
"Other",18497,1,2.18965294702572e-06,NA,1,1,2020-08-23
"Alpha",18497,0,2.1838491771477e-06,NA,0,0,2020-08-23
"Beta",18497,0,2.68484840943324e-08,NA,0,0,2020-08-23
"Gamma",18497,0,2.85494174735458e-13,NA,0,0,2020-08-23
"Delta",18497,0,8.27342932855481e-15,NA,0,0,2020-08-23
"Omicron (BA.2)",18497,0,6.82509333029459e-79,NA,0,0,2020-08-23
"Omicron (BA.3)",18497,0,2.84580429543579e-38,NA,0,0,2020-08-23
"Omicron (BA.1.1, with S:R346K)",18497,0,1.00950560460178e-45,NA,0,0,2020-08-23
"Omicron (BA.4)",18497,0,5.2453256547625e-32,NA,0,0,2020-08-23
"Omicron (BA.5)",18497,0,1.85364317930041e-50,NA,0,0,2020-08-23
"Omicron (BA.1)",18504,0,1.7413819300751e-34,NA,0,0,2020-08-30
"Other",18504,1,4.07328099695179e-06,NA,1,1,2020-08-30
"Alpha",18504,0,4.0588936373516e-06,NA,0,0,2020-08-30
"Beta",18504,0,6.6123494143156e-08,NA,0,0,2020-08-30
"Gamma",18504,0,1.12062536386622e-12,NA,0,0,2020-08-30
"Delta",18504,0,2.60031748097006e-14,NA,0,0,2020-08-30
"Omicron (BA.2)",18504,0,3.93021827028367e-79,NA,0,0,2020-08-30
"Omicron (BA.3)",18504,0,5.7719198648701e-39,NA,0,0,2020-08-30
"Omicron (BA.1.1, with S:R346K)",18504,0,6.99827249599533e-47,NA,0,0,2020-08-30
"Omicron (BA.4)",18504,0,5.71207017904756e-31,NA,0,0,2020-08-30
"Omicron (BA.5)",18504,0,3.17309992868586e-50,NA,0,0,2020-08-30
"Omicron (BA.1)",18511,8.08990667775266e-36,2.71309418126196e-35,NA,-4.50857621416336e-35,6.12655754971389e-35,2020-09-06
"Other",18511,0.999980063945974,7.47579556568664e-06,NA,0.99996541165591,0.999994716236039,2020-09-06
"Alpha",18511,1.97770663225009e-05,7.44088203257851e-06,NA,5.19320552543582e-06,3.4360927119566e-05,2020-09-06
"Beta",18511,1.58984489491102e-07,1.59083141244245e-07,NA,-1.52812737895118e-07,4.70781716877321e-07,2020-09-06
"Gamma",18511,3.16930939290674e-12,4.28267732048813e-12,NA,-5.2245839126565e-12,1.156320269847e-11,2020-09-06
"Delta",18511,4.43666468484065e-14,8.05871163838444e-14,NA,-1.13581198881866e-13,2.02314492578679e-13,2020-09-06
"Omicron (BA.2)",18511,4.0329666868619e-80,2.4531455111193e-79,NA,-4.40478018194373e-79,5.21137351931611e-79,2020-09-06
"Omicron (BA.3)",18511,3.56759940531682e-41,1.25442909659841e-39,NA,-2.42295985643884e-39,2.49431184454518e-39,2020-09-06
"Omicron (BA.1.1, with S:R346K)",18511,1.40727727674662e-48,5.38238703789258e-48,NA,-9.14200746837806e-48,1.19565620218713e-47,2020-09-06
"Omicron (BA.4)",18511,1.70265472071562e-30,6.00868378727498e-30,NA,-1.00741490968331e-29,1.34794585382643e-29,2020-09-06
"Omicron (BA.5)",18511,1.3423446809424e-50,5.54930941742158e-50,NA,-9.53410191627284e-50,1.22187912781576e-49,2020-09-06
"Omicron (BA.1)",18518,1.34141547713734e-36,4.57535553593267e-36,NA,-7.62611658975664e-36,1.03089475440313e-35,2020-09-13
"Other",18518,0.999961405926836,1.35299040133794e-05,NA,0.999934887802255,0.999987924051416,2020-09-13
"Alpha",18518,3.81944383141756e-05,1.34470115024091e-05,NA,1.18387800697579e-05,6.45500965585933e-05,2020-09-13
"Beta",18518,3.99622204824306e-07,3.73536584058606e-07,NA,-3.3249604683868e-07,1.13174045648729e-06,2020-09-13
"Gamma",18518,1.25034238910426e-11,1.59198564296452e-11,NA,-1.86989213501105e-11,4.37057691321956e-11,2020-09-13
"Delta",18518,1.41727141227418e-13,2.46142833629271e-13,NA,-3.40703947738588e-13,6.24158230193423e-13,2020-09-13
"Omicron (BA.2)",18518,2.69741751815898e-80,1.6642910624965e-79,NA,-2.99220879046915e-79,3.53169229410094e-79,2020-09-13
"Omicron (BA.3)",18518,8.21846768647811e-42,2.92832857828416e-40,NA,-5.65723387147156e-40,5.82160322520112e-40,2020-09-13
"Omicron (BA.1.1, with S:R346K)",18518,1.18302212444864e-49,4.6089778988567e-49,NA,-7.85040856285159e-49,1.02164528117489e-48,2020-09-13
"Omicron (BA.4)",18518,1.69992665502284e-29,6.09839376454904e-29,NA,-1.02527054870369e-28,1.36525587970826e-28,2020-09-13
"Omicron (BA.5)",18518,2.36613858719166e-50,9.92192355392953e-50,NA,-1.70804742358699e-49,2.18127514102532e-49,2020-09-13
"Omicron (BA.1)",18525,2.41598736413287e-37,8.37341933593665e-37,NA,-1.39956129617543e-36,1.882758769002e-36,2020-09-20
"Other",18525,0.999926137954536,2.41340188907546e-05,NA,0.999878836146708,0.999973439762364,2020-09-20
"Alpha",18525,7.28796311297705e-05,2.39415803283495e-05,NA,2.59549959532329e-05,0.000119804266306308,2020-09-20
"Beta",18525,9.82365844768554e-07,8.55223301895151e-07,NA,-6.93841025685369e-07,2.65857271522248e-06,2020-09-20
"Gamma",18525,4.80429233696192e-11,5.75044811778556e-11,NA,-6.46637886886393e-11,1.60749635427878e-10,2020-09-20
"Delta",18525,4.46571958261063e-13,7.40579586982872e-13,NA,-1.00493735991091e-12,1.89808127643304e-12,2020-09-20
"Omicron (BA.2)",18525,1.96817552504233e-80,1.23064777608658e-79,NA,-2.21520776627979e-79,2.60884287128825e-79,2020-09-20
"Omicron (BA.3)",18525,2.04028756293914e-42,7.35997241666503e-41,NA,-1.42212521075778e-40,1.46293096201656e-40,2020-09-20
"Omicron (BA.1.1, with S:R346K)",18525,1.11239050397887e-50,4.40984331401351e-50,NA,-7.53074356895236e-50,9.7555245769101e-50,2020-09-20
"Omicron (BA.4)",18525,1.63690295522067e-28,5.96469605780036e-28,NA,-1.00536864967961e-27,1.33274924072374e-27,2020-09-20
"Omicron (BA.5)",18525,4.26875177313609e-50,1.81492721091914e-49,NA,-3.13031679064964e-49,3.98406714527686e-49,2020-09-20
"Omicron (BA.1)",18532,4.7388700533426e-38,1.66735011294487e-37,NA,-2.79405916565648e-37,3.741833176325e-37,2020-09-27
"Other",18532,0.999860296536555,4.24057823206633e-05,NA,0.99977718273047,0.99994341034264,2020-09-27
